labels,data
284068.a.568136.1,"[[0, -3, 8, 4, 10, 3], [1, 0, 0, 1]]"
284069.a.284069.1,"[[-1, 2, -2, 2, -1, 1], [1, 0, 1]]"
284088.a.568176.1,"[[3, -6, 10, -9, 7, -3, 1], [0, 1, 0, 1]]"
284089.b.284089.1,"[[0, 0, -2, 0, 3, 1], [1, 1, 1]]"
284107.a.284107.1,"[[32, -82, 73, -24, 0, 1], [1]]"
284132.a.284132.1,"[[-1, 0, -2, 0, 0, 0, 1], [1, 1, 1]]"
284138.a.568276.1,"[[-4, 9, 7, -5, -3], [0, 0, 1, 1]]"
284157.a.284157.1,"[[0, 2, 3, 1, 0, 1], [1]]"
284170.a.568340.1,"[[0, 2, 11, 15, -2, 1], [0, 1]]"
284182.a.568364.1,"[[0, 0, -1, -4, -1, 1], [1, 1]]"
284223.a.852669.1,"[[-1, 4, -5, 5, -2, 1], [1]]"
284227.a.284227.1,"[[6, -24, 25, 0, -9, 0, -1], [1, 0, 1, 1]]"
284231.a.284231.1,"[[4, 10, 12, 6, 1], [1, 1, 0, 1]]"
284251.a.284251.1,"[[-2, 0, -2, 1, 1, -1], [1, 1, 1]]"
284258.b.568516.1,"[[13, 1, -12, -3, 3, 1], [0, 1]]"
284289.a.852867.1,"[[0, 1, -1, -18, -26, 3], [1, 1]]"
284296.a.568592.1,"[[-2, 4, 0, -6, 1, 2], [1, 1]]"
284296.b.568592.1,"[[0, 1, -6, -1, 5, 2], [0, 1]]"
284297.a.284297.1,"[[0, 0, 0, 3, -1, 1], [1, 1]]"
284299.a.284299.1,"[[0, 5, -2, -7, -1, 1], [1, 0, 0, 1]]"
284310.a.284310.1,"[[23, -72, 39, 5, -6], [1, 0, 0, 1]]"
284343.a.853029.1,"[[2, 0, -2, -1, 0, 1], [1]]"
284385.a.853155.1,"[[2, 22, 18, -4, -5], [1, 1, 0, 1]]"
284391.a.284391.1,"[[0, -1, -2, 0, -2, -1], [1, 1, 1]]"
284391.b.284391.1,"[[3, 0, 2, 1], [0, 1, 1, 1]]"
284396.a.568792.1,"[[0, 2, -2, 2, -2, 1], [0, 1, 1]]"
284401.a.284401.1,"[[0, 1, 1, 1, 1, -3, 1], [1, 1]]"
284409.a.853227.1,"[[3, -3, -2, 0, -1], [0, 0, 0, 1]]"
284418.a.568836.1,"[[7, -32, 37, 17, -43, 0, 12], [0, 1, 1]]"
284418.b.568836.1,"[[-1, -3, 0, 12, 15, 4], [1, 0, 0, 1]]"
284444.a.568888.1,"[[4, 0, 1, -4, -1, 1], [1, 0, 0, 1]]"
284457.a.853371.1,"[[0, -1, 2, 4, 4, 1], [0, 1]]"
284460.a.568920.1,"[[0, 0, 1, 1, 1, 3], [1, 1, 0, 1]]"
284469.a.284469.1,"[[-1, 0, -2, 3, 4, 1], [1]]"
284474.a.284474.1,"[[2, -1, 0, 2, -2, 1], [0, 1, 1]]"
284481.a.853443.1,"[[2, -6, 15, -19, 22, -13, 7], [1]]"
284481.b.853443.1,"[[-1, -2, 0, 0, -1, 0, -1], [1, 1, 0, 1]]"
284509.a.284509.1,"[[-4, -13, -11, 0, 1], [0, 0, 0, 1]]"
284512.a.569024.1,"[[1, 3, -2, -4, 0, 2], [1]]"
284522.a.569044.1,"[[0, -2, 2, 8, -11, 1], [0, 1]]"
284578.a.569156.1,"[[1, 5, 10, 5], [0, 1, 1, 1]]"
284587.a.284587.1,"[[0, 0, 2, 4, 3, 2], [1, 1, 0, 1]]"
284629.a.284629.1,"[[-2, -6, -7, -4, -1, 1], [1]]"
284637.a.284637.1,"[[-4, -5, 21, -13, 0, 1], [1, 1]]"
284643.a.853929.1,"[[-1, 4, -6, 0, 0, 1], [1, 1, 0, 1]]"
284672.a.284672.1,"[[6, -1, -3, 6, -3, 1], []]"
284672.b.284672.1,"[[-6, -1, 3, 6, 3, 1], []]"
284672.c.569344.1,"[[3, 2, 5, 3, 2, 1], []]"
284714.a.569428.1,"[[0, 1, 0, -4, 4, -2], [1, 1, 1]]"
284723.a.284723.1,"[[0, -1, -11, -14, -6], [0, 1, 0, 1]]"
284752.a.284752.1,"[[0, 2, 3, 5, 2, 1], [1, 0, 1]]"
284784.a.284784.1,"[[-5, -22, -25, 4, 7, -9, 1], [0, 0, 0, 1]]"
284811.a.854433.1,"[[-1, 2, -2, 2, -1], [1, 1, 0, 1]]"
284829.a.284829.1,"[[3, -4, -2, -1], [1, 1, 1, 1]]"
284837.a.284837.1,"[[0, 1, -3, 4, -1, 1], [0, 1]]"
284866.a.284866.1,"[[3, -7, 9, -5, 1, 1], [0, 1]]"
284871.a.284871.1,"[[3, 5, 6, 3, 2], [0, 0, 1, 1]]"
284898.a.854694.1,"[[-2, 0, 2, 0, 0, 1], [0, 1, 0, 1]]"
284927.a.284927.1,"[[-2, -2, 2, 4, 0, -2, -1], [1, 0, 0, 1]]"
284928.a.854784.1,"[[0, 3, -3, -2, 3, 0, -1], [0, 1]]"
284936.a.569872.1,"[[1, -4, 3, 3, -4, 2], [0, 1]]"
284938.a.569876.1,"[[-2, 7, -6, -1, 0, 2], [0, 0, 1]]"
284939.a.284939.1,"[[-1, -1, 0, 0, -1, -1], [1, 1, 0, 1]]"
284943.a.284943.1,"[[-1, 1, 4, 2], [1, 0, 1, 1]]"
284967.a.854901.1,"[[0, 2, 0, -1, -1], [1, 1, 1, 1]]"
285003.a.855009.1,"[[2, 1, -3, -3, 0, 1], [1, 1, 1]]"
285004.a.285004.1,"[[3, -5, 2, 0, -2], [1, 0, 0, 1]]"
285008.a.285008.1,"[[-1, 4, -6, 6, -3, 1], [0, 0, 0, 1]]"
285039.a.285039.1,"[[0, 1, 0, -5, 2, 0, -1], [1, 1, 1]]"
285086.a.570172.1,"[[0, -1, 1, 2, -3, 1], [1, 0, 0, 1]]"
285088.a.570176.1,"[[1, -4, 7, -6, 2, 0, 1], [0, 1]]"
285088.b.570176.1,"[[5, -4, 5, -1, 2], [0, 0, 0, 1]]"
285118.a.285118.1,"[[0, -1, -10, 30, -22, 1], [0, 1, 1]]"
