cond,disc,data
8447,8447,"[[0,-4,-2,-4,-1,-1],[1,1]]"
8448,33792,"[[0,-1,0,1,3,2,1],[]]"
8448,4843313823744,"[[0,-2,-23,8,-6,2,1],[]]"
8448,1622016,"[[1,-2,-2,2,3,2],[]]"
8448,2164665104362968385975222272,"[[42,70,63,-700,336,238,7],[]]"
8448,4729798656,"[[2,1,-5,-4,-2,3,1],[1,1,1,1]]"
8448,1622016,"[[-1,-2,2,2,-3,2],[]]"
8448,14948499456,"[[5,4,-13,-4,16,0,-8],[]]"
8450,34611200,"[[1,3,2,2,-3,1],[0,1]]"
8450,892531250,"[[-6,7,-6,7,-2,1],[1,1]]"
8450,50930548980527923200,"[[-6,44,-50,59,44,16],[1,1]]"
8450,206298828125000,"[[0,-5,30,15,1,-3,1],[0,0,1,1]]"
8450,8450,"[[0,21,-5,-9,1,1],[1,1]]"
8451,29466814972851,"[[-7,-27,-45,-14,6,3,-1],[1,0,0,1]]"
8451,40420871019,"[[-3,-11,11,-7,1],[1,1,0,1]]"
8451,76059,"[[0,-3,7,-5,2,-1],[1,1]]"
8451,40420871019,"[[-6,9,-8,-4,2,-2],[1,0,1,1]]"
8451,1739985957331878699,"[[35,-114,61,124,-22,-11,-1],[1,0,1,1]]"
8451,499023099,"[[2,-9,15,-5,-2,1],[1,0,0,1]]"
8451,8451,"[[-1,-1,-1,-1,-1],[1,1,0,1]]"
8451,29466814972851,"[[-12,-38,-21,41,7,-4],[1,0,1,1]]"
8452,276955136,"[[9,-11,15,-8,4,-1],[0,1,1,1]]"
8452,16904,"[[-2,8,-8,-5,3,2],[1,1,0,1]]"
8452,16904,"[[0,-1,-2,2,1,-2],[1,0,1,1]]"
8452,270464,"[[4,-2,4,-2,1,-1],[0,1,1,1]]"
8454,16908,"[[1,-1,0,1,-2],[0,1,1,1]]"
8454,242611319556,"[[0,2,27,76,-2,1],[0,1,1]]"
8460,73094400,"[[6,7,5,1,1],[1,1,1,1]]"
8460,303137095680,"[[0,-27,36,65,-37,-66,-19],[]]"
8462,33848,"[[-4,2,-10,3,-9,1,-3],[0,1]]"
8462,541568,"[[1,1,4,3,2,1],[0,1,0,1]]"
8462,4497053742,"[[-2,-2,4,-3,-7,1,2],[0,1]]"
8462,1062186105645432,"[[-3,-9,-34,-5,-12,4,-1],[0,1,1,1]]"
8464,2166784,"[[-8,20,-5,-12,2,0,-1],[0,0,1,1]]"
8464,568009424896,"[[-12,-32,-4,36,2,-14,3],[0,1,0,1]]"
8464,49836032,"[[-1,-3,-3,6,1,-3,-1],[1,1,1,1]]"
8466,2590596,"[[-79,183,-107,-18,16,4],[1,0,0,1]]"
8468,618164,"[[-1,5,-5,-2,1,1],[1,0,0,1]]"
8468,41484283805696,"[[3,-10,4,-12,-4,-2,-5],[]]"
8474,68076313376426496,"[[-15,-63,-25,-20,-3,-5,-1],[0,1,1,1]]"
8474,16948,"[[5,-1,7,-3,2,-1],[0,1,1,1]]"
8474,116246332,"[[0,1,10,11,-2,-1],[0,1,1]]"
8475,51727294921875,"[[0,5,21,-5,10,5],[0,1]]"
8475,3310546875,"[[-15,12,-2,3,1],[0,1,0,1]]"
8475,142186905600,"[[-1,12,-10,-1,-3,-1],[1,1,1,1]]"
8475,8475,"[[0,1,-3,-2,5,5,1],[0,0,0,1]]"
8480,2256624548907033600,"[[-75,0,27,33,-7,-5,-4],[0,0,1,1]]"
8480,8515564335498240,"[[-15,0,-27,15,-7,-5,-1],[0,0,1,1]]"
8480,2170880,"[[0,-8,11,7,-9,-2],[0,0,1]]"
8480,2170880,"[[0,2,-2,-4,2,2],[0,1,0,1]]"
8480,84800,"[[-1,2,0,-1,1,-1],[0,0,1,1]]"
8480,161744781035407378344111342878720,"[[-420,532,-399,14,777,140,-114],[0,0,0,1]]"
