labels,data
696705.a.696705.1,"[[1, 3, 0, -3, -1, -3, 3], [1, 1]]"
696725.a.696725.1,"[[6, 8, 0, 0, 1, -1], [1, 1, 1, 1]]"
696763.a.696763.1,"[[0, -1, -2, 2, 1], [0, 1, 1, 1]]"
696769.a.696769.1,"[[2, 0, -2, -2, -1, 1], [1, 1, 0, 1]]"
696819.a.696819.1,"[[0, 1, -3, 0, -1], [1, 1, 0, 1]]"
696823.a.696823.1,"[[-3, 1, 3, -3, -3], [0, 0, 0, 1]]"
696829.a.696829.1,"[[0, 1, 1, -4, -6], [0, 1, 0, 1]]"
696836.a.696836.1,"[[3, 16, 27, 18, 5], [1, 0, 0, 1]]"
696841.a.696841.1,"[[0, -1, -1, 4, 6, 1], [0, 1, 1]]"
696848.a.696848.1,"[[0, -1, 1, -1, 0, 0, -1], [0, 1]]"
696863.a.696863.1,"[[0, 0, 1, 1, 0, 0, 1], [1, 1, 1]]"
696913.a.696913.1,"[[0, -3, 0, 6, -2, -4, 1], [1, 1, 0, 1]]"
696947.a.696947.1,"[[-10, 8, -3, 1, 0, -1], [1, 1, 0, 1]]"
697003.a.697003.1,"[[0, 1, -1, 2, -2, 1], [1, 1]]"
697040.a.697040.1,"[[1, 0, 6, -16, 10, 0, -1], [1]]"
697053.a.697053.1,"[[5, 0, -8, 1, 4, -2], [1, 0, 0, 1]]"
697056.a.697056.1,"[[2, 2, 1, -2, -1], [0, 1, 0, 1]]"
697061.a.697061.1,"[[11, 10, 0, -2, 0, 1], [0, 1, 0, 1]]"
697072.a.697072.1,"[[0, 1, -1, -2, 1, 0, -1], [1]]"
697075.a.697075.1,"[[0, 2, 3, 1, 2, 1], [1]]"
697107.a.697107.1,"[[-3, -6, 0, 0, -9, -5, -1], [0, 1, 0, 1]]"
697123.a.697123.1,"[[3, 2, -3, 0, 1, -1], [0, 1, 1]]"
697135.a.697135.1,"[[-2, -3, -5, -4, -4, -2, -1], [1, 0, 1]]"
697173.a.697173.1,"[[-15, 1, 30, -20, -1, 1], [1, 0, 1, 1]]"
697204.a.697204.1,"[[-1, 0, 5, -8, -1, 1], [1, 1, 1]]"
697223.a.697223.1,"[[0, -2, 2, 0, 1, -2], [1, 0, 0, 1]]"
697237.a.697237.1,"[[0, 0, -4, -5, 0, 1], [1]]"
697279.a.697279.1,"[[-2, 1, 4, 0, -2], [1, 1, 0, 1]]"
697349.a.697349.1,"[[0, 0, -3, 1, 5, 1], [1]]"
697461.a.697461.1,"[[-1, -11, 23, -14, 0, 1], [1, 1, 1]]"
697475.a.697475.1,"[[-5, -6, 2, 3], [1, 0, 0, 1]]"
697511.a.697511.1,"[[0, 0, 1, 0, -5, 2], [1, 1, 0, 1]]"
697552.a.697552.1,"[[-1, -2, -3, -2, 0, 1], [0, 0, 1]]"
697613.a.697613.1,"[[-2, 0, 9, -1, -24, -17, -1], [1]]"
697630.a.697630.1,"[[-1, -3, -5, -4, -1, 1], [0, 1]]"
697646.a.697646.1,"[[-29, 33, 3, -12, 1, 1], [0, 1]]"
697649.a.697649.1,"[[0, 2, 7, 5, -2], [1, 1, 0, 1]]"
697691.a.697691.1,"[[0, 1, 2, -6, 2, 1], [0, 1]]"
697691.b.697691.1,"[[0, 1, 3, 9, 6, 1], [0, 1]]"
697691.c.697691.1,"[[0, 1, -4, 0, 2, 1], [0, 1]]"
697691.d.697691.1,"[[0, 1, -7, 15, -10, 1], [0, 1]]"
697757.a.697757.1,"[[0, 0, 1, -5, 1, 1], [1, 1, 1]]"
697793.a.697793.1,"[[-5, -2, 4, 0, -3, -1], [1, 1, 1]]"
697856.a.697856.1,"[[-2, 2, 1, -8, 4, 4, -6], [1, 1]]"
697856.b.697856.1,"[[-1, 1, -1, -1, 1, 0, -1], [1, 0, 1]]"
697921.a.697921.1,"[[0, 1, -6, 7, 1, 1], [0, 1, 1]]"
697925.a.697925.1,"[[0, -1, -10, 0, 4, 1], [0, 1]]"
697935.a.697935.1,"[[5, 6, -6, -4, 0, 1], [1, 1, 1]]"
697963.a.697963.1,"[[-2, 0, 4, 0, -4, 1], [1, 0, 1]]"
697972.a.697972.1,"[[-3, 0, 7, 1, -5, -2], [1, 0, 0, 1]]"
697984.a.697984.1,"[[2, -2, 2, -3, 1], [0, 0, 0, 1]]"
698011.a.698011.1,"[[32, 5, -50, -5, 25, 1, -4], [1, 1]]"
698029.a.698029.1,"[[0, 2, 6, 4, -5], [1, 1, 0, 1]]"
698036.a.698036.1,"[[-17, -18, -3, 0, -1], [0, 1, 1, 1]]"
698059.a.698059.1,"[[-1, -1, 4, -2, -3], [0, 0, 0, 1]]"
