cond,disc,data
44750,5593750,"[[0,1,8,11,4,1],[0,1,1]]"
44751,134253,"[[2,-2,4,-3,2,-1],[1,1,0,1]]"
44752,45826048,"[[5,8,-2,-12,-5,4,3],[]]"
44752,45826048,"[[1,-4,2,6,-3,-4,-1],[]]"
44755,44755,"[[-2,-2,1,-1,-1],[1,0,1,1]]"
44760,21484800,"[[0,12,28,10,-9,-1],[0,0,1]]"
44760,49500979200,"[[2,6,8,15,10,5,1],[1,0,1]]"
44760,223800000000,"[[0,4,-44,42,16,-5],[0,0,1,1]]"
44762,179048,"[[-8,8,16,-10,-10,1],[0,1]]"
44768,716288,"[[-2,3,4,-5,-3,2,1],[1]]"
44768,6090636976128,"[[8,-48,-55,-14,-15,-1,-1],[]]"
44768,5730304,"[[0,1,1,-2,1,4],[]]"
44768,358144,"[[1,2,0,0,2,-2],[0,0,1,1]]"
44768,11460608,"[[2,-27,111,-86,-211,-44,-4],[]]"
44768,366739456,"[[12,-1,-5,0,-1,-1],[1,1,1,1]]"
44768,11460608,"[[12,-28,13,0,3,2],[0,0,0,1]]"
44768,22921216,"[[0,-1,-2,5,7,-8,-4],[]]"
44768,5730304,"[[0,1,-3,-3,4,4,1],[]]"
44770,2865280,"[[1,1,-2,-1,-1,-1],[0,1]]"
44772,87036768,"[[-2,-7,-5,-4,-1],[1,0,0,1]]"
44775,61201828125,"[[-7,0,-9,8,3,1,-2],[1]]"
44775,61201828125,"[[-4,11,-7,8,-14,1,-2],[0,0,0,1]]"
44775,32794189453125,"[[-7,-10,-17,-11,0,-2,1],[0,1,1]]"
44775,17193600000000000000000,"[[135,200,-85,-140,-35,70,-10],[]]"
44778,275116032,"[[0,-3,10,-5,0,1],[0,1,1]]"
44779,1283903488,"[[-4,-8,-1,1,-2,1,-1],[0,0,0,1]]"
44780,7003271462221848193368800,"[[700,70,110,-46,36,10,-2],[0,1,1,1]]"
44780,11738808320,"[[5,-5,2,6,-1,-3,-1],[0,1,1,1]]"
44780,114636800,"[[0,-3,9,-8,5],[1,0,0,1]]"
44784,174120192,"[[-36,48,22,-35,-9,7,2],[0,0,1,1]]"
44784,5264191087312896,"[[2,1,28,-32,40,-17,2],[1,1,1,1]]"
44784,9713913109835599872,"[[-3,-20,-51,99,-114,79,-21],[1,1,1,1]]"
44784,1567081728,"[[0,9,32,31,6,4],[0,1]]"
44784,9713913109835599872,"[[246,228,69,25,-3,-6,1],[1]]"
44784,584910120812544,"[[-7,-14,6,8,0,4,-5],[1,1,1,1]]"
44784,2149632,"[[1,2,5,3,3,1],[0,0,0,1]]"
44784,8804892672,"[[-2,-3,-6,4,5,-3],[1,0,1]]"
44784,584910120812544,"[[128,-41,-3,-10,-3,1],[1,1,1,1]]"
44786,2629845385216,"[[16,-16,-24,23,11,-7,-3],[0,0,1]]"
44787,403083,"[[0,0,-3,3,1,1],[1]]"
44787,3795141376121492529,"[[-49,16,65,25,-54,-7,3],[1,0,0,1]]"
44787,106780529022216796875,"[[-15,-30,-54,82,-2,-33,11],[0,1,1,1]]"
44790,5374800,"[[1,-1,3,-3,0,-1],[0,0,1,1]]"
44790,2751897600,"[[-1,20,-106,-9,53,1,-7],[0,1,0,1]]"
44790,421710620980000770,"[[1,12,-66,18,30,16,2],[1,1,1]]"
44790,1154229511127040000,"[[-25,80,-13,-97,4,4,-4],[0,1]]"
44790,5553493573278153646080,"[[126,282,-290,-13,-24,-1,-1],[0,1,0,1]]"
44792,19839325961830144,"[[-9,1,27,-25,-29,26,-3],[1,1]]"
44794,44794,"[[1,-3,1,4,-1,-3,-1],[0,0,1,1]]"
44794,91738112,"[[0,1,-7,17,7,1],[0,1,1]]"
44794,358352,"[[8,4,12,4,6,1,1],[1,0,1]]"
44794,179176,"[[-3,1,-4,0,-1,-1],[0,0,1,1]]"
44796,806328,"[[-2,1,3,-1,-1],[1,0,1,1]]"
44800,57344000,"[[0,-1,3,0,-8,-4],[]]"
44800,3584000000000,"[[-23,-58,-17,54,40,4],[]]"
44800,3809369088000,"[[-27,-27,-7,-13,-7,0,-2],[0,1,0,1]]"
44800,17920000000000000000,"[[10,50,55,60,-80,-80,-120],[]]"
44800,1093750000000000,"[[0,5,-5,-35,-20,10,10],[]]"
44800,9175040000000,"[[-8,16,24,-44,-37,28,21],[]]"
44800,1879048192000000000000000,"[[-42,316,-530,0,80,16,-8],[]]"
44800,13469017440256000000,"[[-168,-208,16,0,-34,20,-2],[]]"
44800,822083584000000,"[[1,16,3,-16,0,0,-4],[]]"
44800,30118144000000,"[[0,25,26,-13,-1,2],[0,1,0,1]]"
44800,7168000000000000000,"[[-14,72,75,80,0,-8,-1],[]]"
44800,458752000,"[[4,0,1,2,1,-1],[0,0,0,1]]"
44800,2936012800000000000000000,"[[10,40,-160,-520,610,800,1260],[]]"
44800,2104533975040000000000,"[[0,-100,530,-256,-56,16,8],[]]"
44800,77102448640000,"[[-2,0,-1,18,27,8],[]]"
44800,1879048192000000000000000,"[[-168,-16,320,-80,-170,44,-2],[]]"
44800,458752000,"[[0,4,4,16,15,16,14],[]]"
44800,43904000000000000000,"[[34,-42,5,-15,-55,8,16],[]]"
44800,6349718186033152000,"[[25,-70,-25,112,32,-44,-16],[]]"
44800,57344000,"[[0,1,0,-2,4,5],[]]"
44800,13612208361308569600,"[[1,17,-159,93,-58,8],[1,1]]"
44800,13469017440256000000,"[[0,-56,-50,48,-136,64,-8],[]]"
