cond,disc,data
29040,148349241482280960,"[[0,32,5,-95,-42,57,31],[]]"
29040,50181120,"[[-15,5,-2,1,1],[0,1,0,1]]"
29040,92928000000,"[[-2,-2,1,2,-5,-6,-3],[]]"
29040,278784000000,"[[0,-2,-9,-6,11,-4,-5],[]]"
29040,34848000,"[[0,-3,-2,6,4,-4,-3],[]]"
29040,784080,"[[3,-8,2,0,2],[0,0,1,1]]"
29040,118947840000,"[[12,-36,-23,90,49,-44,-26],[]]"
29040,14868480,"[[8,0,-47,-45,-30,10,-1],[0,0,1,1]]"
29040,5111040,"[[0,-11,0,-3,1],[0,1,0,1]]"
29040,148684800,"[[1,2,3,2,5,6,6],[]]"
29040,1393920,"[[1,0,0,-2,2,-1],[]]"
29040,5622144000000000000,"[[2,0,-29,-34,-41,-72,-26],[]]"
29040,613324800000,"[[8,8,-27,45,-29,12],[0,0,1]]"
29040,122664960,"[[0,4,1,-2,-5,3],[0,0,1]]"
29040,620991360000,"[[1,12,29,-24,0,2],[0,0,1]]"
29040,39579893760000,"[[2,21,-10,-16,8,3],[1,1,1,1]]"
29043,2558118592512,"[[-5,8,-5,8,-7,6,-2],[]]"
29043,2917147142007,"[[-1,-8,9,-8,-4,6,-3],[1,1,1]]"
29044,7613710336,"[[-8,12,27,-29,-36,16,16],[]]"
29044,60909682688,"[[4,-10,-22,-31,-14,-3,3],[0,1,0,1]]"
29050,291522560000,"[[16,-16,4,-11,4,2],[0,0,1,1]]"
29050,5673828125000000,"[[5,-15,-10,5,16,-3,1],[0,0,1,1]]"
29050,290500,"[[2,5,13,7,7,5,1],[0,0,1]]"
29051,319561,"[[-2,-1,-3,-2,-1,-1],[1,1,1]]"
29052,4183488,"[[0,-2,1,-2,3,-1],[0,1,1]]"
29052,2276635695316992,"[[10,-33,66,-61,39,-6,1],[]]"
29052,16655770976256,"[[0,16,25,1,-9,3],[]]"
29052,2276635695316992,"[[-8,-12,-6,-9,-9,0,-7],[0,0,0,1]]"
29055,1051994385,"[[5,14,-2,-9,0,1],[1,1,1]]"
29056,929792,"[[0,-3,-1,2,-1,-1],[1,1,1,1]]"
29056,2100805788669935616,"[[2,-48,81,-10,0,6,-2],[]]"
29056,1867382923262164992,"[[12,-72,54,-30,0,0,-3],[]]"
29056,238026752,"[[0,2,10,-5,2,-1],[0,1,0,1]]"
29056,14876672,"[[-3,4,-4,3,-1,1],[1,0,1]]"
29056,7438336,"[[0,-2,0,6,3,-4,-6],[]]"
29060,148787200,"[[1,-1,1,3,3,3,1],[0,1,1]]"
29060,58120,"[[0,-2,2,1,-1],[1,1,0,1]]"
29070,447387300,"[[0,-1,10,16,3,-2],[0,1,1]]"
29070,447387300,"[[-1,-6,-5,9,5,-2,-1],[0,1,1]]"
29072,9186752,"[[0,2,17,14,2,2,1],[0,1,0,1]]"
29072,735195046982189056,"[[0,16,8,-87,-43,104,68],[]]"
29072,3721216,"[[1,1,0,-1,0,2,1],[0,1]]"
29072,29894579485174923264,"[[12,36,81,18,-9,-18,3],[]]"
29072,7621050368,"[[-3,13,-9,-1,-1],[0,1,0,1]]"
29072,18373504,"[[33,54,-31,-59,18,19,-7],[1,0,1]]"
29072,2296688,"[[-1,4,-2,3,3,-1,-1],[0,1,0,1]]"
29077,29077,"[[0,1,-2,-3,0,1],[1,0,1]]"
29079,15453772839,"[[-7,-18,-6,15,3,-6,1],[1,0,0,1]]"
29079,191682861328125,"[[-6,-41,-80,-23,27,-3],[1,0,1]]"
29079,87237,"[[-79,16,-56,8,-13,1,-1],[0,1]]"
29079,87237,"[[0,-1,-2,0,2,-1],[0,1]]"
29079,63595773,"[[11,72,138,46,-57,12,-1],[1,0,0,1]]"
29079,63595773,"[[-1,0,-3,4,-6,3,-1],[1,0,0,1]]"
29079,117997242565898797056,"[[-33,-222,-295,279,60,-48],[0,1]]"
29079,3737722193387974656,"[[0,-48,285,-426,20,3],[0,0,1]]"
29079,266740005076992,"[[-33,24,-21,-24,9,-6,-6],[]]"
29079,63595773,"[[2,-45,237,-114,-42,-3],[1]]"
29079,63595773,"[[2,4,0,-4,0,1,-1],[1,1,1,1]]"
29080,149025713150746024299619942400,"[[448,112,-616,455,-352,87,-44],[0,0,1,1]]"
29083,121982943232,"[[3,2,0,-4,-8,-6,-1],[]]"
29085,120848175,"[[0,5,3,6,2,1],[0,1,1]]"
29085,92225446871040,"[[0,9,-22,-13,26,-7],[]]"
29088,4149624477421928448,"[[0,16,-24,9,47,-24,-24],[]]"
29088,11169792,"[[0,2,-1,-17,-16,-4],[1]]"
29088,465408,"[[21,-26,-12,17,3,-3,-1],[0,1,0,1]]"
29088,17156800512,"[[0,4,-2,-12,-19,-12,-4],[]]"
29088,742010678784,"[[-2,6,-10,5,-8,-3],[0,1,0,1]]"
