cond,disc,data
34983,31379751,"[[-1,1,3,2,0,-2,-1],[1,0,0,1]]"
34983,1364337,"[[11,18,-5,-14,2,3,-1],[1,0,0,1]]"
34983,2422902760303093029,"[[74,-41,-156,49,86,6,-15],[1,1,1]]"
34983,16996939476403646103552,"[[27,-72,-105,96,333,366,138],[]]"
34983,427862746202112,"[[0,1,-1,53,1,-157,-103],[]]"
34983,355813547815213203456,"[[27,54,0,-36,-48,6,15],[]]"
34983,501967813581,"[[2,-9,6,-8,0,-3,-1],[1,0,0,1]]"
34983,5279039649,"[[-1,-1,10,13,-2,-1],[1,1,1]]"
34983,2175193858851,"[[12,1,-11,13,12,-1],[0,1,1]]"
34986,3918432,"[[0,-2,-2,0,3,3,1],[1,1,1]]"
34986,535600674,"[[0,7,12,3,-6,1],[0,1,1]]"
34986,2473941981865181184,"[[0,-21,62,83,-192,-144,-128],[]]"
34988,2292973568,"[[3,-54,11,-35,7,-6,1],[1,0,1,1]]"
34992,16926659444736,"[[-4,-24,-12,-6,9,3],[0,0,0,1]]"
34992,6687075336192,"[[16,-36,20,-4,-5],[0,1,0,1]]"
34992,1880739938304,"[[-1,-2,6,20,-18,4,-1],[1,1,1,1]]"
34992,1880739938304,"[[158,373,183,-58,-21,-5,2],[1,1,1,1]]"
34992,45137758519296,"[[-72,72,129,-102,-81,36,18],[]]"
34992,2028908190892032,"[[-4,16,-4,-28,-17,38,15],[]]"
34992,3914330607252347398958762384215583490048,"[[-2808,-936,1209,-1014,-1053,936,-1170],[]]"
34992,117546246144,"[[-3,-6,15,3,-6,-3,-1],[0,0,0,1]]"
34992,264479053824,"[[-3,-12,-6,3,-3,3,-1],[0,0,0,1]]"
34992,33059881728,"[[-7,13,-18,5,6,-2,-1],[1,1,1,1]]"
34992,1224440064,"[[-4,4,-1,-4,-3,-1],[0,0,1]]"
34992,132239526912,"[[-24,0,-27,9,-7,4,-1],[0,0,1,1]]"
34992,22060069793074948589700687986688,"[[-2520,504,1029,42,0,63,-16],[0,0,0,1]]"
34992,1224440064,"[[4,0,-3,-2,2,-2],[0,0,1,1]]"
34992,2902376448,"[[1,-2,5,0,-8,2,2],[]]"
34992,831979165027663872,"[[12,-24,24,12,-21,-24,-6],[]]"
34992,2239488,"[[8,0,9,3,2,1],[0,0,1,1]]"
34992,459165024,"[[-6,-6,-13,-9,-8,-3,-1],[0,1,0,1]]"
34992,14693280768,"[[2,-27,103,-138,38,-3],[1,0,1]]"
34992,47192450415368771688835387541179392,"[[-936,-1248,429,2067,653,429,78],[0,0,1]]"
34992,69657034752,"[[20,-14,9,-4,-3],[1,1,1,1]]"
34992,394865111526801408,"[[-48,-108,-61,-12,13,0,-1],[0,1,0,1]]"
34992,967458816,"[[1,-4,2,12,-11,-26,-10],[]]"
34992,8264970432,"[[0,-6,-9,6,3,0,-1],[0,0,0,1]]"
34992,23219011584,"[[0,4,-39,36,5,-9],[0,0,1]]"
34992,1624959306694656,"[[12,-132,411,-78,-759,-456,-78],[]]"
34992,3779136,"[[2,-5,0,-4,0,-1],[1,1,1,1]]"
34992,394865111526801408,"[[12,12,51,30,69,12,30],[]]"
34995,7873875,"[[2,-11,9,10,-6,-5,-1],[1,1,0,1]]"
34995,34995,"[[-1,-1,-1,-1,-1,-1],[1,0,1,1]]"
34995,11082759195208095008755155,"[[-9,70,381,381,285,157,40],[1,0,1,1]]"
34997,2764763,"[[-5,1,9,4,1,1],[0,0,1]]"
35000,15312500000000000,"[[-80,40,5,20,11,2,1],[0,0,1,1]]"
35000,39200000000000000,"[[0,10,45,-10,5,10],[]]"
35000,10276044800000000000000,"[[0,-80,120,-405,-130,-5],[]]"
35000,140000000000000000,"[[5,29,21,-5,0,12,-4],[1,1]]"
35000,1367187500000000000000000,"[[26,147,106,-25,0,60,-20],[1,1]]"
35001,8505243,"[[-7,-5,9,-2,-3],[1,1,1,1]]"
35001,55802899323,"[[0,-11,59,-92,19,-1],[1]]"
35003,595051,"[[-13,26,-2,-19,1,5,1],[1,1]]"
