labels,data
63846.a.383076.1,"[[-3, 1, 7, 1, -3, -1], [0, 1, 1]]"
63856.a.255424.1,"[[0, 0, -1, -1, 1, 0, 1], [1]]"
63871.a.63871.1,"[[-1, -25, -45, -22, 1, 2], [0, 0, 0, 1]]"
63879.a.63879.1,"[[19, -1, -20, 0, 6, 0, -1], [1, 1, 0, 1]]"
63879.b.63879.1,"[[-1, -1, -2, 1, 4, 2], [1, 1, 0, 1]]"
63891.a.191673.1,"[[-1, 1, -1, 0, 1], [1, 0, 1, 1]]"
63897.a.63897.1,"[[-1, 1, -1, -3, 2, 0, -1], [1, 1, 1]]"
63899.a.63899.1,"[[-1, -2, -1, 0, 0, 1], [0, 1, 0, 1]]"
63899.b.63899.1,"[[0, 2, 4, 0, -6, 1], [1, 0, 1]]"
63899.c.63899.1,"[[0, 1, -3, 1, 3, 1], [1, 0, 1]]"
63905.a.319525.1,"[[1, 2, 0, 0, 2, 1], [1]]"
63936.a.767232.1,"[[3, 3, -2, -3, 0, 1], []]"
63956.a.255824.1,"[[0, -1, 2, -1, 3, 0, 1], [0, 1]]"
63962.a.255848.1,"[[5, 11, 3, -4, 0, 1], [0, 1]]"
63972.a.127944.1,"[[-1, -1, 1, 2, 1], [0, 1, 1, 1]]"
63973.a.63973.1,"[[-8, 1, 8, 1, 0, -4, 1], [0, 0, 1]]"
63975.a.63975.1,"[[0, -1, 1, 1, -2], [1, 1, 0, 1]]"
63988.a.511904.1,"[[2, -6, -7, 18, 11, 1], [0, 1, 1]]"
63994.a.255976.1,"[[0, 1, -4, 2, 0, 1], [0, 1, 1]]"
63997.a.63997.1,"[[0, 1, -1, 3, -1, 1], [0, 1]]"
63997.a.63997.2,"[[-1, -8, -26, -12, 40, 1], [1, 0, 1]]"
63997.b.63997.1,"[[0, -2, 4, 0, -3, 1], [1, 0, 1]]"
63999.a.191997.1,"[[-1, -1, -1, 0, 1], [0, 0, 1, 1]]"
64000.a.64000.1,"[[-2, 8, -8, -2, 3, 1], [0, 0, 1]]"
64000.c.64000.1,"[[-665, 60, 75, -10, 0, 1], [0, 0, 1]]"
64000.g.320000.1,"[[-1, -8, -17, -8, -16, 1], [0, 0, 1]]"
64018.a.128036.1,"[[0, 1, -8, 16, -6, 1], [0, 1, 1]]"
64019.a.64019.1,"[[0, -2, 1, 0, -1, 1], [1, 1, 1]]"
64022.a.128044.1,"[[2, -7, 6, 1, -2], [0, 0, 1, 1]]"
64022.b.128044.1,"[[-1, 0, 3, 1, -3, -2], [0, 1, 1]]"
64024.a.256096.1,"[[0, 0, 1, 3, 2, 2, 1], [1, 1]]"
64029.a.576261.1,"[[1, -2, -2, 0, 1], [1, 0, 1, 1]]"
64032.a.128064.1,"[[-3, -4, 0, 4, 3, 1], [0, 0, 1]]"
64037.a.64037.1,"[[-1, 10, -42, 39, 57, 7], [1, 0, 1, 1]]"
64037.b.64037.1,"[[-1, 0, 3, 2, -1, -1], [1, 1, 0, 1]]"
64047.a.192141.1,"[[-6, 23, -2, -22, -2, 3], [0, 0, 1]]"
64047.b.192141.1,"[[0, 2, -1, -4, 0, 1], [1, 0, 0, 1]]"
64050.a.512400.1,"[[-2, 3, -9, 8, -10, 5, -3], [1, 1, 1]]"
64051.a.64051.1,"[[-8, 33, 19, -11, -7], [1, 1, 0, 1]]"
64052.a.256208.1,"[[1, 1, 0, 0, 1, 1], [0, 1, 1]]"
64053.a.576477.1,"[[0, 0, 3, 5, 5, 3, 1], [1, 1]]"
64066.a.256264.1,"[[-5, 7, 0, -4, 1, 1], [0, 0, 1, 1]]"
64081.a.64081.1,"[[3, 3, -2, -4, 0, 1], [1, 0, 0, 1]]"
64081.b.64081.1,"[[829, 372, -64, -38, 1, 1], [0, 1]]"
64083.a.576747.1,"[[0, 0, 0, 6, -5, 1], [1]]"
64084.a.256336.1,"[[29, -73, 36, 6, -6], [1, 0, 0, 1]]"
64096.a.256384.1,"[[-1, -1, -2, -2, 0, -1, 1], [1, 0, 1]]"
64102.a.512816.1,"[[0, 1, 0, -1, -2, 1], [1, 1]]"
64105.a.64105.1,"[[5, 5, -3, -4, 0, 1], [0, 0, 0, 1]]"
64116.a.769392.1,"[[-1, 5, -12, 0, 11, 3], [1, 1, 1]]"
64122.a.384732.1,"[[0, 2, 0, -3, -1, 1], [0, 1, 1]]"
64131.a.64131.1,"[[0, 1, 2, 0, 2, 1], [1, 1, 0, 1]]"
64138.a.64138.1,"[[-1, 5, -6, -2, 3, 1], [0, 1]]"
64138.b.256552.1,"[[0, -3, 5, 12, -35, 1], [1, 1]]"
64152.a.384912.1,"[[0, 0, 0, -1, 1, 2], [1, 1]]"
64161.a.192483.1,"[[0, 0, 1, 2, 4, 1], [1, 1]]"
64165.a.320825.1,"[[0, 1, 0, -5, -1, 5], [1, 1]]"
64174.a.128348.1,"[[-6, 11, 0, -9, 1, 2], [0, 1, 1]]"
64176.a.64176.1,"[[-21, 12, 9, -4, -2], [0, 1, 0, 1]]"
64184.a.256736.1,"[[0, 0, 1, 1, 1, -2], [1, 1]]"
64186.a.64186.1,"[[2, -6, 9, 1, -4, -1], [0, 1, 1]]"
64186.b.64186.1,"[[2, -41, 282, -667, 96, 1], [0, 1, 1]]"
64188.a.128376.1,"[[-2, 0, -5, 5, -1, -1], [1, 1, 0, 1]]"
64206.a.64206.1,"[[-2, 10, -14, 2, 2, 1], [0, 1]]"
64232.a.899248.1,"[[-33, 128, -129, -25, 53, 14], [0, 1]]"
64234.a.513872.1,"[[0, 0, -1, -4, 0, 4], [1, 1, 1]]"
64237.a.64237.1,"[[0, -3, 0, 1], [1, 0, 1, 1]]"
64238.a.128476.1,"[[-193, -4, 64, 0, -7], [1, 0, 0, 1]]"
64261.a.64261.1,"[[0, 1, 2, 0, 0, 1], [1, 1, 1]]"
64266.a.192798.1,"[[-5, 7, 17, 0, -9, -3], [0, 1, 1]]"
64272.a.128544.1,"[[0, 0, -3, -4, 6, 0, -1], [1, 1]]"
64289.a.64289.1,"[[1, 1, 0, -3, 0, 1], [1, 0, 0, 1]]"
64296.a.514368.1,"[[0, -2, 8, -11, 9, -4, 1], [0, 1]]"
64311.a.836043.1,"[[3, 6, 0, -22, -22, -7, -1], [0, 1, 0, 1]]"
64325.a.64325.1,"[[0, -1, -3, 0, 3, 1], [0, 1]]"
64333.a.64333.1,"[[0, 2, -4, 5, -3, 1], [1]]"
64342.a.128684.1,"[[0, 1, 0, -2, 3, -3, 1], [1, 1]]"
64350.a.965250.1,"[[0, 5, -9, 10, 7, 1], [0, 1, 1]]"
64352.a.128704.1,"[[0, 1, 1, -3, -3], [0, 1, 0, 1]]"
64354.a.64354.1,"[[-4, 31, -78, 56, 16, 1], [0, 1, 1]]"
64359.a.579231.1,"[[0, 1, 1, -3, -2, 3], [1, 1]]"
64364.a.257456.1,"[[-1, -5, -6, 1, 3, -1], [0, 1, 1]]"
64365.a.579285.1,"[[-2, 3, -10, 8, -10, 1], [1, 1, 0, 1]]"
64371.a.579339.1,"[[2, 1, -6, 0, 1, 1, -1], [1, 1, 0, 1]]"
64390.a.64390.1,"[[-3, -3, 3, 1, 0, -1], [1, 0, 0, 1]]"
64393.a.64393.1,"[[-12, -10, 3, 1, -2], [1, 1, 0, 1]]"
64393.b.64393.1,"[[-30, 28, 1, -3, -3], [1, 0, 1, 1]]"
64395.a.965925.1,"[[2, -3, 3, 0, -1, 1], [1]]"
