labels,data
6008.a.12016.1,"[[0, -1, -1, 2, 2, 1], [1, 0, 1]]"
6013.a.42091.1,"[[0, -1, -3, -3, 0, 1], [0, 1]]"
6018.a.204612.1,"[[0, 2, 3, 5, 3, 2], [1, 1, 1]]"
6019.a.6019.1,"[[0, 0, 1, 1, 0, -1], [1, 1]]"
6022.a.48176.1,"[[-1, -1, 1], [1, 0, 0, 1]]"
6032.a.78416.1,"[[-1, 1, -1, -1, -1, -2, -1], [1, 0, 1]]"
6034.a.84476.1,"[[0, -1, -1, 2, 4, 2], [0, 1, 1]]"
6050.a.60500.1,"[[0, 3, -6, 5, -2], [1, 0, 0, 1]]"
6074.a.48592.1,"[[0, -1, 0, 1, 2, 2], [1, 0, 0, 1]]"
6074.b.194368.1,"[[0, 1, -2, -6, 5, 8], [1, 0, 1]]"
6075.c.91125.1,"[[2, 1, -9, -5, 6, 5], [1, 1, 1]]"
6076.a.97216.1,"[[0, 1, 2, 0, -3], [1, 1, 0, 1]]"
6076.b.170128.1,"[[-139, 44, 48, -10, -7, 1], [0, 0, 0, 1]]"
6080.a.97280.1,"[[0, 1, 0, -3, -2, 4], [1]]"
6081.a.6081.1,"[[-33, -49, 57, -3, -7], [0, 0, 1, 1]]"
6081.a.164187.1,"[[0, 1, 1, 0, -2, -1], [1, 1]]"
6081.b.164187.1,"[[2, 5, 0, -5, -2], [1, 0, 1, 1]]"
6088.a.12176.1,"[[0, 1, 2, 4, 3, 2], [0, 1]]"
6088.b.48704.1,"[[0, 2, -2, -3, 1, 2], [0, 1]]"
6090.a.127890.1,"[[-79, 96, -1, -24, 0, 2], [1, 0, 0, 1]]"
6093.a.54837.1,"[[0, -2, 2, 8, 4, 1], [1]]"
6093.b.54837.1,"[[0, 1, -1, 1, 0, 1], [0, 1]]"
6093.b.493533.1,"[[61, -16, 47, -8, 12, -1, 1], [0, 1]]"
6096.a.97536.1,"[[-1, 1, 0, -1, -1, 0, 1], [1, 1]]"
6096.b.97536.1,"[[0, -1, 0, 3, 0, -4, 1], [1]]"
6096.c.390144.1,"[[-3, 6, -1, -3, 0, 1], [0, 0, 0, 1]]"
6099.a.115881.1,"[[-1, 0, -3, 1, -1, 2, -1], [1, 1, 1]]"
6105.a.201465.1,"[[11, 14, -4, -8, 0, 1], [0, 1, 1]]"
6106.a.390784.1,"[[4, -2, 4, -1, 1], [0, 1, 0, 1]]"
6107.a.189317.1,"[[0, 1, -8, 10, 7, 1], [0, 1]]"
6108.a.109944.1,"[[0, -1, 1, 0, 1, -1], [1, 1, 0, 1]]"
6117.a.6117.1,"[[-3, 10, -10, 0, 2, 1], [1]]"
6117.b.495477.1,"[[0, 2, 9, 20, 25, 1], [1]]"
6120.a.110160.1,"[[0, -1, 0, 7, 8, 2], [0, 1]]"
6120.b.440640.1,"[[0, 1, 0, -6, 2, 2], [1, 1]]"
6120.c.991440.1,"[[-8, 6, 8, -4, -3], [0, 0, 1, 1]]"
6124.a.97984.1,"[[-2, 0, -15, -23, -3, 4], [0, 1, 1]]"
6129.a.165483.1,"[[0, 1, -5, 4, 0, -1], [1, 1]]"
6135.a.6135.1,"[[-1, 2, -2, 1], [1, 0, 0, 1]]"
6136.a.24544.1,"[[11, 5, -2, -5, -2], [0, 1, 0, 1]]"
6140.a.24560.1,"[[0, 0, -1, 0, -1, 0, 1], [1, 1]]"
6142.a.12284.1,"[[0, 0, 0, 2, 0, 1], [1, 1]]"
6144.a.12288.1,"[[0, 2, 4, 5, 3, 1], []]"
6152.a.49216.1,"[[1, 0, -1, -3, -1, 2, 1], [1, 1]]"
6153.a.6153.1,"[[0, 1, 1, 2, 1, 1], [1, 1, 1]]"
6153.a.166131.1,"[[0, 2, 6, -3, -22, 1], [1, 1, 1]]"
6160.a.6160.1,"[[-1, 2, 0, -2, 0, 1], [0, 0, 0, 1]]"
6160.b.24640.1,"[[0, 1, 1, -1], [1, 1, 1, 1]]"
6163.a.6163.1,"[[0, -1, 0, 3, 3, 1], [0, 1]]"
6166.a.49328.1,"[[0, 1, -1, -4, 0, 4], [1, 0, 1]]"
6167.a.6167.1,"[[1, 0, -1, 1], [0, 1, 0, 1]]"
6169.a.6169.1,"[[0, 0, 1, 1, 0, 1], [1, 1, 0, 1]]"
6172.a.98752.1,"[[-1, 5, -8, 2, 1, 1], [0, 1, 1]]"
