cond,disc,data
12564,38596608,"[[-2,-2,-7,-6,-7,-3,-2],[1,0,0,1]]"
12565,12565,"[[-10,-69,-142,-48,71,-18,1],[0,1,1,1]]"
12568,205914112,"[[-4,-4,21,0,-22,2,7],[]]"
12568,1608704,"[[-3,2,-1,-4,3,-2],[1,0,1]]"
12573,147474540131501726220231,"[[-30,28,-116,-53,-107,-18,-30],[1,0,1,1]]"
12574,12574,"[[0,-3,9,-15,7,-1],[1,1]]"
12574,3218944,"[[1,-4,5,-3,2,-1],[1,1]]"
12576,1609728,"[[0,-1,3,7,12,8,4],[]]"
12576,695402496,"[[0,4,-39,78,78,22,2],[]]"
12576,402432,"[[1,2,2,3,2,1],[0,0,1]]"
12579,46794974373,"[[0,7,-12,7,-16,6,-1],[0,1,1,1]]"
12584,172014991393880079115354112,"[[77,-44,-407,-176,396,22],[]]"
12584,152920700985968151808,"[[173,55,192,44,52,11],[1,0,1]]"
12584,1169163490372354048,"[[0,-16,-72,191,116,16],[]]"
12584,25168,"[[0,2,-4,-2,2,1],[0,0,1]]"
12584,2267938816,"[[-1,2,-2,-4,5,-4,-4],[]]"
12584,1737735238476910816,"[[-61,-84,65,91,-37,-26,13],[1,1]]"
12584,1737735238476910816,"[[43,161,148,-43,-60,28,-3],[0,1]]"
12584,8659409101264824603116416,"[[-119,609,-800,-56,448,182,21],[0,1]]"
12585,82957763671875,"[[31,-50,-53,76,42,-31,-16],[1,0,1]]"
12586,10800799324130732,"[[-124,-164,-44,-5,-6,2],[1,0,1]]"
12587,52793704448,"[[7,8,3,-8,-7,2,2],[]]"
12588,151056,"[[0,0,3,2],[1,1,1,1]]"
12590,503600,"[[-1,0,1,1,0,-1],[1,1]]"
12590,871309029302950,"[[-2,-23,-60,53,109,47,5],[0,0,1,1]]"
12591,27536517,"[[1,1,4,4,5,3],[0,0,0,1]]"
12591,20074120893,"[[-3,-1,8,1,-7,-1,-1],[1,1,1,1]]"
12593,12593,"[[-9,10,5,-7,-2,1],[1,1,0,1]]"
12593,12593,"[[0,-2,4,-4,2,-1],[1,0,1,1]]"
12593,12593,"[[-2,3,3,-3,-2],[1,0,1,1]]"
12595,138545,"[[-1,0,6,-3,-3],[0,1,1,1]]"
12597,39793923,"[[2,5,-1,-6,1,2,-1],[0,0,1]]"
12600,37967207922000,"[[24,6,-6,6,-4,1,-1],[0,0,1,1]]"
12600,32391278679932928000,"[[-2,-30,-63,42,69,-12,-4],[]]"
12600,47250000,"[[-25,-6,-17,-5,-3,-1],[1,0,1]]"
12600,2709504000000,"[[-8,32,9,-98,-35,66,34],[]]"
12600,2953125000000000000,"[[20,150,301,85,-83,5,1],[0,1,0,1]]"
12600,405874409472000,"[[-4,-8,-21,-19,-7,-9,-4],[]]"
12600,2709504000000,"[[0,-2,-39,-182,81,10],[]]"
12600,47250000,"[[3,12,7,-11,-2,2],[0,1]]"
12600,67497258528000,"[[-27,-27,-7,-9,-2,0,-1],[0,1,0,1]]"
12600,119065164043392000,"[[0,-24,13,-20,17,12,1],[0,0,1,1]]"
12600,2909307767095296000,"[[0,-35,-10,46,34,19,5],[0,1,0,1]]"
12600,47250000,"[[0,-6,0,-2,-5,1,-2],[0,0,1,1]]"
12600,2709504000000,"[[-52,108,17,-130,33,22,2],[]]"
12600,4687877879532288000,"[[-24,-28,95,52,-112,21],[0,0,1]]"
12600,379672079220000000000000000,"[[-20,-20,65,470,-315,-810],[]]"
12600,2939328000,"[[-61,81,34,-56,-13,11,3],[1,0,1]]"
12600,1181250000,"[[-4,-4,11,4,-6,-2],[1,1]]"
12600,1134000,"[[0,-2,0,1,-1],[0,0,1,1]]"
12600,65028096000,"[[4,14,-29,-10,29,-4,-4],[]]"
12600,71442000,"[[-25,-20,16,9,-4,-1],[0,1,0,1]]"
12600,51679687500000000,"[[0,-35,-34,-20,-23,-5,-4],[0,1,0,1]]"
12600,396931995815757889536000,"[[24,16,93,62,-135,-90],[]]"
12600,3306744000,"[[-8,10,6,-4,-4,-1],[0,0,1,1]]"
12600,68854414196736000,"[[0,2,-39,110,-159,-256,-72],[]]"
12600,163296000,"[[0,5,1,9,1,4],[0,1]]"
12600,10408830566400,"[[-4,4,-15,14,-9,6],[]]"
12600,71442000,"[[0,-1,16,-36,16,-2],[0,1]]"
12600,163296000,"[[7,2,1,-4,-4,-2,-1],[0,1,0,1]]"
12600,396931995815757889536000,"[[-686,98,77,-142,-5,10],[]]"
12600,67737600000000,"[[14,22,9,-10,-19,-12,-4],[]]"
12600,461425781250000,"[[0,30,30,-20,-14,5],[0,0,1]]"
12600,442849513202208000,"[[0,-28,33,-21,-44,-9],[0,0,1]]"
12608,12608,"[[0,1,3,0,0,1],[0,1,0,1]]"
12608,12910592,"[[0,2,2,6,3,4],[]]"
12608,12608000000000000,"[[-18,4,104,-29,-122,19,42],[]]"
12608,12910592,"[[0,4,0,1],[0,0,0,1]]"
12608,3384434229248,"[[2,0,-2,8,16,16,8],[]]"
12608,27444871692288,"[[0,-8,-49,-22,62,16,1],[]]"
12608,206569472,"[[4,0,0,-1,-2,-1],[]]"
12608,806912,"[[-1,2,1,3,1,1],[1,0,1]]"
12608,806912,"[[-2,-1,0,-1],[1,1,1,1]]"
12608,211527139328,"[[-2,8,-2,-15,5,11,3],[]]"
12608,100864,"[[0,1,0,-4,-4,-1],[1,0,1]]"
12608,13220446208,"[[-4,-24,-42,-22,-13,-3,-1],[0,0,1,1]]"
12608,12910592,"[[1,0,-4,-2,5,4],[]]"
12608,211527139328,"[[-1,1,1,-17,-16,16,16],[]]"
12608,403456,"[[1,1,-1,1,0,-2,1],[0,1]]"
12608,3078125000000,"[[3,2,3,11,5,4,3],[0,0,1]]"
12608,12608000000000000,"[[-336,76,244,-29,-52,1,2],[0,0,0,1]]"
12608,3305111552000000000000,"[[-24,16,-24,88,-42,32,-24],[]]"
12608,211527139328,"[[-4,8,8,-16,-9,10,3],[]]"
12609,3063987,"[[-1,0,-1,-1,2,-1],[1,0,1,1]]"
12609,9191961,"[[-1,9,-37,34,12,1],[1,1,1]]"
12609,180925368363,"[[2,0,1,1,-7,1,-1],[1,0,1,1]]"
12614,25518122,"[[-29,97,-65,-17,5,1],[0,1]]"
