cond,disc,data
24192,2229444168785068032,"[[-109,36,31,33,-7,-9,-3],[1,0,1]]"
24192,608811614208,"[[44,58,46,10,6],[1,1,1,1]]"
24192,48384,"[[1,2,-1,-1,3,1],[0,0,1]]"
24192,710919696678912,"[[-3,-18,-36,-6,-16,-5,-1],[0,0,1,1]]"
24192,693633024,"[[6,12,-9,-16,8,0,-1],[]]"
24192,158723712,"[[0,-1,2,-7,-16,-10,-2],[1]]"
24192,82301184,"[[14,1,13,1,3],[1,1,1,1]]"
24192,3919104,"[[0,-1,2,-12,-7,-1],[]]"
24192,508032,"[[-2,-2,-6,-5,-5,-3,-1],[0,0,0,1]]"
24192,10701766656,"[[2,13,18,-4,-4,-1],[1,1,1,1]]"
24192,21676032,"[[1,1,-4,-1,-1],[0,1,0,1]]"
24192,13716864,"[[0,1,4,-1,-12,8,-2],[1,1,1,1]]"
24192,359091701538619392,"[[0,64,48,-175,-175,48,64],[]]"
24192,866843099136,"[[0,-32,34,-8,6,-1],[0,0,1,1]]"
24192,21069103104,"[[1,-4,-17,68,0,-1],[0,0,1]]"
24192,668860416,"[[1,-4,7,4,-6,-1,1],[0,0,1]]"
24192,5834193038126208,"[[-30,18,-36,15,0,0,-1],[0,0,0,1]]"
24192,5184974592,"[[0,-2,-3,-39,-34,-9,-1],[0,0,0,1]]"
24192,84352288228992,"[[26,10,9,5,0,1,-1],[1,1,1,1]]"
24192,14579407842048,"[[0,-6,-27,-3,78,-63,14],[0,0,0,1]]"
24192,5958262307011166208,"[[-8,0,-88,-80,-114,-56,-8],[]]"
24192,2761569482047488,"[[9,-30,26,-24,33,14],[]]"
24192,177570054144,"[[9,-34,26,12,1,-2],[]]"
24192,12399786369661824,"[[-7,13,6,-9,-33,-20,-8],[1,1,1,1]]"
24192,169344,"[[-1,1,0,-1,-1],[1,1,1,1]]"
24192,592815428352,"[[-1,-2,-19,-9,-1,-2],[1]]"
24192,342884782045790208,"[[9,-2,-9,-2,-21,12,6],[]]"
24192,24772608,"[[-10,-4,11,6,-5,-2,1],[]]"
24192,774144,"[[-2,-3,-4,-4,-2,-1],[1,1,1,1]]"
24192,35271936,"[[2,4,3,-1,1,-1],[1,1,1,1]]"
24192,4734119112081408,"[[0,2,-49,-32,-44,-8,-4],[]]"
24192,145152,"[[-1,-2,-1,1,0,-1],[1,1,1,1]]"
24193,314509,"[[0,2,3,-2,1],[1,0,1,1]]"
24195,24195,"[[-2,1,-5,1,-4,0,-1],[0,0,1]]"
24195,81658125,"[[-1,12,-4,-7,1,1],[0,1]]"
24197,1662805178580992,"[[-6,53,-31,-61,28,16],[1,1]]"
24200,21807104000,"[[0,-10,-9,14,13,-4,-4],[]]"
24200,4594972986357216100000000,"[[-333,0,60,242,107,44],[1,0,1]]"
24200,48400,"[[0,1,0,-2,2,-1],[1,0,1]]"
24200,11487432465893040250000,"[[-187,880,-1067,110,-88,11,-3],[0,0,0,1]]"
24200,11487432465893040250000,"[[-344,-138,-372,-188,-240,-50,-3],[1,1,1,1]]"
24200,294078271126861830400000,"[[88,44,-121,132,129,-11],[0,0,1]]"
24200,150568074816953257164800,"[[0,-22,11,-66,253,88,616],[]]"
24200,4086755963699200,"[[13,-23,-26,53,23,-40,-20],[]]"
24200,133100000000000000000,"[[44,12,33,34,-11,22],[]]"
24200,162475585937500000,"[[-5,5,61,35,-18,0,1],[0,1,0,1]]"
24205,24205,"[[-1,1,2,0,-1],[0,0,0,1]]"
24205,62327875,"[[0,-1,-18,-1,5,-1],[0,1,1]]"
24206,916342336,"[[0,-9,4,-1,2],[1,0,0,1]]"
24208,4412440576,"[[-8,16,-7,-3,1,1],[0,0,1,1]]"
24208,24788992,"[[-1,0,-3,-4,-2,-2,-1],[]]"
24208,6586943348736,"[[-69,48,-55,19,-22,1,-3],[1,0,1]]"
24208,82660880668304221184,"[[0,-34,-68,201,-40,-6,1],[0,1]]"
24208,53233954970402816,"[[-13,34,-55,31,-8,-16],[1]]"
24208,25993142075392,"[[0,-16,-24,15,9,-4],[]]"
24208,4518339149824,"[[-4,-4,-21,-14,-27,-12,-2],[]]"
24208,14789240809175703133093888,"[[8,56,-367,358,-317,208,-46],[]]"
24208,12996571037696,"[[-1,0,6,16,15,16,8],[]]"
