cond,disc,data
30639,4503933,"[[1,3,0,-6,-1,1],[0,0,0,1]]"
30640,31375360,"[[1,2,0,-2,-3,4,-1],[]]"
30640,125501440,"[[2,1,8,3,8,1],[]]"
30641,4033020627430907314176,"[[15,54,144,48,72,-18,3],[]]"
30644,17745207885824,"[[8,-28,-10,43,9,-17,-6],[0,0,0,1]]"
30645,678583726875,"[[2,2,-9,-7,-2,-4,-1],[1,0,1]]"
30645,3015927675,"[[0,-9,-3,5,-2,-1],[0,0,1,1]]"
30645,3015927675,"[[-7,-5,5,5,1,-1],[1,1]]"
30645,30645,"[[0,1,4,5,3,1],[0,1,0,1]]"
30645,310280625,"[[2,-32,119,-27,-209,-123,-21],[1,1]]"
30645,2482245,"[[0,9,-7,-1,-6,-1,-1],[0,1,0,1]]"
30645,22340205,"[[2,0,-3,3,-2,1],[1]]"
30645,1319166765045,"[[-7,0,9,-9,6,-3],[1]]"
30645,2045306854248046875,"[[-205,24,282,84,-25,1],[1,0,1]]"
30646,195153728,"[[-3,7,7,10,4,2],[0,1,0,1]]"
30646,50253065632,"[[4,-2,-4,-9,9,1],[0,1,1]]"
30648,98724118265856,"[[-4,0,31,3,-31,1],[]]"
30648,9883559264256,"[[-36,-12,41,10,-11,-2],[]]"
30648,1506410496,"[[-2,2,13,-2,-19,0,8],[]]"
30648,502136832,"[[-1,-2,0,4,1,-4,-4],[]]"
30648,1961472,"[[3,10,20,23,19,9,3],[1,0,1]]"
30648,1129807872,"[[1,7,16,5,4,2],[0,1,0,1]]"
30650,61300,"[[1,1,-4,-3,4,2],[0,0,1]]"
30652,980864,"[[1,1,0,-1,-1,1,1],[0,1,1]]"
30654,97744754484,"[[-7,0,9,4,-6],[1,0,0,1]]"
30654,97744754484,"[[-7,0,18,-5,-3],[1,0,0,1]]"
30655,766375,"[[68,1,29,0,4],[0,1,0,1]]"
30656,1961984,"[[0,2,6,13,6,1],[1,0,1]]"
30659,30659,"[[0,-1,0,-2,-3,-1],[1,1]]"
30660,247242240,"[[26,-5,13,-2,3],[1,0,0,1]]"
30660,27471360,"[[-49,-5,-27,-3,-7,0,-1],[1,0,0,1]]"
30669,16298764029,"[[-10,-7,9,1,1,0,-1],[0,0,0,1]]"
30672,72026240776667136,"[[3,36,26,40,3,4,-4],[]]"
30672,2010120192,"[[-15,3,8,-4,-2,1],[0,1,0,1]]"
30672,13305874549163876352,"[[-7,69,-121,-40,57,24,-16],[0,1]]"
30672,21341108378271744,"[[-36,44,36,-29,-24,4,4],[0,0,1,1]]"
30672,1564834401792,"[[-7,-27,-32,-18,-13,-3,-1],[1,0,1]]"
30672,96034987702222848,"[[0,-16,4,45,-40,16],[]]"
30672,289457307648,"[[9,-18,-21,31,24,-1],[]]"
30672,5563855650816,"[[27,0,-9,26,19,2],[]]"
30672,4056050769444864,"[[-3,-12,9,-3,-19,22,-7],[0,0,1,1]]"
30672,16862110323572736,"[[-4,20,-1,24,10,4,7],[]]"
30672,17839816704,"[[-2,11,-10,8,4,-3],[1,1,1,1]]"
30672,68689575936,"[[1,-4,-3,-1,6,7,2],[0,0,1,1]]"
30672,13305874549163876352,"[[44,96,284,47,-38,-3,1],[0,1,0,1]]"
30672,21341108378271744,"[[0,-1,-5,-99,73,32],[]]"
30672,1564834401792,"[[28,-24,21,1,-1,1],[0,0,1,1]]"
30672,1219239972864,"[[74,13,42,8,-8,-1],[1,1,1,1]]"
30673,30673,"[[1,0,-5,0,5,1],[0,1]]"
30675,8995032049896236880230625,"[[-819,-84,-429,-200,85,3,-2],[0,1,1,1]]"
30675,209644453125,"[[2,-2,-20,24,-3,1],[1,1,1]]"
30675,936126708984375,"[[6,-25,32,-3,11,2,1],[1,0,1,1]]"
30675,7719616512000,"[[0,15,50,13,2,-1],[]]"
30675,1380375,"[[12,3,-1,-5,1,-1],[1,0,1,1]]"
30675,241238016000000,"[[-45,-60,-73,-88,1,14,-2],[]]"
30678,201278358,"[[2,-2,3,2,3,1],[1,1]]"
30684,368208,"[[0,-2,0,4,0,-2],[0,1,1,1]]"
30685,11077285,"[[-9,-8,-6,-7,-3,-1,-1],[1,0,0,1]]"
30685,936431884765625,"[[0,25,108,128,23,-4,-1],[0,1,1,1]]"
30685,962927814102165,"[[-1,9,-27,-26,54,-27,5],[1,0,0,1]]"
30688,4022337536,"[[-680,984,-277,-55,-3,-1],[0,0,1]]"
30688,4022337536,"[[52,90,-17,-73,-29,-16],[0,1]]"
30688,514859204608,"[[1,1,0,3,-4,0,7],[]]"
