cond,disc,data
5992,785383424,"[[-4,-4,0,5,2,0,-1],[0,0,1]]"
5994,2913084,"[[0,-2,-2,1,1,1],[0,1,1]]"
5994,234857399795712,"[[0,48,9,-54,2,13,-7],[0,0,1,1]]"
5994,10067618304,"[[-7,-14,-25,-18,-12,-1],[1,1]]"
5994,28669116186,"[[3,15,23,3,-12,3],[0,1]]"
5994,485514,"[[-1,5,-8,1,4,1],[0,1]]"
5994,10067618304,"[[16,-36,20,-5,4],[0,1,0,1]]"
5995,3267275,"[[0,0,-4,2,0,1],[1,0,1]]"
5998,5998,"[[0,1,-2,-1,2,1],[0,1,1]]"
5998,24567808,"[[0,-16,-15,-8,-8,-1,-1],[0,0,1]]"
5998,1688286910310514688,"[[0,-16,120,-193,-136,-16],[]]"
6003,18009,"[[1,-1,-1,1],[1,1,0,1]]"
6003,39385683,"[[-1,6,11,2,-2,1],[1,0,1]]"
6003,126909423,"[[3,-2,-2,4,0,-1],[0,1,1]]"
6003,2769833413778079744,"[[42,78,45,0,-33,0,3],[]]"
6005,6005,"[[1,1,1,1,-1,-1],[0,0,1,1]]"
6008,12016,"[[0,1,-1,-2,2,-1],[1,0,1]]"
6013,2062459,"[[-2,-11,7,72,-16,1],[0,0,1]]"
6013,42091,"[[0,1,0,-3,-3,-1],[0,0,1]]"
6016,37060870144,"[[-30,85,-50,-24,8,3],[1,1,1,1]]"
6016,12082461094895616,"[[-6,18,11,-12,9,0,-3],[0,1]]"
6016,13934887174144,"[[-4,-16,-40,-36,-13,2],[]]"
6016,1540096,"[[1,3,0,-3,-1],[0,1,0,1]]"
6016,38468097441792,"[[31,-32,-4,8,-5,0,1],[0,1]]"
6018,5524524,"[[-65,14,47,-8,-12,1,1],[0,1,1]]"
6018,280415752534181316,"[[41,78,-7,45,-4,2],[1,0,0,1]]"
6018,204612,"[[0,2,3,5,3,2],[1,1,1]]"
6018,1596587436,"[[-5,4,6,-3,-1,-1],[0,1,1]]"
6018,33311958715080114401837672904,"[[165,-1001,2098,-1810,365,-116,8],[0,1,1,1]]"
6018,7443968597950464,"[[21,-31,-68,62,75,-9,-7],[0,1,0,1]]"
6018,34085952,"[[-3,11,-6,-6,2,1],[0,1,1]]"
6019,6019,"[[0,1,0,-1,1,-1],[0,0,1,1]]"
6021,86394769047,"[[1,12,14,14,3,1],[0,1,1,1]]"
6021,662763466653696,"[[29,-47,-3,7,11,3],[]]"
6021,28798256349,"[[2,1,-2,-4,-4,3],[1,1,1]]"
6021,13233400759570379444909255007,"[[1386,-429,228,-347,-9,-17,8],[0,1,1,1]]"
6021,4389309,"[[-4,-8,-2,14,1,-2],[1,0,0,1]]"
