cond,disc,data
26390,7653100,"[[6,-8,-12,12,9,-5,-3],[1,1]]"
26391,79173,"[[0,2,1,1,-3,1],[1]]"
26392,52784,"[[-2,-1,2,2,-1,-1],[1,0,1]]"
26392,56676388438016,"[[0,1,22,17,24,16],[]]"
26392,13208063630617884235418624,"[[672,-392,-35,-196,-58,-25,-2],[0,0,1,1]]"
26392,52784,"[[0,-2,-2,-1,3,-1],[0,0,1]]"
26392,56676388438016,"[[3,-11,-8,22,28,19,6],[1,0,1]]"
26392,274992814312636796838754282496,"[[2530,737,52,55,16,44,-3],[0,1,0,1]]"
26394,422304,"[[-1,-3,-3,-4,-3,-2,-1],[0,0,1,1]]"
26394,566353797912597656250,"[[90,150,141,25,-20,-25,5],[0,1]]"
26395,131975,"[[-1,1,3,-1,-3,0,1],[0,0,1]]"
26400,30412800,"[[2,10,7,-5,8,-3,1],[1,1,1,1]]"
26400,675840000,"[[5,-8,-18,8,9,-4],[1,1]]"
26400,1124428800000,"[[0,-5,3,2,7,5],[]]"
26400,1115136000000,"[[0,-6,5,-2,5,4],[]]"
26400,336721017600,"[[-18,-9,-8,6,3,-1],[]]"
26400,16896000,"[[-4,8,13,-24,-18,19,12],[]]"
26400,61875000000000000,"[[0,-15,1,34,-45,19,-6],[]]"
26400,35138400000,"[[-1,-5,6,-4,7,1],[1,0,1]]"
26400,912384000,"[[14,-29,-40,80,53,-60,-36],[]]"
26400,56693568307200,"[[0,-16,8,-17,-1,-4],[]]"
26400,15307263442944000000000,"[[136,-24,-32,40,-118,-2],[]]"
26400,206438551365181768987200000,"[[420,616,-427,-406,334,-35,-21],[0,0,1]]"
26400,52800,"[[-1,1,-1,-1,-1],[1,1,1,1]]"
26400,1031250000000000000,"[[0,-25,1,-60,17,-15,1],[0,1,0,1]]"
26400,148684800,"[[-1,-2,6,10,-8,-12,-3],[]]"
26400,708984375000000,"[[52,-31,-7,4,-7,-1],[1,1,1,1]]"
26400,773437500000000,"[[1,-18,30,-5,-5,7,-1],[]]"
26400,708984375000000,"[[-2,2,30,0,5,-3,-1],[0,0,0,1]]"
26400,773437500000000,"[[1,-2,0,-5,-25,3,9],[]]"
26400,5280000,"[[0,-3,-2,3,-6,2,-1],[1,1,1,1]]"
26400,448961356800,"[[-13,48,-39,4,-31,-4,-5],[1,0,1]]"
26400,1481572477440000,"[[-7,0,31,-7,-30,7,5],[1,0,1]]"
26400,10137600,"[[-3,-7,-10,-20,-19,-4],[]]"
26400,2578125000000000,"[[0,-20,35,30,21,7,1],[0,0,1,1]]"
26400,24750000000000000000,"[[0,-10,-131,-126,73,12],[]]"
26400,148684800,"[[1,-2,-5,6,7,-2,-2],[]]"
26400,253440000,"[[0,1,3,10,11,15],[]]"
26400,5387536281600,"[[1,-1,-10,10,18,-27,-27],[]]"
26400,1031250000000000000,"[[-120,0,-5,-5,1,2,1],[0,0,1,1]]"
26400,15307263442944000000000,"[[-136,24,32,-40,118,2],[]]"
26400,211200000000,"[[11,-22,42,-42,40,-20,9],[]]"
26400,348480000000,"[[0,1,-13,18,35,3],[]]"
26400,992351250000000000000,"[[-180,-415,-5,290,-45,-5],[]]"
26400,3960000000000,"[[0,3,2,12,9,0,4],[]]"
26400,3867187500000000,"[[0,-5,85,-70,40,-5],[]]"
26400,4537500000000000000,"[[10,-10,-65,30,115,-10,-35],[]]"
26400,17475327569761875000000000000,"[[-2565,3105,90,-770,60,75,5],[]]"
26400,35640000000000000000,"[[31,62,-107,-76,233,-98,11],[1,1,1,1]]"
26400,320760000000000,"[[0,-1,10,4,73,32,132],[]]"
26400,40837500000000000000,"[[-70,-30,255,90,-205,-30,45],[]]"
26400,166469741367187500000000,"[[0,-5,145,-160,-295,110,205],[]]"
26400,5018112000,"[[0,-4,5,8,-6,-5],[]]"
26400,9292800000,"[[0,-5,1,34,-17,-27,-6],[]]"
26400,591224832000,"[[-12,-8,-43,-18,-51,-10,-20],[]]"
26400,633600,"[[0,1,1,2,4,1],[]]"
26400,792724037242297992910848000,"[[-630,910,-189,-126,77,56,7],[]]"
26405,26405,"[[1,2,1,1,1],[1,1,1,1]]"
26408,112274351424000000000000,"[[-104,19,29,7,16,32],[1,0,1]]"
26408,432668672,"[[-1,-12,-37,0,38,18,2],[]]"
26408,449097405696,"[[-1,-4,-12,-5,-8,-4],[0,1]]"
26409,713043,"[[-2,3,4,-1,-2],[0,0,0,1]]"
26411,21750594173,"[[2,1,-5,-5,11,-3],[0,1,0,1]]"
26411,63412811,"[[-1,5,-10,10,7,1],[0,0,1]]"
26411,6144004504916124077,"[[-14,7,33,-35,-81,-21,-2],[0,1,0,1]]"
26411,17912549577014939,"[[7,35,70,70,-51,7],[0,0,1]]"
26415,7798896675,"[[-1,2,1,8,8,-1],[1,0,1]]"
26415,160471125,"[[6,7,4,1,-3,-1],[1,1,1,1]]"
26415,79245,"[[2,-1,-2,-2,-1],[1,1,1,1]]"
26415,9870478604296875,"[[18,-75,-123,-9,23,-3],[0,0,1]]"
26416,113455856091136,"[[-4,12,3,-14,9,4,-4],[]]"
26418,554778,"[[-86,42,30,-13,-4,1],[1,0,0,1]]"
26422,211376,"[[1,1,0,0,-1,-1],[0,1]]"
26422,3546300809216,"[[16,32,-8,-55,-23,24,16],[]]"
26424,168513563808,"[[4,3,-11,-10,-10,-3,-1],[1,0,1]]"
26424,4280688,"[[0,2,-3,1,-1,-1],[0,0,1]]"
26424,9361864656,"[[0,3,3,13,-16,6,-1],[0,1,0,1]]"
26424,5707584,"[[-3,-3,6,3,-4],[0,1,0,1]]"
26424,168513563808,"[[3,-2,5,-7,3,-6,1],[1,1]]"
26424,12842064,"[[0,2,-4,-6,0,1],[0,0,1]]"
26424,52848,"[[0,-2,-1,3,0,-2],[0,0,1,1]]"
26424,2536704,"[[2,8,6,-6,-4,2],[1,1]]"
26424,252770345712,"[[-7,0,4,9,-4,-3],[1,0,1]]"
26424,1426896,"[[2,3,-4,-4,1,1],[1,0,1]]"
26424,20293632,"[[1,-2,1,5,0,-2],[0,0,1,1]]"
26424,6241243104,"[[2,-2,-3,-11,-7,-6],[1,1]]"
26424,30440448,"[[1,-1,2,4,-2,-1],[0,1,0,1]]"
