cond,disc,data
43520,730144440320000,"[[0,-2,10,-40,16,8,8],[]]"
43520,1782579200,"[[0,-1,-8,-13,14,8],[]]"
43520,3787980800,"[[0,-4,-10,0,3,2,-1],[]]"
43520,1392640,"[[0,-2,3,5,-4,-5,-1],[]]"
43520,7006249287680,"[[0,2,9,0,-26,14,13],[]]"
43520,7130316800000000,"[[0,-2,9,-40,-54,2,17],[]]"
43520,97998327891581992960,"[[120,8,196,-80,70,-14,5],[]]"
43520,7575961600,"[[0,1,2,9,8,20],[]]"
43520,236748800,"[[-2,-4,-1,6,5,-2,-2],[]]"
43520,30303846400,"[[20,-12,1,-7,-1,-1],[]]"
43520,14012498575360,"[[0,-2,-17,-32,20,0,-8],[]]"
43520,1515737076203520,"[[15,2,52,40,63,54,54],[]]"
43520,22375689653185413120,"[[24,-36,-90,117,99,-90,-30],[]]"
43520,87040,"[[2,-5,0,6,-1,-2],[]]"
43520,236748800,"[[2,4,1,-6,-5,2,2],[]]"
43520,87040,"[[0,1,-4,0,5,2],[]]"
43520,236748800,"[[-2,-2,-7,-6,-7,-4,-2],[]]"
43520,730144440320000,"[[0,2,-10,40,-16,-8,-8],[]]"
43520,97998327891581992960,"[[-120,-8,-196,80,-70,14,-5],[]]"
43520,87040,"[[-2,5,0,-6,1,2],[]]"
43520,1426063360,"[[-180,40,-112,16,-25,2,-2],[]]"
43520,21779892740394449906237440,"[[-79,227,-209,-162,575,-109,5],[1,1,1,1]]"
43520,15151923200,"[[-3,-8,-16,-18,-19,-10,-6],[]]"
43520,5570560,"[[0,-4,-8,5,8,-6,1],[]]"
43520,475483405130190028800,"[[24,0,-18,-42,45,-18,-6],[]]"
43520,1515192320,"[[0,-4,-2,0,4,0,-1],[]]"
43520,1869169767219200,"[[-1,2,-2,0,-20,-24,-40],[]]"
43520,3787980800,"[[0,-2,1,10,2,-8,-3],[]]"
43520,10925629713469440,"[[6,-9,-18,9,-27,18,-3],[]]"
