cond,disc,data
24309,143739117,"[[-5,13,-10,-8,-9,-3,-1],[0,0,1,1]]"
24309,143739117,"[[13,5,-4,4,3,-2,1],[0,0,1]]"
24312,2333952,"[[1,2,-1,0,2,-3,1],[0,0,1]]"
24312,5251392,"[[9,12,19,13,9,3,1],[0,0,1]]"
24313,1020756992000000000000,"[[-105,-74,-80,-56,24,18,-1],[]]"
24313,996833,"[[-4,6,1,-4,-3,1],[1,1,1]]"
24315,72945,"[[-374,67,94,-12,-9],[0,1,1,1]]"
24315,6647113125,"[[2,9,-1,-9,2,1],[1,1,1]]"
24318,261467136,"[[-10,21,-37,34,-28,12,-5],[1,0,0,1]]"
24318,552690335769653320312500000,"[[-9,165,635,872,380,135,26],[1,0,0,1]]"
24320,63753420800,"[[6,-5,4,-2,-5,1],[1,0,1]]"
24320,49807360,"[[-3,-14,-19,-20,-10,-4],[]]"
24320,49807360,"[[-4,8,11,-19,-19,16,12],[]]"
24320,1556480000,"[[2,-4,-1,0,5,-2],[]]"
24320,249036800,"[[1,0,-2,-4,-5,-4,-2],[]]"
24320,498073600000000,"[[0,-2,9,24,-118,18,17],[]]"
24320,778240,"[[0,-1,-2,-4,7,12,4],[]]"
24320,2490368000000,"[[0,-2,-9,-2,55,2],[]]"
24320,255013683200,"[[0,-4,1,3,3,5],[]]"
24320,4135886438400,"[[8,-26,-3,50,26,-54,-28],[]]"
24320,124518400,"[[2,-8,-7,4,-31,-52,-20],[]]"
24320,996147200,"[[1,0,6,2,5,2],[]]"
24320,486400000000,"[[3,-15,3,20,1,-4],[1]]"
24320,4135886438400,"[[-8,26,3,-50,-26,54,28],[]]"
24320,97280,"[[2,-6,4,1,-1,1],[]]"
24320,15938355200000000,"[[6,7,22,-3,12,-16],[1,1]]"
24320,389120000,"[[0,-8,-22,-7,11,-2],[0,0,1]]"
24320,6252030932507688960000,"[[-24,0,72,108,135,108,39],[]]"
24320,243200,"[[0,2,3,1],[0,0,0,1]]"
24320,62259200,"[[0,2,1,-6,-5,4,4],[]]"
24320,16320875724800,"[[0,-16,-24,15,26,-1],[]]"
24320,243200000000000000,"[[0,8,47,40,87,32,40],[]]"
24320,49807360000,"[[758,51,98,-32,0,-3],[1,1,1,1]]"
24321,47912394321,"[[19,6,2,-6,-2,1],[0,1,1]]"
24325,24325,"[[0,-2,0,4,1,-1],[1,1]]"
24335,24335,"[[-1,-2,-1,2,1,-2],[1,0,1,1]]"
24335,323315418375,"[[-6,-21,-22,3,14,-3,-1],[1,0,1,1]]"
24336,18559560693139388208,"[[-216,45,215,-23,-51,4,3],[0,1]]"
24336,702229471766022979584,"[[19,-23,-113,111,170,-76,-88],[]]"
24336,378473472,"[[16,4,-15,34,-19,9],[0,0,1]]"
24336,50537889792,"[[0,-1,-7,19,23,-31,-29],[]]"
24336,12571020027072,"[[-7,0,0,9,6,-6,-3],[1]]"
24336,249029370813492211757894225362944,"[[-14,14,-196,1246,2156,-658,-966],[]]"
24336,74760192,"[[3,-8,-1,6,7,2],[]]"
24336,1168128,"[[243,49,76,9,7],[1,1,1,1]]"
24336,9798967885824,"[[-4,-4,3,6,1,-8,2],[]]"
24336,8267879153664,"[[-4,-12,-7,10,-1,-4,2],[]]"
24336,1513893888,"[[1,6,11,1,-2,1],[0,0,0,1]]"
24336,1168128,"[[0,1,1,-4,-1,2,1],[]]"
24339,73017,"[[0,0,-2,-2,1,-1],[1,0,1,1]]"
24340,97360,"[[0,1,1,-2,-1,1],[1,0,1]]"
24342,58808302829568,"[[-15,11,24,-7,-17,-2,2],[1,1,1,1]]"
24349,219114508288,"[[-8,-19,-5,5,1,2,-1],[1,0,1]]"
24352,6234112,"[[1,0,5,3,-2,-1],[0,0,1,1]]"
24352,205136110845880914935808,"[[6,108,171,132,72,72,12],[]]"
24352,12767461376000000000000,"[[8,29,96,-53,4,44,-4],[1,1]]"
24352,194816,"[[1,2],[0,0,1,1]]"
24352,6234112,"[[-3,1,3,-1,-1],[0,1,0,1]]"
24352,29726562500000000000000,"[[1,35,182,15,1,10,20],[1,0,1]]"
24352,200328233247930580992,"[[77,-41,-3,-70,15,-5,-1],[1,1,1,1]]"
24360,19514465332031250000,"[[1,40,-34,-82,-38,-14],[1,1]]"
24360,8477280000,"[[1,2,0,0,-5,2,-1],[1,0,1]]"
24360,637258399248920400,"[[0,-63,72,38,-36,-10],[0,1]]"
24360,110543000400,"[[16,3,-26,-4,9,1],[1,0,1]]"
24360,2170183680000,"[[0,12,-7,-1,2,-1,1],[0,0,1]]"
24360,20462400,"[[-4,-8,8,17,-10,-9,5],[1,0,1]]"
24360,361697280,"[[20,2,6,2,1],[0,1,0,1]]"
24360,6090000,"[[4,2,1,-2,-3,-2,-1],[0,0,1,1]]"
24361,24361,"[[0,1,1,-1,1,-1],[1,1,1,1]]"
24367,170569,"[[1,-1,-2,-3,-3,-1,-1],[1,0,0,1]]"
24368,674568973027936,"[[16,-8,11,-11,7,-3,-1],[1,0,1]]"
24368,3119104,"[[0,-1,3,3],[1,1,1,1]]"
24368,199622656,"[[-1,-3,4,-10,6,-5,1],[1,1,1,1]]"
24370,974800,"[[-1,4,-4,-5,5,5,1],[0,1,1]]"
24375,618896484375,"[[-4,5,10,7,0,-5,1],[1,0,0,1]]"
24375,75901607666015625,"[[-34,67,168,-208,-299,15],[1,1,1]]"
24375,2396160000000000000,"[[0,25,50,-45,-70,-15],[]]"
24380,97520,"[[0,-1,-3,-2,0,1],[1,1,1]]"
24381,2863317123072,"[[0,7,-46,-3,10,-1],[]]"
24381,199290764239013671875,"[[-94,-38,-237,-424,-75,67,-7],[1,1,1,1]]"
24381,3090531628831941,"[[5,23,-11,-1,18,-9,1],[0,0,1,1]]"
24381,17773749,"[[8,23,-7,-30,2,9],[0,0,1]]"
24381,124416243,"[[12,0,12,0,3],[1,0,0,1]]"
24381,61905967767,"[[-16,42,-30,-9,9,3],[1,0,0,1]]"
24381,3145149,"[[-9,-15,6,15,-3,-5,1],[0,0,1,1]]"
24381,1185633172389267,"[[83,183,73,-39,-10,3],[1,0,1]]"
24381,3375006591796875,"[[31,12,78,140,24,-23,2],[1,1,1,1]]"
24384,1304461159981645824,"[[0,4,-48,21,121,48],[]]"
24384,12484608,"[[-4,30,-25,-15,11,3,-1],[0,1,0,1]]"
24384,5522791071744,"[[0,-9,-14,11,12,-4],[]]"
24384,1636382539776,"[[12,-18,-17,24,12,-8,-4],[]]"
24384,25568477184,"[[15,18,37,24,30,8,8],[]]"
24384,80431474595069952,"[[6,-28,12,32,-26,12],[]]"
24384,24384,"[[-1,2,-4,5,-4,3,-1],[0,0,0,1]]"
24384,2895533085422518272,"[[-8,-16,32,0,-42,4,6],[]]"
24384,799014912,"[[-46,-147,-106,2,9,-1],[1,0,1]]"
24384,4909147619328,"[[12,-16,0,0,-1,4,1],[]]"
24384,97536,"[[0,2,-2,2,-1],[0,1,0,1]]"
24384,155503888128,"[[3,-4,-11,-7,-6,-3],[0,0,1,1]]"
24384,306821726208,"[[-1,12,-24,-28,49,52,12],[]]"
24388,97552,"[[0,0,-3,-3,4,-1],[1,1,1]]"
24388,53580436,"[[11,-2,10,-6,4,-1],[1,0,0,1]]"
24389,99897344,"[[-4,8,3,-9,-3,3,1],[0,0,0,1]]"
24389,5007604736328125,"[[-23,-53,-14,1,3,2,-1],[0,0,1]]"
24392,195136,"[[1,0,2,1,-5,2],[0,0,1]]"
24396,44498304,"[[-9,2,13,-5,-7,1,1],[0,1,1]]"
24398,24398,"[[3,6,-4,-8,2,3,-1],[1,0,1]]"
24400,24400,"[[2,-2,2,-2,1,-1],[0,0,1,1]]"
24400,976000000000000,"[[-2,-1,20,21,-20,-25],[]]"
24400,6100000000,"[[-8,18,-6,-5,-2,-1],[1,0,1]]"
24400,7995392000,"[[12,-16,-9,7,-2,-1,1],[]]"
24400,780800000,"[[-4,-4,-5,-3,-3,-1],[0,0,1,1]]"
24400,2095944040448000,"[[-14,34,-16,-6,8,-6,-2],[]]"
24402,9684113948473810944,"[[16,-64,89,-78,16,10,4],[1,1,1]]"
24402,595799979251806728,"[[-63,-21,19,-53,8,31,-9],[0,1,1,1]]"
24402,291455926272,"[[4,2,20,-3,3,-1],[0,1]]"
24402,9684113948473810944,"[[-50,-191,-87,-12,2,3,-1],[1,0,0,1]]"
24402,21278570687564526,"[[-54,-54,21,-9,10,-2],[0,1,1,1]]"
24402,21278570687564526,"[[-117,51,-14,-2,-4,-2],[0,1,1,1]]"
24402,2456385748992,"[[-6,13,16,-15,-10,4,2],[1,1,1,1]]"
24402,20096096286,"[[-3,2,-1,4,0,3],[1,0,0,1]]"
24402,21895649237503897254,"[[210,133,-303,-186,117,49,-21],[0,1,1]]"
24402,97608,"[[1,1,0,2,1],[0,1,0,1]]"
24403,561269,"[[2,1,0,2],[0,0,0,1]]"
24405,51479296875,"[[0,-9,-12,-8,0,-1],[0,1,1,1]]"
24408,320281776,"[[0,6,4,0,-4,1],[0,0,1]]"
24408,77828471568,"[[-27,108,-90,-36,-4,1],[0,0,1,1]]"
24408,320281776,"[[0,18,-24,-4,7,2],[0,0,1,1]]"
24408,15816384,"[[0,2,4,0,-3,-3,-1],[0,0,1,1]]"
24408,1408614147506992840704,"[[0,-9,78,-121,-160,-256],[]]"
24408,553446908928,"[[-25,-76,-58,9,6,-1],[1,0,1]]"
24408,106760592,"[[0,-6,-22,-19,-13,-4,-1],[0,0,1]]"
24408,77828471568,"[[-7,13,11,-36,30,12,1],[1,1]]"
24408,320281776,"[[-7,22,-22,-4,8,2],[1,1]]"
24408,320281776,"[[0,-2,-8,-2,3,-1],[0,0,1,1]]"
24408,403462796608512,"[[27,-108,110,9,-29,-9,-1],[0,1,0,1]]"
24408,15816384,"[[0,-2,4,-6,6,-2],[0,0,1]]"
24408,35586864,"[[-1,2,1,-1,-4,2],[0,1]]"
24408,1210388389825536,"[[-7,-54,-81,89,111,-120,28],[1]]"
24408,48587931648,"[[0,-3,4,11,27,20,13],[]]"
24408,1408614147506992840704,"[[0,16,-104,121,120,144],[]]"
24408,32680486525289472,"[[74,-228,172,27,-19,-3],[1,0,1]]"
24408,106760592,"[[24,-6,4,5,-1],[0,0,1,1]]"
24408,195264,"[[0,2,-2,1,0,-1],[0,1,0,1]]"
24408,3109627625472,"[[11,-17,16,7,-17,16,-4],[]]"
24408,6832677888,"[[-9,-36,-37,3,9,-3],[0,1,0,1]]"
24408,35586864,"[[0,3,-5,-2,4,-1],[0,1,0,1]]"
24408,3109627625472,"[[-3,-7,20,-39,29,-16],[]]"
24410,1220500,"[[0,2,0,2,1,1],[0,1]]"
24414,337499136,"[[4,2,8,2,4,1],[0,1]]"
24416,47620892494135296,"[[-60,-32,145,-60,1,-4],[0,1]]"
24416,9800777728,"[[0,-1,17,3,-5,2],[]]"
24416,47620892494135296,"[[-16,-56,35,6,-24,2,4],[0,0,1]]"
24416,2450194432,"[[0,4,-3,0,-4,2],[]]"
24416,612548608,"[[0,2,2,-4,-7,6,1],[]]"
24416,12801015808,"[[0,-1,11,12,2,3],[0,1,0,1]]"
