labels,data
51636.a.619632.1,"[[0, 0, -1, 1, -4, 1], [1, 1, 1]]"
51642.a.154926.1,"[[11, 9, 5, 2, 2], [1, 0, 0, 1]]"
51642.b.309852.1,"[[9, 7, -1, 1, 0, -1], [1, 0, 0, 1]]"
51648.a.826368.1,"[[8, 8, 12, 7, 4, 1], [0, 0, 0, 1]]"
51669.a.51669.1,"[[0, 1, 2, 0, -1, 1], [0, 1, 1]]"
51669.b.155007.1,"[[-2, 0, -1, -3, 0, 0, -1], [1, 1, 1]]"
51671.a.51671.1,"[[-1, 0, 4, -4, -2, 1], [1, 1, 0, 1]]"
51673.a.51673.1,"[[2, 5, 1, -3, 0, 1], [1, 0, 0, 1]]"
51679.a.51679.1,"[[0, 0, 0, -1, -3, -1], [1, 1]]"
51696.a.155088.1,"[[0, 1, -3, -8, 9, 3], [1, 0, 1]]"
51705.a.51705.1,"[[-3, -2, 6, 0, -4], [0, 1, 1, 1]]"
51712.a.51712.1,"[[3, -2, -2], [0, 0, 1, 1]]"
51712.b.51712.1,"[[2, -4, 2, 0, -1], [0, 0, 1, 1]]"
51716.a.103432.1,"[[0, 0, -2, -4, 0, 2], [1, 1, 0, 1]]"
51724.a.103448.1,"[[0, 1, 1, 2, 1], [1, 0, 0, 1]]"
51728.a.827648.1,"[[1, -2, 1, 0, 0, 1], []]"
51728.b.827648.1,"[[1, 2, 1, -4, 0, 1], []]"
51744.a.310464.1,"[[0, -1, 1, 2, -7, 6], [1]]"
51744.d.827904.1,"[[16, -48, 5, 71, -5, -40, -12], [1]]"
51751.a.51751.1,"[[0, -1, 0, 2, 1, -3, 1], [1]]"
51757.a.51757.1,"[[0, 1, 0, -8, -2, 1], [1, 1, 0, 1]]"
51759.a.155277.1,"[[1, 4, 0, -4, -1, 1], [0, 1, 0, 1]]"
51780.a.207120.1,"[[4, 7, -3, -6, 0, 1], [1, 1, 1]]"
51781.a.51781.1,"[[-1, 2, -1, 1, -3, 1], [1]]"
51798.a.51798.1,"[[0, 1, 3, 0, -3, 1], [0, 1, 1]]"
51808.a.414464.1,"[[0, -1, 1, 0, -3, 0, 1], [0, 1]]"
51814.a.414512.1,"[[-15, 41, 24, -9, -5], [0, 0, 1, 1]]"
51822.a.155466.1,"[[-2, -2, 5, 3, -4, -1, 1], [0, 1]]"
51825.a.777375.1,"[[-405, 220, 0, -31, 1, 1], [0, 1]]"
51829.a.51829.1,"[[0, 0, 1, -1, 1, 1], [1]]"
51840.a.51840.1,"[[-6, -6, 0, 1, 1, 1], [0, 0, 0, 1]]"
51840.b.103680.1,"[[-3, -9, 0, 10, 6, 1], []]"
51840.c.103680.1,"[[1, 1, -4, -4, 2, 1], []]"
51869.a.51869.1,"[[0, -1, 1, 0, -1, 2, 1], [1, 1, 0, 1]]"
51869.b.51869.1,"[[-1, -1, 0, -1, -1], [0, 0, 0, 1]]"
51882.a.51882.1,"[[-1, -3, -3, 0, 2, 1], [0, 1]]"
51884.a.830144.1,"[[0, -2, -4, 0, 2], [0, 1, 1, 1]]"
51897.a.51897.1,"[[-13, 69, -112, 33, 30, 5], [1, 0, 0, 1]]"
51904.a.830464.1,"[[1, -5, 4, 8, -8, 1], [0, 1, 0, 1]]"
51921.a.467289.1,"[[0, 1, 0, -3, -1, 0, 1], [1, 1, 1]]"
51936.a.830976.1,"[[-1, 1, 0, -2, 0, 2, 1], [1, 1]]"
51940.a.831040.1,"[[0, 0, -3, -5, 0, 2], [1, 1, 1]]"
51951.a.155853.1,"[[5, 11, -1, -11, -1, 3], [1]]"
51961.a.363727.1,"[[0, -3, 5, 9, -34, -1], [1, 1, 1]]"
51968.a.727552.1,"[[-1, 1, 0, 3, -1, -10, 8], [1]]"
51968.b.727552.1,"[[0, 1, 1, 3, 5, 2], [1]]"
51975.a.779625.1,"[[0, 15, -7, 8, -2, 1], [0, 1, 1]]"
51989.a.51989.1,"[[0, -1, 3, -5, 6, 1], [1, 0, 1]]"
52000.a.520000.1,"[[-1, 2, 0, -2, -1, 2], [1]]"
52002.a.52002.1,"[[-1, 0, -3, -4, 0, 1], [1, 0, 0, 1]]"
52002.b.416016.1,"[[1, -3, 1], [0, 1, 1, 1]]"
52014.a.312084.1,"[[0, 2, 2, 4, 2, 1], [0, 1]]"
52016.a.208064.1,"[[-2, 5, -1, -6, 2, 2], [1]]"
52020.a.624240.1,"[[-1, 0, 2, 1, -2, -1], [1, 0, 0, 1]]"
52028.a.52028.1,"[[0, 2, 7, 7, 0, 1], [1, 1, 1]]"
52032.a.52032.1,"[[-1, -4, -4, -2, -4, 1], [0, 0, 1]]"
52037.a.52037.1,"[[-1, 3, -3, 1, -1, 1], [0, 0, 1]]"
52040.a.104080.1,"[[13, 16, 1, -4, 0, 1], [0, 0, 0, 1]]"
52045.a.260225.1,"[[-1, -1, -1, 0, 1], [0, 0, 0, 1]]"
52048.a.208192.1,"[[0, 0, 1, 0, 1, 2], [1]]"
52049.a.52049.1,"[[-13, 17, 7, -8, -2, 1], [0, 0, 0, 1]]"
52052.a.208208.1,"[[0, -1, 0, -1, -3, 0, 1], [0, 1]]"
52064.a.416512.1,"[[7, 8, 7, 4, 2], [0, 0, 1, 1]]"
52067.a.52067.1,"[[-1, -3, -2, -1, -2, 1], [0, 0, 1]]"
52076.a.104152.1,"[[0, 1, 0, 2, -3], [1, 1, 0, 1]]"
52083.a.156249.1,"[[12, 20, 11, 2], [1, 0, 1, 1]]"
52086.a.52086.1,"[[6, 14, 0, -8, -2, 1], [0, 1, 0, 1]]"
52096.a.104192.1,"[[0, 0, -2, -1, 2, 0, 1], [1, 1]]"
52105.a.260525.1,"[[-1, -6, -7, 17, 32, 5], [0, 1]]"
52115.a.52115.1,"[[0, 0, -1, -2, 2, 1], [1, 1]]"
52117.a.52117.1,"[[-1, 0, 3, 0, -3, -1], [1, 1]]"
52123.a.52123.1,"[[0, -1, 2, 0, 1, -5, 1], [0, 1]]"
52132.a.208528.1,"[[-1, 0, -3, -2, 3, 2], [1, 1, 1]]"
52137.a.156411.1,"[[0, -1, 3, 14, 12, 3], [0, 1]]"
52138.a.208552.1,"[[-7, 44, -75, 4, 18, 4], [1, 0, 0, 1]]"
52144.a.834304.1,"[[0, -1, -2, 2, -1, 1], [1, 0, 1]]"
52164.a.52164.1,"[[-1, 1, 0, -2, -1, 1], [1, 1, 1]]"
52165.a.52165.1,"[[0, 1, -10, 11, 6, 1], [1, 0, 1]]"
52165.b.52165.1,"[[1, 0, 0, 2, -1, 1], [1, 0, 1]]"
52165.c.52165.1,"[[0, -1, 0, 1, 2, 1], [1, 0, 1]]"
52167.a.156501.1,"[[-1, -1, -1, 0, 1], [1, 0, 0, 1]]"
52171.a.52171.1,"[[0, 0, 0, -2, 0, 1], [1]]"
52184.a.417472.1,"[[-3, -1, 4, -1, -3], [0, 1, 0, 1]]"
52191.a.52191.1,"[[-2, 3, 0, -2, 1, 0, -1], [0, 1, 0, 1]]"
