cond,disc,data
42612,32726016,"[[-4,6,-7,8,-3,3],[0,1,1]]"
42612,1206411853824,"[[1,9,21,-16,3,-3,1],[0,1,1]]"
42612,34260048,"[[0,2,11,25,10,1],[1,1,1]]"
42612,224780174928,"[[1,-12,18,15,-5,1],[1,1,1]]"
42614,85228,"[[1,-2,0,-1,1],[1,0,0,1]]"
42614,6349486,"[[-1,1,-3,-1,0,1],[0,1,0,1]]"
42614,267481973691177388,"[[-15,1,12,35,23,11,-3],[0,1,1,1]]"
42615,16509924138735,"[[-7,0,13,-14,-1,16,-10],[1,0,1,1]]"
42615,16509924138735,"[[-22,15,-11,-5,2,13,-7],[1,0,1,1]]"
42616,1429955674112,"[[0,-16,12,29,-8,-16,-3],[0,0,1]]"
42616,1363712,"[[1,1,2,-2,2,-1],[0,1,0,1]]"
42616,596624,"[[1,2,0,-1,0,1],[1,0,1]]"
42616,4176368,"[[17,4,-33,-8,15,4],[0,1,0,1]]"
42616,85232,"[[4,-2,5,-2,2,-1],[0,0,1,1]]"
42620,1363840,"[[2,-1,-3,-2,-1],[1,0,0,1]]"
42623,42623,"[[0,1,-2,-1,1,1],[1,0,0,1]]"
42624,72229659377796864,"[[-7,13,11,-20,17,-10,7],[1,1]]"
42624,127872000000000000,"[[36,-12,18,1,-10,1,-3],[0,0,1]]"
42624,261881856,"[[-126,78,32,-17,-5,1],[0,1,0,1]]"
42624,971804741992515108864,"[[-54,216,-300,-40,74,16],[]]"
42624,65470464,"[[-2,-12,-2,3,9,3],[0,1,0,1]]"
42624,19771418090668032,"[[0,-12,-16,29,-7,3,3],[]]"
42624,905063694336,"[[0,18,-28,-5,12,3],[0,1,0,1]]"
42624,839639297081533054058496,"[[0,-64,-118,472,404,104,10],[]]"
42624,8698422214656,"[[-6,18,-23,-7,20,9,1],[1,0,1]]"
42624,2982998016,"[[-43,24,23,-10,-1,-1],[0,0,1]]"
42624,34793688858624,"[[-11,3,-7,10,-3,0,1],[0,1]]"
42624,1539815615495084703744,"[[-116,56,476,64,-13,2],[]]"
42624,16367616,"[[1,-4,2,-1,1,1],[1,0,1]]"
42624,16367616,"[[-12,-4,33,7,-30,-3,9],[]]"
