cond,disc,data
14304,24717312,"[[0,-4,8,27,23,8],[1,1]]"
14304,500525568,"[[0,4,3,2,3,-1],[0,0,1]]"
14308,57232,"[[1,0,4,4,3,1],[0,0,0,1]]"
14312,234487808,"[[0,2,-2,0,-3,-4,-1],[]]"
14313,68458635297,"[[2,-10,-1,22,3,-1],[1,1,1]]"
14314,122179268530157472,"[[57,-54,83,-14,29,0,3],[0,1,1]]"
14315,1681160929280,"[[0,-1,-19,-29,-21,-19,-9],[]]"
14316,5497344,"[[1,-1,1,-1,-3,-1],[0,1,1,1]]"
14320,73318400000,"[[-4,0,3,-4,-3,2,-2],[1,1,1,1]]"
14320,117309440,"[[22,-11,17,-6,3,-1],[1,1,1,1]]"
14322,240709854,"[[-1,1,7,2,2],[0,1,0,1]]"
14325,6043359375,"[[0,-9,-11,-6,-2,-1],[0,1,1,1]]"
14326,1088776,"[[1,-3,-3,-2,-4,0,-1],[0,1,1]]"
14326,415454,"[[3,1,0,-2,-1],[0,1,0,1]]"
14328,117374976,"[[5,-18,8,21,-5,-9,-2],[]]"
14328,28656,"[[0,1,24,-4,-3,1],[0,1,0,1]]"
14328,114624,"[[0,2,-1,-5,0,3,1],[0,0,1,1]]"
14328,137060759664,"[[0,6,-3,0,-1,-3],[0,0,1]]"
14328,5173870432515784704,"[[-27,-27,11,18,25,3,-4],[0,1,0,1]]"
14330,3597524673575760,"[[21,-9,-34,-17,6,4,-1],[0,1,1,1]]"
14330,57560394777212160,"[[-22,27,54,-53,-27,9,-1],[1,0,0,1]]"
14331,31341897,"[[1,0,3,3,1],[1,1,0,1]]"
14335,6012534784000,"[[2,29,84,91,-20,1],[]]"
14338,28676,"[[1,3,1,-2,-1],[0,1,0,1]]"
14339,14339,"[[-1,-1,2,1,-1],[1,1,0,1]]"
14342,14342,"[[3,11,6,-9,-3,1],[0,1,0,1]]"
14348,57392,"[[1,0,0,2,0,-1],[0,0,0,1]]"
14350,71750,"[[-1,1],[0,1,1,1]]"
14350,1232655613952000000,"[[-7,-35,-11,59,-36,16],[0,1]]"
14350,1232655613952000000,"[[-8,-20,18,33,-20,25],[]]"
14352,21633171456,"[[2,4,-1,-14,-11,12,12],[]]"
14352,12520903409664,"[[-2,-10,-6,4,18,14,6],[]]"
14352,17735883789312,"[[-6,15,-13,26,-14,-1],[1,0,1]]"
14352,2889439248384,"[[18,-18,-2,36,-2,-10,2],[]]"
14352,559728,"[[-9,-36,-35,10,13,-5],[0,0,1,1]]"
14352,688896,"[[1,4,2,-6,-5,-3],[]]"
14352,12520903409664,"[[2,10,6,-4,-18,-14,-6],[]]"
14352,559728,"[[0,3,3,-3,4,-2],[0,1,0,1]]"
14352,2889439248384,"[[-18,18,2,-36,2,10,-2],[]]"
14354,122052865824,"[[0,-1,-13,45,-38,12,-1],[0,1,1]]"
14356,229696,"[[0,1,-8,-1,5,2],[0,1,1,1]]"
14360,1221038841600,"[[2,-10,-6,27,17,-4],[1,1]]"
14363,14363,"[[1,2,-1,0,2,-1],[1]]"
14366,14366,"[[-1,4,0,1,1],[1,0,0,1]]"
14366,1313995147712659456,"[[-100,8,-1,92,23,-18,-5],[1,0,1]]"
14369,14369,"[[0,-1,0,-1,1,-1],[1,0,0,1]]"
14375,28076171875,"[[0,-5,-10,-10,-4,2,1],[0,0,1,1]]"
14375,28076171875,"[[0,5,41,180,102,20,1],[0,1,0,1]]"
14375,17547607421875,"[[0,-25,-5,-9,-3,-1,-1],[0,0,1,1]]"
14375,17547607421875,"[[2,-13,27,-13,16,4],[1,0,1,1]]"
14375,6854534149169921875,"[[-820,-807,36,127,-8,1],[1,1,0,1]]"
14375,17547607421875,"[[9,-9,-4,2,-3,4,3],[1,1,0,1]]"
14375,6854534149169921875,"[[31,62,6,112,77,-15,-12],[1,1,0,1]]"
14375,1123046875,"[[-13,20,1,-10,0,1],[0,1]]"
14375,1123046875,"[[0,5,7,-5,-9,1],[1,0,1]]"
14376,1380096,"[[-4,-8,-1,5,0,-2],[0,0,1,1]]"
14376,353304576,"[[4,0,3,5,-3,-1],[0,0,1,1]]"
14382,733482,"[[0,-5,24,-40,12,-1],[1,1]]"
14383,14383,"[[1,2,1,-1,-1,-1],[1,0,1,1]]"
14384,117833728,"[[1,-2,-2,0,-4,0,-1],[1,1,1,1]]"
14384,28537856,"[[128,170,66,13,-11,1],[1,0,1]]"
14384,12967655550898143232,"[[-17,-58,-39,-26,-23,8,8],[]]"
14384,115072000000000000,"[[65,34,29,-55,-31,-26,2],[0,0,0,1]]"
14389,14389,"[[-1,-3,0,4,0,-2],[0,0,1,1]]"
14389,58937344,"[[-4,8,7,-7,-2,1],[0,0,0,1]]"
14391,241440915456,"[[-3,3,21,5,3,1],[]]"
14391,1227451563,"[[0,3,19,30,8,1],[0,0,1]]"
14392,52818870272,"[[8,-60,120,-13,-92,-36,-4],[1,1]]"
14392,903272419785456,"[[8,9,13,-3,-7,0,3],[1,0,1]]"
14392,7368704,"[[1,3,4,0,0,-1],[0,1,0,1]]"
14392,3613089679141824,"[[-12,18,-27,9,2,-9,-3],[0,0,1]]"
14392,9872912,"[[-9,20,-2,-13,1,2],[0,1]]"
14393,58953728,"[[16,-16,-28,23,16,-8,-3],[0,0,0,1]]"
14394,259092,"[[0,2,1,-2,-1],[0,1,1,1]]"
14396,57584,"[[7,-2,3,-4,0,-1],[0,1,1,1]]"
14398,28796,"[[0,1,-1,-1,1,-1],[0,1,1]]"
14399,661630160305575546239,"[[19,55,-17,44,-47,22,-11],[1,0,1]]"
14399,3479647725123237283,"[[33,-70,115,-36,0,45,12],[1,1,1,1]]"
14399,3479647725123237283,"[[-611,115,-52,74,-10,3,-2],[0,0,0,1]]"
14399,92956303514006481703,"[[-905,-270,13,-144,-31,5,-3],[1,1,1,1]]"
14400,226492416000,"[[0,-16,-7,15,7,1],[]]"
14400,18139852800,"[[2,3,-11,-11,8,-4],[1]]"
14400,1769472000,"[[6,-5,-20,12,17,-4,-4],[1]]"
14400,56623104000,"[[3,-34,117,-76,-150,-40],[]]"
14400,3099363912000,"[[-7,0,13,-1,-2,3],[1,0,1]]"
14400,56623104000,"[[0,-3,6,8,0,1,-1],[0,1,0,1]]"
14400,16907568257433600,"[[18,-60,-10,88,64,32,8],[]]"
14400,353894400,"[[0,-1,-1,20,15,3],[1,1,1,1]]"
