labels,data
305152.b.305152.1,"[[2, -3, 5, 0, -3, 1], []]"
305152.c.305152.1,"[[0, -1, 1, 2, -1, 1], []]"
305152.d.305152.1,"[[-2, -3, -5, 0, 3, 1], []]"
305194.a.305194.1,"[[-10, 43, -48, 0, 6, -1], [0, 1, 1]]"
305197.a.305197.1,"[[0, -1, -1, 6, -2, -1, 1], [1]]"
305216.a.610432.1,"[[0, 0, -1, -1, 1, 0, 2], [1, 1]]"
305234.a.610468.1,"[[1, 1, 0, 3, 4, 1], [0, 1, 1]]"
305262.a.305262.1,"[[-1, -3, -3, -1, 0, 1], [0, 1]]"
305262.b.610524.1,"[[0, -1, -2, 0, 0, 1, 1], [1, 1, 1]]"
305269.a.305269.1,"[[1, 0, -3, 0, 3, 1], [1, 1, 0, 1]]"
305287.a.305287.1,"[[9, 11, -4, -7, 0, 1], [1, 1, 1]]"
305289.a.915867.1,"[[0, 1, -3, 0, 6, 3], [0, 1]]"
305305.a.305305.1,"[[-2, 0, -1], [1, 0, 1, 1]]"
305307.a.915921.1,"[[-2, 4, 2, -5, -1, 1], [1, 0, 0, 1]]"
305324.a.610648.1,"[[-2, 6, -3, -3], [1, 0, 1, 1]]"
305359.a.305359.1,"[[1, 3, 2, 1], [1, 0, 1, 1]]"
305381.a.305381.1,"[[0, 2, 3, -4, -2, 1], [1, 0, 0, 1]]"
305397.a.305397.1,"[[-1, 3, -3, 0, -1, 1], [1]]"
305408.a.305408.1,"[[-9, 4, 8, 1, 0, 1], [0, 1, 0, 1]]"
305408.b.305408.1,"[[-1, -4, 17, 72, 16, 1], [0, 0, 1]]"
305428.a.305428.1,"[[0, -2, 1, 0, 3, 2, 1], [1, 1, 1]]"
305467.a.305467.1,"[[0, -1, 1, 1, -4, 0, 1], [1, 1, 1]]"
305504.a.611008.1,"[[0, 0, 3, -4, -3, 2, 1], [1, 1]]"
305525.a.305525.1,"[[-1, 0, 2, -4, -1, 1], [1, 1, 0, 1]]"
305528.a.611056.1,"[[-47, 32, -24, 16, -3, 2], [0, 1]]"
305600.a.305600.1,"[[-5, -4, -1, -1, 1, 1], [0, 0, 1, 1]]"
305612.a.611224.1,"[[-1, 3, -3, 2, -2, 1], [0, 1, 1]]"
305627.a.305627.1,"[[0, 2, -18, 17, 18, 4], [1, 1, 0, 1]]"
305645.a.305645.1,"[[23, 1, -8, 9, 7, 1], [0, 0, 1]]"
305659.a.305659.1,"[[-3, -11, -5, 14, 3, -9, 3], [1, 1, 0, 1]]"
305662.a.611324.1,"[[1, -6, 8, -3, -1, 1], [1, 0, 0, 1]]"
305681.a.305681.1,"[[0, -2, 1, 1, 3, 2], [1, 1, 0, 1]]"
305693.a.305693.1,"[[1, -2, -1, 3, -2, 1], [0, 1]]"
305738.a.611476.1,"[[0, 1, 0, -2, -1, 1, 1], [1, 1]]"
305775.a.917325.1,"[[-2, -4, -6, -2, 1, 3], [1]]"
305798.a.611596.1,"[[0, -3, 6, 0, -10, -17, 1], [1, 1, 1]]"
305811.a.305811.1,"[[1, 2, -1, -2, 0, 1], [0, 1]]"
305815.a.305815.1,"[[0, 0, -2, -1, -1, -1], [1, 1]]"
305856.a.305856.1,"[[-1, 2, 1, -1, -2, 1], [0, 0, 1]]"
305863.a.305863.1,"[[-2, -5, -4], [0, 1, 0, 1]]"
305866.a.611732.1,"[[-2, -1, 4, 1, -2], [1, 0, 0, 1]]"
305888.a.611776.1,"[[-8, -1, 11, 0, -6, 0, 1], [0, 1]]"
305889.a.917667.1,"[[0, -3, 4, 1, -3, -1], [0, 1, 1]]"
305909.a.305909.1,"[[-1, -1, 5, 2, -7, 1], [0, 0, 1]]"
305920.a.305920.1,"[[-9, -38, -44, 4, 23, 1], []]"
305920.b.305920.1,"[[3, 4, -2, -2, -1, 1], []]"
305933.a.305933.1,"[[-2, -5, 0, 5, 2, -4, 1], [0, 0, 1]]"
305956.a.611912.1,"[[-7, 7, -2, 7, -4, 0, -2], [0, 1, 1]]"
305961.a.917883.1,"[[0, 2, 9, 18, 8, 1], [1]]"
306009.a.918027.1,"[[-56, 19, 36, -2, -6], [0, 1, 0, 1]]"
306037.a.306037.1,"[[0, 1, -4, 1, 1, 1], [1, 0, 1]]"
306048.a.306048.1,"[[10, -4, -1, -3, -1, 1], [0, 1, 0, 1]]"
306089.a.306089.1,"[[0, 0, 0, -2, -3, 1], [1, 1, 1]]"
306099.a.306099.1,"[[4, -15, 2, 14, 9, 1], [1, 1, 1]]"
306106.a.306106.1,"[[0, 0, 1, 2, 3, -1], [1, 1]]"
306111.a.918333.1,"[[-18, -1, 13, 0, -3], [0, 0, 0, 1]]"
306115.a.306115.1,"[[8, 28, 17, 0, 0, 1], [1, 0, 0, 1]]"
306118.a.612236.1,"[[48, -106, 85, -27, 0, 1], [0, 1, 1]]"
306128.a.306128.1,"[[1, 4, 3, -5, -5, 3], [0, 1, 0, 1]]"
306174.a.306174.1,"[[-3, 6, -9, 7, -5, 2, -1], [1, 0, 0, 1]]"
306177.a.306177.1,"[[-1, 2, 0, 1], [0, 1, 0, 1]]"
306208.a.612416.1,"[[2, -2, -2, 0, 2], [0, 0, 0, 1]]"
306224.a.306224.1,"[[39, 74, 50, 12], [1, 1, 1, 1]]"
306265.a.306265.1,"[[0, 2, 4, -5, -1, 1], [1, 0, 0, 1]]"
306274.a.306274.1,"[[-1, 0, -1, 0, -1, 1, -1], [1, 1]]"
306277.a.306277.1,"[[-21, -7, -10, 2, 0, 1], [1]]"
306279.a.918837.1,"[[0, 3, 1, -9, -2, 1], [1, 0, 0, 1]]"
306308.a.612616.1,"[[0, 1, -6, -4, 3, 2], [1, 1, 0, 1]]"
