cond,disc,data
7524,9827997879015309312,"[[0,-16,104,-89,-269,192,252],[]]"
7524,131952548772,"[[27,-27,-25,23,9,-6,-2],[0,1,1]]"
7524,3823830167042654208,"[[19,-39,31,31,-39,19],[]]"
7524,15890688,"[[4,4,-7,-7,4,3,-1],[0,0,0,1]]"
7524,25081058376,"[[-7,9,-15,3,-3,-4,-1],[1,0,0,1]]"
7524,2303171760384,"[[-3,9,14,-20,-25,-3],[0,1,1]]"
7529,7529,"[[0,-1,3,-3,2,-1],[1,0,0,1]]"
7530,948795060,"[[-15,-7,21,9,-10,-2],[1,1,1]]"
7531,128027,"[[13,-10,10,-5,2,-1],[0,1,1,1]]"
7533,3366528229248046875,"[[353,505,8,-99,36,-9],[1,1]]"
7533,203391,"[[2,3,-2,-2,0,-1],[1,0,1,1]]"
7533,124103696643,"[[0,9,6,-3,2,1,-1],[0,0,1,1]]"
7536,31608274944,"[[5,3,-12,-37,-47,-32,-12],[]]"
7536,2022929596416,"[[-4,0,12,-4,-17,-2,3],[]]"
7536,110728563867648,"[[-27,0,38,-1,-13,1,1],[0,1,0,1]]"
7539,2585877,"[[0,1,-1,6,5,1],[1]]"
7542,45252,"[[1,-1,0,1,-1],[1,0,0,1]]"
7545,7545,"[[0,-1,1,4,-3,-1],[0,1,1,1]]"
7549,7549,"[[-2,-1,3,0,-2],[1,1,0,1]]"
7551,95013568512,"[[42,-102,13,84,-5,-24,-5],[]]"
7551,22653,"[[-2,3,-6,4,-5,1,-1],[0,1,1,1]]"
7551,92353188593664,"[[-19,33,-35,23,-5,3],[]]"
7552,17005592192950992896,"[[-2,-16,44,-232,-82,-8],[]]"
7552,15466496,"[[0,2,-7,-8,21,32,12],[]]"
7552,3959422976,"[[0,-1,-2,1,-5,4,3],[]]"
7552,15466496,"[[-59,-24,-15,8,3,2],[0,0,1]]"
7552,1013612281856,"[[12,8,-4,8,11,2],[]]"
7552,16217796509696,"[[0,-16,-20,13,14,-4],[0,0,1]]"
7552,60416,"[[0,1,0,-3,4,-2],[0,1,0,1]]"
7552,60416,"[[21,-16,-9,18,6,-1],[0,0,1]]"
7552,360339740354511896576,"[[-20,-16,63,-68,65,-16,12],[]]"
7552,3866624,"[[0,2,2,1,2,1],[0,1,0,1]]"
7552,360339740354511896576,"[[20,-16,-63,-68,-65,-16,-12],[]]"
7552,3959422976,"[[0,1,2,-1,5,-4,-3],[]]"
7552,15466496,"[[0,-2,7,8,-21,-32,-12],[]]"
7552,563195281351571849216,"[[-39,-1,15,64,-19,-7,-9],[1,1,1,1]]"
7552,15837691904,"[[0,2,-6,29,10,1],[1,0,1]]"
7552,247463936,"[[0,-1,4,-1,-5,-2,-3],[]]"
7552,966656,"[[-1,2,3,-10,-13,-4,-1],[1,1,1,1]]"
7552,247463936,"[[0,-16,20,5,-7,-2],[]]"
7554,49834265017319424,"[[8,20,-18,-13,11,-11,3],[]]"
7554,194665097723904,"[[-4,11,-2,-9,2,-8,-2],[1,1,1,1]]"
7557,380356263936,"[[12,13,-5,-7,-3,-1,1],[]]"
7558,15116,"[[0,2,-1,-1,-1,1],[0,1]]"
7560,387072000000,"[[8,0,5,2,-3,2],[]]"
7562,2453198946304,"[[-8,1,4,-1,-1,-4,1],[1,1,1,1]]"
7562,241984,"[[1,3,-1,-1,2,-3,1],[1,0,1]]"
7565,37825,"[[0,-2,3,0,-2],[1,1,0,1]]"
7568,1937408,"[[0,-3,5,-2,1,-1],[1,1,1,1]]"
7568,7749632,"[[1,-4,4,-1,-2],[0,0,0,1]]"
7568,1054328878006272,"[[-15,21,-29,-9,6,-14,-7],[1,1,1,1]]"
7568,7568,"[[-1,-1,-1,0,-1,-1],[1,1,1,1]]"
7569,6756654789369378417263067,"[[-80,406,-450,-276,268,-44,7],[1,0,1,1]]"
7575,189375,"[[1,-5,2,6,-1,-3,-1],[1,0,0,1]]"
7575,113625,"[[-1,2,-2,2,-1],[0,1,1,1]]"
7578,136404,"[[1,1,0,-1,-1,-1],[0,0,1,1]]"
7578,22734,"[[-1,1,-1],[0,1,0,1]]"
7581,20329324960077,"[[-1,-9,-13,-46,25,-3],[1,1]]"
7581,53067,"[[-1,3,1,-7,-8,-5,-1],[1,0,0,1]]"
7584,46596096,"[[0,-2,-1,10,1,-6,-2],[]]"
7585,23703125,"[[0,1,-4,-5,6,-1],[1,0,1]]"
7587,1843641,"[[1,-8,-1,1,9,9,2],[1,0,0,1]]"
7587,30931163283456,"[[0,3,-1,-9,9,9,9],[]]"
7594,7594,"[[0,-1,21,-95,39,-6],[0,0,1,1]]"
7594,60752,"[[0,-1,2,2,-2,-1],[0,0,1,1]]"
7594,953231066682984,"[[-3,63,209,-36,-113,-18,-1],[0,1,0,1]]"
7594,15552512,"[[-1,0,-3,-4,-4,-1],[1,1]]"
7594,30376,"[[1,-7,13,-6,7,-3],[0,1,1,1]]"
7594,7594,"[[0,1,-1,-1,1,1],[1,0,0,1]]"
7595,141270303825,"[[19,-2,4,14,-6,5],[0,1,1]]"
7596,5833728,"[[-2,1,0,-1,0,1],[1,0,0,1]]"
7596,99674712,"[[-34,84,-30,-35,4,3],[0,1,1]]"
7596,136259389182119616,"[[0,-9,-176,3,-6,4],[0,1,1]]"
7600,24320000,"[[-33,-34,11,11,-3,-1],[0,1,0,1]]"
7600,62259200,"[[2,2,8,4,6,2],[1,1,1,1]]"
7600,16320875724800,"[[0,-16,44,29,-10,-4,1],[0,0,1]]"
7600,49807360000,"[[-10,12,27,-22,-27,8,8],[]]"
7600,1020054732800,"[[2,8,1,0,-4,-8,-3],[]]"
7600,4750000000000000000000000,"[[-40,280,-435,-270,255,120,-70],[]]"
7600,9728000000000000000000000,"[[-10,-50,-60,270,460,-490,-410],[]]"
7604,3893248,"[[1,-1,-1,-2,1,3,1],[0,1,1]]"
7604,15208,"[[0,0,0,1,-1],[1,1,0,1]]"
7605,481954805569101496320,"[[-14,22,29,128,99,108,27],[]]"
7605,37074375,"[[0,3,-2,-1,3,-1],[0,1,1]]"
7605,24880191897600,"[[0,13,26,23,10,-3],[]]"
7609,7609,"[[0,-1,1],[1,1,0,1]]"
7612,3897344,"[[-1,1,-5,5,-5,2,-1],[1,0,0,1]]"
7612,324210304,"[[-3,7,12,-6,-6,2],[0,1,1]]"
7613,175099,"[[0,1,-6,11,7,1],[0,1,1]]"
7614,1431432,"[[-3,-12,-16,-12,-9,-1],[0,1,1]]"
7616,66313497083904,"[[32,-32,-50,41,21,-10,-4],[0,0,1,1]]"
7616,228973296484352,"[[0,14,48,12,-16,-2],[]]"
7616,265158656,"[[-1,0,4,-2,4,-4,1],[]]"
7616,1226093625344,"[[6,-16,20,-16,3,2,-3],[]]"
7616,237582155776,"[[12,-44,29,24,-12,-8,-1],[]]"
7616,1996488704,"[[-1,-2,1,-4,-2,4,-1],[1,0,1]]"
7616,529576591403005104881664,"[[0,-68,-194,224,344,80,-8],[]]"
7616,16747761114284032,"[[-10,-24,-64,-72,-66,-32,-12],[]]"
7616,21913460015104,"[[-1,4,-4,-8,9,24,8],[]]"
7616,106624,"[[-1,0,-1,-1],[0,0,1,1]]"
7616,175307680120832,"[[0,2,21,-16,-86,38,69],[]]"
7616,7985954816,"[[-5,-4,7,0,3,-2],[0,1,0,1]]"
7616,228973296484352,"[[0,-14,-48,-12,16,2],[]]"
7616,265158656,"[[1,0,-4,-2,-4,-4,-1],[]]"
7616,133135353436453208064,"[[12,-36,-207,-168,18,9,-1],[0,0,0,1]]"
7616,7455579792441379651584,"[[-24,-144,-18,36,9,18,3],[]]"
7616,85599453184,"[[1,-8,12,20,-15,-20,-4],[]]"
7616,1996488704,"[[3,-4,-3,2,-3],[0,1,0,1]]"
7616,1132880000000000000000000000,"[[-5,10,145,-460,270,760,120],[]]"
