labels,data
83570.c.835700.1,"[[5, 9, -2, -6, 0, 1], [0, 1]]"
83575.a.83575.1,"[[1, 7, 8, -5, -3], [1, 0, 1, 1]]"
83579.a.83579.1,"[[-3, 1, 2, -2, 0, 1], [1]]"
83610.a.501660.1,"[[1, -3, -3, 1, 4, 3, 1], [1, 1, 1]]"
83612.a.83612.1,"[[301, -316, 81, 17, -9], [1, 0, 0, 1]]"
83612.b.83612.1,"[[17, 26, 0, -11, -2, 1], [1, 0, 0, 1]]"
83612.c.83612.1,"[[-1, -1, 0, 0, -1, -1], [1, 1, 1]]"
83612.d.334448.1,"[[2, 13, 29, 24, 0, -6, 1], [0, 1]]"
83619.a.250857.1,"[[17, -5, -25, -3, 6, 0, -1], [0, 0, 0, 1]]"
83625.a.250875.1,"[[0, 1, 3, -1, -2, 1], [0, 1]]"
83649.a.83649.1,"[[-1, 1, 0, 4, -1, -7, -1], [1]]"
83656.a.167312.1,"[[0, 0, 0, -4, 5, -2], [1, 1]]"
83658.a.167316.1,"[[0, 2, 4, 1, -4, 2], [1, 0, 1]]"
83673.a.251019.1,"[[0, 1, 0, 48, 24, 3], [0, 1]]"
83675.a.83675.1,"[[3, 2, 0, 4, 4, 1], [0, 1]]"
83681.a.83681.1,"[[3, -9, 5, 0, 0, -1], [1, 1, 0, 1]]"
83689.a.83689.1,"[[0, 0, 2, 3, 2, 1], [1, 1, 1]]"
83693.a.83693.1,"[[1, -5, 0, -2, 1], [0, 0, 0, 1]]"
83729.a.83729.1,"[[1, -3, 3, 0, -2], [0, 0, 0, 1]]"
83730.a.837300.1,"[[3, 3, -4, -3, 1], [0, 0, 1, 1]]"
83744.a.669952.1,"[[1, -2, 3, -2, 0, 1], []]"
83744.b.669952.1,"[[1, 0, 2, 1, 0, 1], []]"
83744.c.669952.1,"[[1, -2, -1, 3, 0, -2, 1], []]"
83746.a.334984.1,"[[0, 5, 1, 4, 1, 1], [1, 0, 0, 1]]"
83748.a.334992.1,"[[1, 3, 2, 3, 1, 1], [0, 1, 1]]"
83752.a.167504.1,"[[0, 0, -2, -2, 4, 0, 1], [1, 1]]"
83757.a.753813.1,"[[0, -1, 3, -3, 2, 1], [1, 0, 1]]"
83766.a.83766.1,"[[-1, 1, 1, -1, -2, -1], [1, 1]]"
83776.a.83776.1,"[[0, 0, 0, -3, -6, -4, -1], [1, 1]]"
83776.b.83776.1,"[[-7, 1, 32, 11, -64, -76, -26], [1]]"
83776.c.83776.1,"[[3, -20, 37, -27, 30, -8, 6], [1]]"
83781.a.251343.1,"[[0, -1, -1, 0, -3, -3, -1], [1, 1, 0, 1]]"
83804.a.167608.1,"[[-1, -3, -1, 1], [0, 1, 1, 1]]"
83805.a.754245.1,"[[0, 1, 0, 5, 4, 1], [0, 1]]"
83809.a.83809.1,"[[-2, 1, 0, -3, 0, 1], [0, 1]]"
83819.a.83819.1,"[[0, 2, 5, -1, -3, 1], [1]]"
83824.a.83824.1,"[[0, -1, -1, 2, 4, 1], [1, 0, 1]]"
83824.b.335296.1,"[[0, 0, -4, 3, 3, -2, -1], [1, 1]]"
83847.a.251541.1,"[[1, -4, 4, -3, 1, 3], [1]]"
83853.a.754677.1,"[[1, 1, 1, 2, 2, 1], [1]]"
83854.a.167708.1,"[[1, 1, -1, -2, -1], [0, 1, 0, 1]]"
83875.a.83875.1,"[[-5, 6, 3, -5, 0, 0, -1], [0, 1, 1, 1]]"
83885.a.83885.1,"[[0, -3, 6, 73, 17, 1], [1]]"
83888.a.83888.1,"[[0, 1, -2, -1, -1], [0, 1, 0, 1]]"
83904.a.335616.1,"[[2, 21, 72, 75, -19, 1], []]"
83909.a.83909.1,"[[2, -1, 2, -3, -1, 1], [1, 0, 1]]"
83915.a.83915.1,"[[0, 4, 22, 44, 13, 1], [1]]"
83920.a.335680.1,"[[5, 5, 0, -3, -1], [0, 1, 0, 1]]"
83926.a.167852.1,"[[0, 1, 0, -2, -2, -1], [1, 1]]"
83943.a.755487.1,"[[2, 0, -6, 1, 5, -1, -1], [1]]"
83944.a.671552.1,"[[0, -2, 3, -2, 1], [0, 1, 0, 1]]"
83945.a.419725.1,"[[-1, 0, -1, -1, 1, 1], [1, 1]]"
83957.a.83957.1,"[[-6, 1, 9, -4, -2, 1], [1]]"
83958.a.503748.1,"[[3, 2, 0, 3, -1, 1], [0, 1, 1]]"
83984.a.335936.1,"[[4, -6, 10, -7, 6, -2, 1], [1]]"
83988.a.167976.1,"[[99, -3, -59, 0, 11, 0, -1], [1, 1, 0, 1]]"
83989.a.83989.1,"[[-2, -5, -7, -4, -1, 1], [0, 0, 1]]"
83999.a.83999.1,"[[0, -2, 0, 8, 9, 3], [1, 0, 0, 1]]"
84000.b.672000.1,"[[0, -1, 1, -3, 3, -2, 1], [1]]"
84032.a.336128.1,"[[0, 1, -1, 3, -1, 2], [1, 0, 1]]"
84033.a.756297.1,"[[0, 0, -6, 0, 30, -33], [1, 1, 0, 1]]"
84037.a.84037.1,"[[-9, 76, -168, 10, 12, 1], [1]]"
84049.a.84049.1,"[[3, 23, 51, 25, -14], [1, 1, 0, 1]]"
84050.a.84050.1,"[[2, 0, 1, 3], [0, 1, 0, 1]]"
84050.c.336200.1,"[[-3, 2, -6, 3, -4, 1, -1], [1, 1]]"
84075.a.420375.1,"[[-1, 7, -26, 32, -8], [1, 1, 0, 1]]"
84089.a.84089.1,"[[2, 5, 5, 5, 2, 1], [1, 1, 1]]"
84096.a.756864.1,"[[0, 0, 0, -2, -1, 2, -1], [1, 1]]"
84118.a.168236.1,"[[-1, 2, 0, -3, -1, 2], [1, 0, 1]]"
84125.a.84125.1,"[[0, 1, 0, 1, -1, 1], [0, 1]]"
84129.a.252387.1,"[[0, -1, -3, 0, 1], [0, 1, 0, 1]]"
84135.a.84135.1,"[[3, 3, -1, -5, -1, 2], [0, 0, 0, 1]]"
84139.a.84139.1,"[[-2, 0, -6, 0, -7, 0, -3], [1, 1, 0, 1]]"
84152.a.336608.1,"[[-1, 0, 0, -3, 3, -2], [1, 1]]"
84160.a.84160.1,"[[1, 13, 43, 44, -8, 1], [1, 0, 1]]"
84160.b.84160.1,"[[-10, -20, -18, -7, 0, 1], [0, 0, 0, 1]]"
84160.c.84160.1,"[[-2, -8, -10, -7, -2], [0, 0, 0, 1]]"
84163.a.84163.1,"[[0, -1, 0, 0, -1, -2, -1], [1, 1, 0, 1]]"
84186.a.168372.1,"[[-1, 1, 3, -6, 0, 2], [1, 0, 1]]"
84186.b.168372.1,"[[-1, 1, -1, -1, 0, 1], [1, 1]]"
84200.a.673600.1,"[[8, 6, -6, -5, 0, 1], [0, 1, 0, 1]]"
84208.a.168416.1,"[[-1, -5, -7, 1, 6, 2], [0, 1]]"
84215.a.421075.1,"[[-1, 0, -4, 1, 4, 2], [0, 1, 0, 1]]"
84229.a.84229.1,"[[1, -4, 4, 0, -2, 1], [0, 1]]"
84240.a.336960.1,"[[-3, -2, -2, 1, 1, 1], [0, 0, 0, 1]]"
84240.b.336960.1,"[[-3, 15, -4, -37, -21, 0, 1], [0, 1, 0, 1]]"
84240.c.505440.1,"[[-5, -5, 22, 3, -18, 6], [0, 1]]"
84259.a.589813.1,"[[-2, 0, -1, -1], [1, 1, 1, 1]]"
84265.a.421325.1,"[[-1, -1, 4, -1, -1], [0, 0, 0, 1]]"
84267.a.84267.1,"[[0, -1, -3, 0, 2, 1], [0, 1]]"
84292.a.337168.1,"[[1, -2, 1, -2, 2, 0, 1], [1]]"
84310.a.674480.1,"[[3, 2, -3, -3, 0, 1], [0, 1, 1]]"
84325.a.421625.1,"[[1, -2, -1, 1], [1, 1, 0, 1]]"
84362.a.168724.1,"[[0, -2, 3, -1, -3], [0, 1, 0, 1]]"
84368.a.337472.1,"[[1, 2, 2, -1, -2], [0, 0, 0, 1]]"
84375.a.84375.1,"[[-1, -2, -4, -5, -5, -3, -1], [0, 1]]"
84416.a.168832.1,"[[0, 0, 2, 2, 3, 2, 1], [1, 1]]"
84428.a.675424.1,"[[2, 4, 7, 5, 5, 2, 2], [0, 1, 1]]"
84438.a.759942.1,"[[-36, 111, -77, -16, 6, -3, -1], [0, 0, 1]]"
84456.a.675648.1,"[[-3, 9, -4, -8, 4, 2], [0, 1]]"
