labels,data
491719.a.491719.1,"[[-3, -3, 1, 1, 0, -1], [1, 1, 0, 1]]"
491728.a.491728.1,"[[-5, 2, 10, -6, -2, 1], [0, 0, 0, 1]]"
491781.a.491781.1,"[[-1, -3, 1, 1, 0, -1], [1, 1, 0, 1]]"
491794.a.491794.1,"[[398, 20, -152, -7, 18, 0, -1], [0, 1, 1, 1]]"
491794.b.983588.1,"[[0, 2, 5, 5, 2, 1], [0, 1, 1]]"
491818.a.491818.1,"[[-3, 5, -4, 0, 1, -1], [1, 0, 0, 1]]"
491828.a.983656.1,"[[-3, -14, 17, 7, -9, -1, 1], [1, 0, 0, 1]]"
491854.a.491854.1,"[[2, 0, 1, 1, -1], [0, 1, 1, 1]]"
491872.a.983744.1,"[[0, -2, 1, 8, -8, 2], [1]]"
491906.a.491906.1,"[[3, 1, -1, 0, -2], [0, 0, 1, 1]]"
491913.a.491913.1,"[[1, -2, 0, 0, 1, 0, -1], [1, 0, 0, 1]]"
491929.a.491929.1,"[[12, 34, 26, 9, 9, 1], [1, 1, 1]]"
491936.a.983872.1,"[[-1, 1, 2, -1, -4, 2], [1]]"
491970.a.491970.1,"[[7, -15, -9, 22, 2, -1, 5], [0, 1]]"
491984.a.983968.1,"[[0, 0, -3, -6, 1, 2], [1, 1]]"
492009.a.492009.1,"[[0, 0, -3, -8, -5, 1], [1, 1, 1]]"
492021.a.492021.1,"[[0, 4, 20, 29, -4, 1], [1]]"
492032.f.492032.1,"[[42, 16, -10, -8, 0, 1], [0, 0, 0, 1]]"
492032.g.492032.1,"[[-1, -1, 8, 4, -24, -4, 22], [1]]"
492032.h.492032.1,"[[5, -4, -5, 8, 0, -4, 2], [1]]"
492032.j.492032.1,"[[-34, 32, 18, -20, -1, 2], [0, 0, 0, 1]]"
492037.a.492037.1,"[[0, -1, 6, -10, 1, 1], [0, 1]]"
492067.a.492067.1,"[[2, -1, -2, 1, -1], [0, 0, 1, 1]]"
492096.a.984192.1,"[[-1, -1, 1, 3, 0, -2, -1], [0, 1]]"
492109.a.492109.1,"[[-1, 1, 3, -3, -4, 1], [1]]"
492113.a.492113.1,"[[0, -2, -3, 0, 1], [1, 1, 0, 1]]"
492127.a.492127.1,"[[0, 1, 2, 0, 0, -2, 1], [1, 1, 0, 1]]"
