labels,data
22705.a.22705.1,"[[-1, -1, 3, 1, -1], [1, 0, 0, 1]]"
22708.a.363328.1,"[[0, 0, -2, -2, 4, 2], [1, 1, 0, 1]]"
22711.a.22711.1,"[[0, 0, -1, 0, 0, 1], [1, 1]]"
22723.a.22723.1,"[[0, -1, 0, 3, -3, 1], [0, 1]]"
22724.a.181792.1,"[[1, 1, 3, 1, 2], [0, 1, 1, 1]]"
22724.b.363584.1,"[[-2, 2, 1, -1, -2], [1, 0, 1, 1]]"
22725.a.68175.1,"[[-2, -1, 0, -1, 0, 1], [0, 1, 0, 1]]"
22735.a.22735.1,"[[-6, 0, 17, 5, -6, 0, 1], [1, 1, 0, 1]]"
22736.a.159152.1,"[[3, 2, 0, -1, -2], [0, 0, 1, 1]]"
22739.a.22739.1,"[[-1, 2, 0, -3, 0, 1], [1, 1]]"
22744.a.363904.1,"[[0, 1, 3, 2, 0, 0, 1], [1, 1]]"
22752.a.182016.1,"[[-3, -2, 6, 1, -4, 1], [0, 0, 1]]"
22757.a.22757.1,"[[0, 1, -2, -2, 3], [0, 1, 0, 1]]"
22757.b.159299.1,"[[0, 2, 3, -9, -18, 7], [1]]"
22758.a.45516.1,"[[0, 1, 1, 3, 1, 1], [1, 1]]"
22761.a.22761.1,"[[0, 0, 1, 2, 1, 1], [1, 1, 1]]"
22761.b.614547.1,"[[-2, -5, 0, 8, 7, 3], [0, 0, 1]]"
22761.c.614547.1,"[[0, 0, -1, 1, -4, 3], [1, 1]]"
22768.a.728576.1,"[[-2, 2, -6, 0, 4, 2], [0, 1, 0, 1]]"
22794.a.205146.1,"[[91, 27, 41, 7, 5], [0, 1, 1, 1]]"
22800.a.182400.1,"[[12, 6, -8, -5, 0, 1], [0, 1, 0, 1]]"
22805.a.22805.1,"[[-1, 6, -9, -2, 4, -1, -1], [0, 1]]"
22811.a.22811.1,"[[-1, -1, 4, 0, -3, 1], [0, 0, 1]]"
22812.a.91248.1,"[[-1, -3, -1, 6, 2, -4, 1], [1]]"
22816.a.365056.1,"[[-2, 5, -6, 3, 1, -2, 1], [1]]"
22817.a.22817.1,"[[9, 7, 2, 2], [1, 1, 0, 1]]"
22817.b.22817.1,"[[-1, -2, -1, 1, 1], [1, 0, 1, 1]]"
22818.a.45636.1,"[[0, 0, -3, 4, -4, 2], [1, 1, 1]]"
22834.a.45668.1,"[[0, 2, 4, 5, 3, 1], [0, 1, 1]]"
22839.a.22839.1,"[[-1, 3, -5, 1, 0, -1], [1, 1, 0, 1]]"
22839.b.22839.1,"[[-2, 1, 1, -3, -1, 1], [1, 1, 0, 1]]"
22843.a.22843.1,"[[1, -1, 1], [1, 0, 1, 1]]"
22848.a.319872.1,"[[-1, 1, -3, 1, -3, 0, -1], [1, 1]]"
22849.a.22849.1,"[[1, -2, 2, -1, 1], [0, 1, 0, 1]]"
22861.a.22861.1,"[[0, 1, 2, 1, 1, 1], [1]]"
22868.a.45736.1,"[[0, 1, 0, -8, -5], [1, 1, 0, 1]]"
22868.b.731776.1,"[[-1, 2, -4, 4, -3, 2], [0, 1, 1]]"
22883.a.160181.1,"[[0, 1, 54, 42, 11, 1], [0, 1, 1]]"
22885.a.114425.1,"[[1, 6, 5, 3, 2], [1, 0, 1, 1]]"
22891.a.22891.1,"[[0, -2, 4, -3, 0, 1], [1]]"
22917.a.22917.1,"[[-1, 4, -6, -3, 5, -1, -2], [1]]"
22929.a.68787.1,"[[0, -2, 2, 0, -1, 1], [1, 1, 0, 1]]"
22931.a.527413.1,"[[0, 2, 6, 5, 2, 1], [1]]"
22931.b.527413.1,"[[0, 0, 4, 0, 16, 1], [1]]"
22934.a.91736.1,"[[0, 1, 0, -6, 4, 1], [1, 1]]"
22934.b.91736.1,"[[0, -4, 16, -25, 0, 1], [1, 1]]"
22936.a.733952.1,"[[2, -1, 0, -1], [1, 1, 1, 1]]"
22941.a.68823.1,"[[-1, 0, 2, 2, 1], [1, 0, 1, 1]]"
22942.a.183536.1,"[[0, -1, 2, 0, 2], [1, 0, 0, 1]]"
22950.a.275400.1,"[[-2, -1, -1, 1, 0, 0, -1], [1, 0, 0, 1]]"
22950.b.459000.1,"[[1, -1, 2, -4, 5, -3, 1], [0, 1]]"
22950.c.918000.1,"[[-1, -3, -3, 0, 4, 2], [1, 0, 0, 1]]"
22952.a.45904.1,"[[-1, 8, -21, 16, 3, 2], [0, 1]]"
22952.b.45904.1,"[[4, -5, -3, 3], [0, 1, 0, 1]]"
22960.a.918400.1,"[[-1, 1, -1, 0, 0, -1, 1], [1, 0, 1]]"
22961.a.22961.1,"[[0, 0, -3, -6, 7, 15], [1, 1, 0, 1]]"
22971.a.68913.1,"[[0, -1, 0, 1, -1, 1], [1, 1, 0, 1]]"
22979.a.252769.1,"[[0, -1, -4, 0, 3, 1], [0, 1, 1]]"
22982.a.91928.1,"[[8, 4, -6, -4, 0, 1], [0, 1, 0, 1]]"
22985.a.22985.1,"[[1, 0, -2], [1, 0, 0, 1]]"
22985.b.574625.1,"[[3, -6, 7, -3, -1, 1], [1, 0, 0, 1]]"
22986.a.827496.1,"[[-4, 18, -21, -5, 10, 3], [0, 1, 1]]"
22992.a.22992.1,"[[-1, 1, -1, 2, 0, 1], [1, 0, 1]]"
22998.a.413964.1,"[[1, -1, 1, 0, 0, 1], [0, 1]]"
23000.a.736000.1,"[[0, -1, -12, -44, -52, 4], [0, 1]]"
