cond,disc,data
11120,177920,"[[0,1,3,-3,4,-2],[0,1,0,1]]"
11120,91095040000,"[[12,-20,-11,26,3,-8,-2],[]]"
11120,3820802906521600,"[[-3,1,25,7,-34,4,24],[]]"
11120,27262295535318750000,"[[-3,36,47,-63,36,-18,6],[0,1]]"
11123,77861,"[[0,-3,-3,3,1,-2],[1,1,0,1]]"
11123,3815189,"[[-1,-1,-1,-1,-1,1],[1,1,1,1]]"
11124,5911749684,"[[-1,6,-7,-2,-3,-2],[0,1,1,1]]"
11124,711936,"[[0,-2,2,-1,1,-2],[0,1,1,1]]"
11130,43859430871054417920,"[[-95,-93,69,-61,-4,4,-4],[0,1]]"
11130,525892500000000000000,"[[-70,-96,72,69,-63,-25],[1,0,1]]"
11130,9349200,"[[1,-8,17,-4,-6,-1],[0,1,1]]"
11130,94660650,"[[-1,-7,-10,10,6,1],[0,1,1]]"
11132,3639501391031959552,"[[5,21,-23,51,-25,-25,-4],[]]"
11132,489808,"[[1,4,1,-4,1],[1,0,0,1]]"
11136,12828672,"[[1,4,3,-6,-2,2],[0,0,1]]"
11136,4591560557592576,"[[5,19,11,7,28,-6],[]]"
11136,280246616064,"[[0,-12,13,-4,0,2],[0,1,0,1]]"
11136,356352,"[[0,1,-2,-1,-2],[0,1,0,1]]"
11136,46707769344,"[[48,120,19,-158,-91,52,38],[]]"
11136,3117367296,"[[-65,-4,26,-3,-4,1],[0,1,0,1]]"
11136,4926210048,"[[-4,-4,-17,-14,-19,-12,-2],[]]"
11136,11558841750000000000,"[[-7,-4,18,25,43,-9,-66],[]]"
11136,273678336,"[[0,-3,-5,4,2,1],[0,1,0,1]]"
11136,757520252928,"[[0,1,-26,1,-12,10,-2],[0,1,0,1]]"
11136,1425408,"[[0,-3,6,-4,-2,-1],[1,1,1,1]]"
11136,23353884672,"[[-4,0,20,-4,-29,10,7],[]]"
11139,2151153087615966796875,"[[-34,-25,47,87,1,-38,11],[1,0,1,1]]"
11139,11139,"[[-1,0,0,1,1],[1,0,1,1]]"
11140,44560,"[[0,-2,2,0,1],[1,1,1,1]]"
11144,4318924527902432,"[[-22,70,-7,-6,-33,10,-1],[0,1,0,1]]"
11148,1386989568,"[[1,3,5,-7,7,-3],[0,1,1,1]]"
11148,267552,"[[2,0,4,-1,2],[1,0,0,1]]"
11152,6296428478464,"[[-4,4,13,10,1,-4,-1],[0,0,0,1]]"
11152,194134016,"[[-2,2,5,0,-7,-6,-2],[]]"
11152,607261250000000000000000000,"[[-120,-440,-55,210,165,40,-10],[]]"
11152,178432,"[[1,4,-4,-6,3,2,-1],[1,0,1]]"
11152,1872822272,"[[0,-1,0,1,-8,-5,-2],[]]"
11152,1427456,"[[1,2,3,1,-2,-1],[0,0,0,1]]"
11152,44608,"[[0,2,3,2,1],[0,0,1,1]]"
11152,11152,"[[0,1,-8,-20,-5,1],[0,1,0,1]]"
11152,1427456,"[[1,2,1,1,-1],[0,0,0,1]]"
11154,145002,"[[6,6,-11,-8,5,2,-1],[0,1,1]]"
11154,50588804871880704,"[[0,48,56,51,-58,11],[]]"
11155,11155,"[[-5,-24,-34,-9,8,-1],[0,1,1]]"
11156,1039653750505592144,"[[16,-41,48,4,-23,17,-1],[0,1,0,1]]"
11160,16271280,"[[0,-2,-2,-4,-2,1],[0,0,1]]"
11160,20660620492800,"[[0,2,1,-14,-7,-16,-8],[]]"
11163,24534870067942890839316062721,"[[-1334,-1095,-1400,-413,-237,11,-14],[1,1,0,1]]"
11163,11163,"[[-13,57,-59,5,9,1],[1]]"
11163,4324774918707,"[[15,-31,-16,37,4,-3],[1,1,1,1]]"
11165,555291275,"[[0,5,6,-3,-3,-1],[0,0,1]]"
11166,68603904,"[[0,3,5,8,6,3,1],[0,0,1]]"
11168,1429504,"[[0,-1,1,2,1,1],[1,1,1,1]]"
11168,22336,"[[0,2,0,-3,0,1],[0,0,0,1]]"
11168,349000000000000,"[[-46,-172,-151,23,40,-8],[1,1]]"
11168,1429504,"[[3,3,1,0,-2,-1],[1,1,1,1]]"
11168,5718016,"[[0,2,2,-2,-2,0,1],[]]"
11168,22336,"[[0,2,2,3,2,1],[0,0,0,1]]"
11168,5855248384,"[[4,-1,0,6,1,1],[1,0,1]]"
11169,8142201,"[[-1,-6,-5,15,2,-10,3],[0,1,1]]"
11169,480788826849,"[[0,9,-10,10,-3,1,-1],[0,1,1,1]]"
