cond,disc,data
9128,1168384,"[[-2,0,4,1,-4,-1,1],[1,0,1]]"
9130,365200,"[[-3,1,-2,-1,0,-1],[0,1,1,1]]"
9131,642537003086249984,"[[2,-2,-8,-18,40,78,70],[]]"
9131,9131,"[[2,5,1,-4,-1,1],[0,1]]"
9132,876672,"[[1,1,-1,-1,0,-1],[0,1,1]]"
9136,9144352025562669776809984,"[[68,374,-328,167,-349,3,-79],[1,1,1,1]]"
9136,9579790336,"[[-1,-6,-4,9,-1,-1],[1,1,1,1]]"
9136,77683919616,"[[24,100,42,-38,-3,1],[0,0,1,1]]"
9136,9144352025562669776809984,"[[140,1204,-476,357,54,-18,19],[0,0,1,1]]"
9136,2338816,"[[0,4,3,-2,-2],[0,1,0,1]]"
9136,293578097241931776,"[[-48,-18,-72,-36,-27,-18,-3],[]]"
9136,2284000000000000,"[[-14,-10,52,48,-1,2],[]]"
9136,36544,"[[0,-2,-1,4,1,-2,-1],[0,0,0,1]]"
9136,9579790336,"[[0,-1,4,-1,-14,4,8],[]]"
9138,292416,"[[-2,2,-3,1,-2,1,-1],[1,0,0,1]]"
9138,1927546875000000,"[[-3,-34,33,30,-19,-8],[0,1,1]]"
9141,89590941,"[[-3,4,-3,1,2,-1,-1],[1,1]]"
9148,36592,"[[0,0,-2,-2],[1,0,0,1]]"
9150,1098000,"[[0,-12,13,3,-4,-1],[0,1,1]]"
9150,5581500,"[[1,1,-3,5,-2,1,1],[1,1,1]]"
9150,4668177744000,"[[-35,3,36,-1,-4,-5],[0,1,1]]"
9152,30457856,"[[0,2,4,6,5,4,1],[]]"
9152,585728,"[[0,-1,4,-5,7,6,1],[]]"
9152,100672,"[[3,2,0,-2,-1],[0,1,0,1]]"
9152,30457856,"[[0,2,-4,-2,5,-2],[]]"
9152,9371648,"[[5,68,51,-22,-13,4],[0,0,1]]"
9152,13511967113216,"[[0,-16,32,61,-75,-136,-48],[]]"
9152,20589510656,"[[0,-2,6,6,7,4],[]]"
9152,585728,"[[-1,-4,-5,-7,6,-1],[]]"
9153,95743612867059,"[[0,9,38,10,5,-3],[0,1,1]]"
9153,81609067402887168,"[[0,3,-12,57,-84,183,42],[]]"
9153,20017611,"[[1,1,-6,-1,3,-1],[1,0,1]]"
9153,60052833,"[[-7,-26,-26,-7,-8,-1],[0,1]]"
9153,20017611,"[[0,0,3,-2,-4,1],[1,1]]"
9153,60052833,"[[0,-9,9,15,14,3],[0,0,1,1]]"
9157,37507072,"[[-9,-5,3,1,2],[1,1,1,1]]"
9159,17557803,"[[-1,-1,-3,1,3,-1],[1,1]]"
9160,366400,"[[-1,-1,5,2,-4,-2],[1,1]]"
9160,1431250000,"[[20,2,10,-2,3,-1],[0,0,1,1]]"
9160,6003097600,"[[12,-8,-25,17,8,-3,-1],[]]"
9161,9161,"[[1,1,1,1,1],[1,0,1,1]]"
9162,87643123956,"[[-3,3,-1,1,-6,-2,-1],[0,1,1,1]]"
9162,358986235723776,"[[-27,-135,-196,-45,43,0,-1],[0,1,0,1]]"
9162,1253332635998792712192,"[[19,-61,-10,74,-32,-47,-12],[1,0,1]]"
9162,4690944,"[[-3,7,-12,11,-9,4,-2],[1,0,0,1]]"
9162,30921750000000000,"[[42,-85,-16,84,-4,-19,-3],[0,1,1]]"
9163,374006171,"[[0,1,20,60,-16,1],[0,0,1]]"
9163,374006171,"[[-33,8,40,-6,-16,1,2],[0,1]]"
9163,155771,"[[0,1,-37,41,-3,-5,-1],[0,1,0,1]]"
9163,7632779,"[[0,7,-3,-8,2,2,-1],[0,1,0,1]]"
9168,9613344768,"[[0,-4,2,2,-4,0,-1],[0,1,0,1]]"
9168,47526912,"[[0,4,-6,8,-5,2],[0,0,1]]"
9168,293376,"[[0,-4,-40,-107,-59,-12,-1],[0,0,1,1]]"
9168,146688,"[[-1,-3,-4,2,2,-1],[1,0,1]]"
9168,21123072,"[[0,4,6,0,-2],[0,1,0,1]]"
9168,2461016260608,"[[-1,-4,6,-8,-9,-4],[]]"
9168,75104256,"[[-4,12,21,-16,-14,7,-1],[0,0,0,1]]"
9174,468042214464,"[[-7,0,0,5,-1,2],[1,0,0,1]]"
9176,4660527104,"[[0,-2,10,4,-23,-20,-4],[]]"
9177,633213,"[[-2,-1,1],[0,0,1,1]]"
9180,2716692480,"[[-3,1,3,6,1,-6,-3],[1,0,0,1]]"
9180,35485019799552000,"[[0,-1,11,-5,77,-115,-11],[]]"
9182,2350592,"[[1,3,0,3,0,1],[0,1]]"
9184,75235328,"[[1,0,-1,-3,-2,-1,-1],[0,0,1,1]]"
9184,78889959292928,"[[-4,0,4,12,7,2,3],[]]"
9184,43792724609375000000,"[[10,55,-4,30,30,20,5],[0,1]]"
9184,308163903488,"[[-4,-2,-3,6,5,-2,-1],[1,0,1]]"
9184,172740313088,"[[-4,-4,1,0,4,4,-1],[]]"
9184,21592539136,"[[56,-24,20,0,4],[1,1,1,1]]"
9186,220464,"[[1,3,0,-2,-1],[0,1,0,1]]"
9188,18376,"[[0,0,1,-1,-2],[1,0,1,1]]"
9188,1176064,"[[0,-3,-2,7,3,-3],[1,0,1,1]]"
9188,71846871588760988388424,"[[712,-35,-466,-53,61,3,-2],[1,0,1,1]]"
9189,2232927,"[[-1,0,-3,-2,-1,-2,-1],[0,1,1,1]]"
9196,260660399296,"[[-5,5,-4,-2,1,-5,-3],[1,1,0,1]]"
9200,736000,"[[0,-1,1,2,-2,0,1],[]]"
9200,736000,"[[0,-1,0,2,2,-1,-1],[]]"
9204,7068672,"[[1,5,5,-2,-2,-1],[0,1,1,1]]"
9204,2355110316,"[[1,-4,0,-7,7,-1],[1,1,1]]"
9204,20221188,"[[0,3,8,-6,4,0,-1],[1,0,0,1]]"
9204,6022282346496,"[[5,-1,-19,1,27,13],[]]"
9204,994032,"[[-1,2,0,-2,0,-1],[1,0,0,1]]"
9205,64435,"[[16,232,40,-29,-3,1],[1,1,1]]"
9207,23118777,"[[0,1,-6,-5,3,1],[0,1,1]]"
9207,31417365946171392,"[[0,-9,-22,-67,42,-9],[]]"
9207,54075390380859375,"[[0,-33,49,42,-46,-27],[0,1,1]]"
9207,23118777,"[[-1,6,3,-6,-1,1],[0,1,1]]"
9207,31417365946171392,"[[0,81,66,67,-14,1],[]]"
9207,54075390380859375,"[[0,297,-148,-43,15,3],[0,1,1]]"
9210,497340,"[[2,-6,1,5,0,-2,-1],[1,0,0,1]]"
9210,75448320,"[[-25,122,-158,-16,65,16],[1,1]]"
9212,25590951719260110848,"[[-219,-60,99,24,5,7],[1,1,1]]"
9212,414224436412081753201935565192,"[[143,-247,237,-72,-894,312,-26],[0,1,1]]"
9212,30292135903232,"[[-22,2,52,-3,-42,0,12],[1,0,0,1]]"
9212,2414870528,"[[-12,33,-68,57,16,1],[1,1,1]]"
9212,36848,"[[0,-1,6,-3,2,-1],[0,1,1,1]]"
9212,451388,"[[-7,5,5,-4,-1,1],[1,0,0,1]]"
9213,4173349257216,"[[9,22,-6,-29,4,12,-4],[1,1]]"
9214,38241699218750,"[[10,-6,-21,-10,-9,-2,-1],[0,1,1]]"
9215,154602045440,"[[3,11,15,5,9,1],[]]"
9215,9215,"[[0,-1,1,-1,-1,-1],[1,1,1,1]]"
9216,812479653347328,"[[0,4,-10,-14,27,0,-27],[]]"
9216,10322419062005657930093871299026747392,"[[-2772,-5016,-3916,2288,1243,22,-154],[]]"
9216,177707556371624361984,"[[21,-6,-22,86,37,-104,-60],[]]"
9216,31850496,"[[-4,4,13,-10,-10,6,-1],[0,0,0,1]]"
9216,1565515579392,"[[-36,120,-52,-80,-17,2],[]]"
9216,3538944,"[[0,3,7,11,8,4],[]]"
9216,1769472,"[[0,-6,-10,1,4,-1],[]]"
9216,14155776,"[[1,-4,0,10,1,-6,-2],[]]"
9216,110592,"[[1,0,1,-1,0,-1],[]]"
9225,82251026635161600,"[[0,-9,60,-43,-76,27,26],[]]"
9225,385492923187200,"[[-1,2,-12,16,-28,30,35],[]]"
9225,14707629675,"[[0,0,-5,26,20,4],[1,0,1,1]]"
9225,168125625,"[[-1,-8,-18,-6,6,1],[0,1,1]]"
9225,210362262725830078125,"[[-250,225,-254,72,-42,-3,-4],[0,1,1,1]]"
9225,10772189703369140625,"[[-94,-113,-132,-74,2,-3],[1,1,1]]"
