labels,data
677077.c.677077.1,"[[0, 2, 1, 0, 1, 1], [1]]"
677133.a.677133.1,"[[-1, 0, 0, -1, -1, 1], [1]]"
677309.a.677309.1,"[[-2, 5, -5, 5, -2, 1], [0, 0, 1]]"
677309.b.677309.1,"[[0, 0, 0, 3, 5, -1], [1, 1]]"
677365.a.677365.1,"[[-1, -4, 4, 27, 0, -47, -8], [0, 1]]"
677392.a.677392.1,"[[-1, 0, -10, -14, -6], [0, 1, 0, 1]]"
677539.a.677539.1,"[[-1, 2, -2, 0, -4, -1], [1, 1, 1]]"
677584.a.677584.1,"[[2, -11, 16, -8, 14, -2, 2], [0, 1]]"
677621.a.677621.1,"[[-1, 0, -1, 1, -1], [1, 1, 1, 1]]"
677629.a.677629.1,"[[1, 0, -3, 2, 3, -2], [1, 1, 0, 1]]"
677632.a.677632.1,"[[-1, 2, 2], [0, 0, 1, 1]]"
677675.a.677675.1,"[[0, 0, 1, 0, 4, 2], [1, 1, 0, 1]]"
677694.a.677694.1,"[[2, -2, 2, 0, 1], [0, 1, 1, 1]]"
677729.a.677729.1,"[[0, 2, 6, 4, 1, 1], [1, 1, 1]]"
677754.a.677754.1,"[[5, 3, -3, -4, 0, 1], [1, 0, 0, 1]]"
677823.a.677823.1,"[[0, 0, 2, 3, 4, 1, 1], [1, 1]]"
677842.a.677842.1,"[[-1, -1, 1, 2], [0, 1, 1, 1]]"
677867.a.677867.1,"[[1, 1, -1, -1, -1, 1], [1]]"
677888.a.677888.1,"[[-10, 12, -3, 0, 2, -3, 1], []]"
677888.b.677888.1,"[[10, 12, 3, 0, -2, -3, -1], []]"
677888.c.677888.1,"[[-3, 7, 2, -2, -6, -3, -1], []]"
677888.d.677888.1,"[[3, 7, -2, -2, 6, -3, 1], []]"
677888.e.677888.1,"[[-2, -2, -1, 7, -1, -3, 1], []]"
677888.f.677888.1,"[[-2, -2, -1, 3, 3, -1, -1], []]"
677941.a.677941.1,"[[35, 45, 0, -14, -3, 1], [1, 1, 0, 1]]"
678000.a.678000.1,"[[0, 0, -2, 0, 10, 0, -5], [1, 1]]"
678000.b.678000.1,"[[-5, 10, 0, -5, -2], [0, 0, 1, 1]]"
678019.a.678019.1,"[[-2, 9, -15, 5, 0, -1], [1, 1]]"
678021.a.678021.1,"[[0, 1, 6, 4, 3, 1], [1, 1, 0, 1]]"
678083.a.678083.1,"[[2, -1, 3, 1, 0, 1], [0, 1, 0, 1]]"
678113.a.678113.1,"[[-1, 3, 1, 2, 1], [0, 0, 1, 1]]"
678115.a.678115.1,"[[10, 15, 7, -3, -3], [0, 0, 0, 1]]"
678119.a.678119.1,"[[5, 0, -9, 0, 4, -2], [1, 1, 0, 1]]"
678162.a.678162.1,"[[2, -4, 5, -2, -1, 1], [0, 1, 0, 1]]"
678163.a.678163.1,"[[0, -1, 1, -3, 0, 1], [1]]"
678336.a.678336.1,"[[2, 8, 11, 5], [0, 0, 0, 1]]"
678382.a.678382.1,"[[-6, -4, 3, 1, -1], [1, 0, 0, 1]]"
678421.a.678421.1,"[[-1, 1, -1, -1, -1, 1], [1, 0, 1]]"
678463.a.678463.1,"[[0, 1, 2, 0, 1, -1, 1], [1, 1, 0, 1]]"
678566.a.678566.1,"[[-1, -5, -6, 0, 3, 1], [0, 1]]"
678748.a.678748.1,"[[-30, -75, -19, 54, 9, -17, 3], [1, 0, 0, 1]]"
678753.a.678753.1,"[[-3, -3, 4, 0, -3, 2, -1], [1, 0, 0, 1]]"
678823.a.678823.1,"[[-2, 5, -5], [1, 1, 0, 1]]"
678826.a.678826.1,"[[-2, 2, 0, 1, -1, -1], [0, 1, 1]]"
678861.a.678861.1,"[[0, 1, 1, 1, -2, -1, 1], [0, 1]]"
678886.a.678886.1,"[[1, -3, 0, 0, -1], [1, 0, 0, 1]]"
678964.a.678964.1,"[[-39, -4, 70, 1, -49, -5, 8], [1, 1, 1]]"
678976.a.678976.1,"[[38, 4, -29, -21, -6], [0, 0, 0, 1]]"
678976.b.678976.1,"[[-2, 0, 1, -1, -1], [0, 0, 0, 1]]"
679020.a.679020.1,"[[-1, 3, -4, 2, -2], [1, 0, 0, 1]]"
679091.a.679091.1,"[[3, 7, 10, 8, 4, 1], [0, 0, 0, 1]]"
679205.a.679205.1,"[[-1, 17, -133, 401, -317, 1], [1]]"
679232.a.679232.1,"[[-1, -2, -3, -1, 1, 1], [0, 0, 1]]"
679259.a.679259.1,"[[0, 1, -1, 3, 0, 1], [1, 1]]"
679265.a.679265.1,"[[-1, 0, 3, 0, -3], [1, 1, 0, 1]]"
679275.a.679275.1,"[[0, 1, -7, 8, 12, 1], [0, 1]]"
679275.b.679275.1,"[[0, 1, 9, 23, 8, 1], [0, 1]]"
679283.a.679283.1,"[[0, -1, -1, 9, -10, 1], [1]]"
679364.a.679364.1,"[[-1, 0, 2, -5, 1, 1], [1, 1, 1]]"
679394.a.679394.1,"[[-43, 25, 16, -11, -3, 1], [1, 0, 0, 1]]"
679425.a.679425.1,"[[0, -1, 2, 2, -3, 1], [0, 1, 1]]"
679440.a.679440.1,"[[7, -2, -18, 8, 7, -2, -1], [0, 1]]"
679595.a.679595.1,"[[-3, 11, 6, 8, 2, 1], [1, 1]]"
679701.a.679701.1,"[[-1, 1, 3, 0, -2], [1, 1, 0, 1]]"
679777.a.679777.1,"[[0, 1, 0, -3, -1, -1], [1, 1, 1]]"
679795.a.679795.1,"[[0, -3, 9, -11, 4, 1], [1]]"
679808.a.679808.1,"[[0, -2, 4, 1, -11, 1], [1, 0, 1]]"
679833.a.679833.1,"[[0, 0, -1, 0, 4, 0, -1], [1, 1, 0, 1]]"
679925.a.679925.1,"[[0, 0, 1, -1, 1, -1, 1], [1, 1]]"
679973.a.679973.1,"[[-5, -1, 2, -1, -1], [1, 0, 1, 1]]"
680012.a.680012.1,"[[1, 1, 1, 1, -1, -1], [1, 1, 1]]"
680077.a.680077.1,"[[2, 11, 17, 7, 0, 2], [1, 0, 0, 1]]"
680095.a.680095.1,"[[1, 0, -3, 5, -3, 1], [0, 1]]"
680103.a.680103.1,"[[-4, -1, 5, 0, -3], [1, 1, 0, 1]]"
680142.a.680142.1,"[[6, 42, 97, 73, -3, 1], [0, 1]]"
680176.a.680176.1,"[[-158, 94, 33, -25, 0, 1], [0, 0, 1]]"
680189.a.680189.1,"[[-20, 27, -1, -7, -1, 1], [0, 0, 0, 1]]"
680194.a.680194.1,"[[49, -125, 73, 0, -8], [0, 0, 1, 1]]"
680195.a.680195.1,"[[2, -5, 5, -4, 1], [0, 1, 0, 1]]"
680208.a.680208.1,"[[3, 17, -3, -42, -29, 0, 3], [1]]"
