cond,disc,data
26112,482967552,"[[-4,8,14,-2,-4,1],[0,0,1]]"
26112,10267656192,"[[0,-4,-4,11,14,3],[]]"
26112,476638290640896,"[[2,-4,-10,16,-16,48,24],[]]"
26112,958095534587904,"[[18,48,80,64,38,8,8],[]]"
26112,1355561458494315668963328,"[[-60,168,-7,-214,98,-64,24],[]]"
26112,1872720000000000000000000000,"[[-120,-200,70,300,285,200,110],[]]"
26112,235008,"[[0,1,2,7,5,2],[0,1,0,1]]"
26112,641728512,"[[0,-4,-8,5,6,1],[]]"
26112,785475698688,"[[-1,-2,-3,0,4,8,12],[]]"
26112,119761941823488,"[[-4,16,0,-72,-29,56,33],[]]"
26112,1775616000000000000,"[[15,54,5,-84,-46,32,24],[]]"
26112,34680000000000000000000000,"[[60,-220,-15,70,-290,130,-15],[]]"
26112,5775556608,"[[0,-1,15,-47,-71,-8],[]]"
26112,785758100303904768,"[[-180,-248,-12,56,-5,2],[]]"
26116,104464,"[[1,2,2,0,-1,-1],[0,0,1]]"
26117,17713151993597333,"[[-16,7,-14,-42,-7,7],[1]]"
26118,554580836352,"[[9,-13,23,-14,12,-3,1],[1,0,1]]"
26120,427950080,"[[-1,2,-2,6,-2,-6,-1],[]]"
26122,35761018,"[[-6,-2,-14,-1,-8,1],[1,1]]"
26122,417952,"[[1,1,0,2,1,-1],[0,1]]"
26124,1498054656,"[[1,3,-1,4,-1,2],[0,1,1,1]]"
26124,135426816,"[[-19,49,-16,-23,-1,1],[0,1,1]]"
26125,497204988673421875,"[[7,-12,-35,16,7,-17,8],[1,0,0,1]]"
26125,2481875,"[[-1,2,2,-2,-1,-1],[0,1,1,1]]"
26127,245993154595768701,"[[-12,7,-14,23,4,-15,7],[1]]"
26128,474902528,"[[-1,-1,5,-2,-7,3,-1],[1,1,1,1]]"
26133,13591608557568,"[[-7,11,1,-27,-9,1],[]]"
26134,6690304,"[[4,2,0,-6,0,1],[0,1,0,1]]"
26135,3266875,"[[3,-2,-4,-2,0,1],[1,1,1,1]]"
26136,38106288,"[[1,2,0,2,-2,0,-1],[0,0,0,1]]"
26136,3361317558192,"[[20,-5,-23,-6,0,-1],[1,1,1,1]]"
26136,2250138200112,"[[-3,-6,0,-6,6,0,2],[0,0,0,1]]"
26136,3974344704,"[[2,4,-7,-9,5,4],[1,1]]"
26136,136448296875000000,"[[0,-18,-18,74,-14,6],[0,0,1]]"
