labels,data
70656.b.70656.1,"[[-1, -11, -41, -54, -8, 1], []]"
70656.c.70656.1,"[[2, 8, 9, -1, -4, 1], []]"
70656.d.70656.1,"[[1, -11, 41, -54, 8, 1], []]"
70656.e.70656.1,"[[-2, -2, 3, 0, -3, 1], []]"
70656.f.282624.1,"[[1, 3, 0, -3, -2, 2], []]"
70670.a.70670.1,"[[-1, 5, -11, 9, -4], [1, 0, 0, 1]]"
70670.b.282680.1,"[[-4, -10, 0, 11, -1, -5, 1], [0, 1, 1, 1]]"
70670.c.282680.1,"[[-1, -1, 9, 0, -32, 22, -4], [1, 1, 1]]"
70684.a.282736.1,"[[-4, -16, -18, 0, 6, -1], [0, 1, 1]]"
70688.a.565504.1,"[[1, -5, 7, 0, -4, 0, 1], []]"
70688.b.565504.1,"[[1, 1, -1, -2, 0, 0, 1], []]"
70699.a.70699.1,"[[0, -1, -2, 2, 4, 1], [1]]"
70702.a.141404.1,"[[-58, 31, 19, -11, -3, 1], [1, 0, 0, 1]]"
70707.a.70707.1,"[[2, -7, 5, 1, 0, 1], [0, 1, 0, 1]]"
70713.a.212139.1,"[[0, 1, 1, 1, 0, -1], [1, 1]]"
70724.a.141448.1,"[[0, 0, 1, 2, 2, 3], [1, 1, 0, 1]]"
70727.a.70727.1,"[[-1, 0, 1], [1, 1, 0, 1]]"
70730.a.353650.1,"[[-2, 4, -5, 4, -2, 1], [0, 1]]"
70736.a.282944.1,"[[0, 1, -2, 0, -1, 2], [1]]"
70748.a.282992.1,"[[0, 1, -1, -4, 0, 2], [1, 1, 1]]"
70749.a.212247.1,"[[-2, -4, 2, 5, -1, 0, -2], [1, 0, 0, 1]]"
70757.a.70757.2,"[[70, 43, 35, 9, 4], [0, 0, 1, 1]]"
70757.a.70757.1,"[[0, 1, 5, 4, -5, 1], [0, 1]]"
70762.a.283048.1,"[[13, 7, 10, 3, 2], [0, 1, 1, 1]]"
70767.a.212301.1,"[[0, -4, 16, -25, -3, 1], [1, 1, 0, 1]]"
70771.a.70771.1,"[[-1, 0, 15, 20, -10, 1], [1, 1, 1]]"
70778.a.283112.1,"[[1, -2, 0, 1, -1, 1, 1], [1, 1, 1]]"
70784.a.495488.1,"[[-2, -2, 0, 1], [0, 0, 0, 1]]"
70784.b.990976.1,"[[-1, 2, 0, -3, 1, 2], [1]]"
70790.a.707900.1,"[[-1, -2, -1, 1, 2], [1, 0, 0, 1]]"
70793.a.70793.1,"[[1, -5, 3, 2, -3, 1], [1, 1, 0, 1]]"
70799.a.70799.1,"[[1, 0, -2, 0, -1], [1, 1, 0, 1]]"
70809.a.70809.1,"[[0, 2, 7, 4, -2], [1, 1, 0, 1]]"
70816.a.141632.1,"[[1, 2, -1, -1, 2, 1], [0, 1, 0, 1]]"
70828.a.70828.1,"[[-154, 142, -1, -23, 1, 1], [0, 1, 1]]"
70828.a.566624.1,"[[-7, 1, 11, -6, -2, 1], [0, 1, 1]]"
70837.a.70837.1,"[[-1, 1, 0, 0, 1, 1], [0, 0, 0, 1]]"
70848.a.283392.1,"[[0, -1, 23, 33, 13, 1], []]"
70850.a.283400.1,"[[1, 1, -1, -4, 1, 1], [0, 1, 1]]"
70859.a.70859.1,"[[-1, -1, 2, 0, -2, 1], [0, 0, 1]]"
70861.a.496027.1,"[[1, 0, -5, 0, 3, -1], [1, 1]]"
70864.a.283456.1,"[[4, -2, -6, 1, 2], [0, 0, 1, 1]]"
70880.a.141760.1,"[[4, -2, 3, -4, -1, 1], [0, 0, 0, 1]]"
70886.a.141772.1,"[[1, 3, 7, 8, 7, 1], [0, 1]]"
70888.a.283552.1,"[[1, 0, 5, 2, 8, 2, 4], [1, 1]]"
70896.a.992544.1,"[[-1, 14, -67, -31, -16, 2], [1, 1]]"
70906.a.141812.1,"[[1, 4, 3, 0, 0, -3, 1], [1, 1, 1]]"
70912.a.141824.1,"[[0, -1, -3, -35, 33, -10, 1], [0, 1]]"
70923.a.70923.1,"[[0, 0, -2, 4, -4, 1], [1]]"
70924.a.283696.1,"[[-7, 0, 2, -2, 0, 1], [0, 0, 0, 1]]"
70927.a.70927.1,"[[-1, -2, 0, 2, 1, -1, -1], [1, 0, 0, 1]]"
70934.a.70934.1,"[[-1, 1, 1, 1, -2, -1, 1], [0, 1]]"
70946.a.141892.1,"[[0, 2, 1, -4, -2, 1], [0, 1, 1]]"
70952.a.141904.1,"[[0, 1, -1, -3, 2, 0, 1], [1, 0, 1]]"
70991.a.70991.1,"[[0, 0, 1, 0, 1, -1, 1], [1, 1]]"
70996.a.283984.1,"[[-7, 6, 12, -13, 0, 1], [0, 0, 1, 1]]"
71006.a.568048.1,"[[0, 1, 1, 0, 3, 4], [1, 1, 1]]"
71016.a.284064.1,"[[-1, 1, 0, -1, 1, -2], [1, 1]]"
71021.a.71021.1,"[[-2, 0, 9, 8, 1], [1, 1, 0, 1]]"
71025.a.213075.1,"[[0, 3, -9, 8, -3, 1], [0, 1]]"
71028.a.852336.1,"[[0, 2, 4, 1, 0, 1], [0, 1, 1]]"
71042.a.142084.1,"[[-37, 32, 14, -12, -3, 1], [1, 0, 0, 1]]"
71057.a.71057.1,"[[0, 1, 2, 4, 3, 1], [1, 1]]"
71068.a.568544.1,"[[1, 16, 86, 165, 49, 4], [0, 1, 1]]"
71078.a.568624.1,"[[10, 7, 11, 4, 3], [0, 0, 1, 1]]"
71095.a.71095.1,"[[6, 23, 23, 7], [0, 0, 1, 1]]"
71096.a.142192.1,"[[0, -1, -1, -3, -4, 0, 1], [0, 1]]"
71099.a.71099.1,"[[4, 7, -2, -5, 0, 1], [1]]"
71099.b.497693.1,"[[0, 1, 1, 1, -2], [1, 1, 0, 1]]"
71100.a.853200.1,"[[0, 1, 2, -1, -3, 0, 1], [1, 0, 1]]"
71125.a.71125.1,"[[0, -1, 3, -4, 2, 1], [1]]"
71130.a.355650.1,"[[2, 0, -4, 0, 3, 1], [0, 1, 1]]"
71138.a.71138.1,"[[-5, 1, 0, -4, 0, 1], [0, 1]]"
71145.a.640305.1,"[[29, -6, -6, -1, -1], [1, 0, 1, 1]]"
71145.b.640305.1,"[[2, 3, 1, 2, 1], [1, 0, 1, 1]]"
71147.a.71147.1,"[[-1, -1, 4, 2, -4, 1], [0, 0, 1]]"
71152.a.71152.1,"[[-1, 2, -4, -4, 1, 1], [0, 0, 1]]"
71168.a.142336.1,"[[0, 2, 3, 0, 0, 1], []]"
71168.b.142336.1,"[[0, 2, -3, 0, 0, 1], []]"
71168.c.569344.1,"[[-3, 2, -5, 3, -2, 1], []]"
71173.a.71173.1,"[[3, 5, -3, -6], [1, 1, 1, 1]]"
71176.a.142352.1,"[[2, -1, 5, -1, 4, 0, 1], [0, 1]]"
71177.a.71177.1,"[[-1, 2, 0, -5, -1, 1], [1, 1, 0, 1]]"
71182.a.284728.1,"[[1, 1, 1, 2], [0, 1, 1, 1]]"
71195.a.355975.1,"[[1, -2, 2, -2, 0, 1], [0, 1]]"
71199.a.71199.1,"[[-3, 2, 3, -3, -1, 1], [0, 1]]"
71199.b.71199.1,"[[-1, 3, 1, 2, 1], [1, 0, 1, 1]]"
71201.a.71201.1,"[[0, -2, 1, 0, 1], [1, 1, 0, 1]]"
71215.a.71215.1,"[[-3, 7, -6, 3, -3, 0, -1], [1, 0, 1, 1]]"
71225.a.783475.1,"[[3, 2, 0, -1, -1], [0, 1, 0, 1]]"
71229.a.71229.1,"[[-1, 0, 1, 3, 2, 1], [1]]"
