cond,disc,data
10944,84307222056136605696,"[[2520,-288,240,-264,18,-12,6],[]]"
10944,288793326105133056,"[[-48,-16,-50,-8,-4,-8,-2],[]]"
10948,18709960937500,"[[5,11,15,-1,-19,-1],[1,1,1]]"
10948,4280668,"[[-1,-2,5,-2,-3],[0,1,1,1]]"
10948,64461824,"[[1,-5,9,-6,-4,1],[0,1,1]]"
10948,1237113052,"[[2,-6,-10,0,4,-1],[1,1,1]]"
10949,10949,"[[-2,3,1,4,1,1],[1]]"
10952,12967168,"[[-1,-4,-7,-3,0,-1],[1,1,1,1]]"
10952,53113520128,"[[0,-16,8,19,-4,-5,-1],[0,0,0,1]]"
10952,142016423936,"[[-16,-8,5,-3,-4,2,-1],[0,0,0,1]]"
10956,538509312,"[[1,1,3,-1,-1,2,-1],[1,0,0,1]]"
10956,2205734141952,"[[0,-3,-4,-1,4,9,10],[]]"
10960,14710262988800,"[[-4,8,-8,-12,7,0,-4],[]]"
10960,596438360064000000,"[[-405,-80,-137,-35,-18,-3,-1],[1,1,1,1]]"
10960,1714065547698781960681600,"[[117,-116,40,168,56,28,7],[1,1]]"
10960,13757456532585600,"[[8,-5,-7,24,0,0,3],[1,1]]"
10960,235364207820800,"[[-4,-8,-8,4,-9,4,-4],[]]"
10960,55029826130342400,"[[24,36,27,-9,2,-5,-1],[0,0,1,1]]"
10960,65620580661750137577243262514668503040,"[[-1276,1012,3663,-572,-3608,-2024,572],[]]"
10962,10546240655720448,"[[0,-16,-40,63,46,7],[]]"
10972,11235328,"[[-1,2,3,-2,-9,-5,-1],[1,0,0,1]]"
10974,10886208,"[[-3,2,0,-2,1,1],[1,0,0,1]]"
10976,9834496,"[[0,-1,-1,6,5,-8,-4],[]]"
10976,963780608,"[[-1,-7,-9,10,13,-4,-4],[]]"
10980,12404305242245520,"[[66,27,12,0,-6,0,1],[1]]"
10980,8412207873701660156250000,"[[-85,-45,-126,-186,-117,-90,-75],[1]]"
10980,210067998480,"[[-15,6,-9,0,-3,0,-1],[0,0,0,1]]"
10980,537167533178880,"[[-11,-46,-35,37,28,-16],[0,1]]"
10985,54925,"[[0,-2,1,2,-2,-1],[1,1,1,1]]"
10986,98874,"[[-1,-3,-5,-5,-4,-1],[1,1]]"
10987,10987,"[[0,-1,1],[0,0,1,1]]"
10988,184348049408,"[[0,-1,-9,-21,9,13,1],[]]"
10988,11251712,"[[0,-3,-1,7,3,-2],[1,0,0,1]]"
10988,737392197632,"[[6,5,24,11,24,1],[]]"
10989,15043941,"[[0,1,-14,2,0,-3,-1],[0,0,0,1]]"
10989,10989,"[[0,1,0,1,1],[0,0,0,1]]"
10992,2813952,"[[4,-8,-11,20,6,-3],[0,0,0,1]]"
10992,6154113024,"[[0,4,1,-12,-7],[0,0,0,1]]"
10992,527616,"[[1,-2,-5,8,11,-9,-10],[]]"
10992,35407710388224,"[[4,4,-25,3,17,-3],[]]"
10992,4748544,"[[0,1,-4,0,8,4,1],[]]"
10992,553245474816,"[[0,-16,8,15,-5,-3],[]]"
10992,24039504,"[[2,-3,-16,-4,7,-1],[1,0,1]]"
10992,527616,"[[0,1,1,2,3,2,1],[]]"
