labels,data
97250.a.486250.1,"[[406, -58, -104, 0, 8, 1], [1, 1]]"
97280.a.97280.1,"[[2, 4, 0, -3, -1, 1], []]"
97280.b.97280.1,"[[-2, -6, -4, 1, 1, 1], []]"
97281.a.291843.1,"[[-1, 2, -1, -3, 1, 1], [1, 0, 0, 1]]"
97315.a.97315.1,"[[-2, 1, 3, -3, -3], [0, 0, 0, 1]]"
97325.a.486625.1,"[[1, 5, 4, -5, -1], [1, 1, 0, 1]]"
97325.b.486625.1,"[[1, -1, 3, 0, 1], [1, 1, 0, 1]]"
97354.a.389416.1,"[[0, 1, -2, 2, -2, 1], [1, 1]]"
97360.a.486800.1,"[[0, -2, 4, -1, -5, 5], [1, 0, 1]]"
97362.a.194724.1,"[[1, 4, 7, 6, 3, 0, -1], [1, 0, 0, 1]]"
97368.a.584208.1,"[[0, 1, 0, -2, -2, 3], [1, 0, 1]]"
97375.a.486875.1,"[[6, 5, 5, 1, 2], [1, 0, 0, 1]]"
97397.a.97397.1,"[[0, 1, 1, -1, -1, 1, 1], [1, 1]]"
97408.a.194816.1,"[[1, 3, -1, -6, -1, 1], [0, 1, 0, 1]]"
97408.b.779264.1,"[[1, 0, 0, 3, 3, 1], []]"
97408.c.779264.1,"[[-29, 4, 14, -3, -3], [0, 0, 1, 1]]"
97415.a.487075.1,"[[0, -2, 2, 6, 1, 1], [1, 0, 1]]"
97420.a.194840.1,"[[1, 1, 0, -4, -1, 3, 1], [1, 1, 0, 1]]"
97436.a.779488.1,"[[0, 1, -7, 9, -3], [1, 0, 0, 1]]"
97442.a.194884.1,"[[1, -1, 3, 0, 1], [0, 1, 0, 1]]"
97454.a.682178.1,"[[-1, 1, 4, -3, -8, 7], [0, 1]]"
97466.a.389864.1,"[[5, 7, -2, -5, 0, 1], [0, 1, 1]]"
97472.a.194944.1,"[[-2, 1, -1, 1], [1, 1, 1, 1]]"
97497.a.97497.1,"[[-5, -3, -6, 0, 4, 0, -1], [1, 1, 0, 1]]"
97536.a.195072.1,"[[0, 1, -4, -3, 3, 2], [1]]"
97549.a.97549.1,"[[0, 1, 0, 2, 3, 1], [1, 1, 1]]"
97549.b.97549.1,"[[0, 1, 0, 1, -1, 1], [1]]"
97584.a.390336.1,"[[-4, -16, -22, -11, 0, 2], [0, 1]]"
97585.a.97585.1,"[[0, 2, 4, -9, 1, 1], [1, 1, 1]]"
97589.a.97589.1,"[[0, 1, -2, -1, 1, 1], [1, 0, 1]]"
97598.a.97598.1,"[[-1, -5, -6, 3, 4, -1, -1], [0, 1]]"
97600.a.488000.1,"[[-1, 2, 0, -2, -1], [0, 1, 0, 1]]"
97618.a.195236.1,"[[1, 1, -4, -5, -1, -1], [1, 1]]"
97632.a.195264.1,"[[0, 1, -9, 8, 2, -4, 1], [0, 1]]"
97632.b.781056.1,"[[-43, 46, 4, -13, 0, 1], [0, 0, 1]]"
97640.a.195280.1,"[[0, 0, 0, 2, -1, 2], [1, 1]]"
97642.a.97642.1,"[[-1, -3, -7, -8, -7, -3, -1], [0, 1]]"
97650.a.390600.1,"[[-4, 2, 2, 1, -3, 1], [0, 1]]"
97654.a.195308.1,"[[9, 13, -3, -7, 0, 1], [0, 1]]"
97654.b.781232.1,"[[-1, 0, 0, -2, 1, 1], [1, 1]]"
97664.a.195328.1,"[[1, 0, -3, 1, 1, -2, 1], [0, 1]]"
97671.a.293013.1,"[[12, 7, 25, 8, 12, 1], [0, 0, 1]]"
97675.a.97675.1,"[[0, -1, -8, -20, -17, 1], [0, 1]]"
97675.b.97675.1,"[[0, -1, -1, 0, 2, 1], [0, 1]]"
97683.a.879147.1,"[[2, -3, 4, -4, 0, 1], [1]]"
97693.a.97693.1,"[[2, 3, -2, -3, 0, 1], [0, 1]]"
97693.b.97693.1,"[[2, 9, 13, 6], [0, 0, 0, 1]]"
97693.c.97693.1,"[[-42, -2, 73, 3, -42, -1, 8], [1]]"
