cond,disc,data
37617,112851,"[[2,-1,3,-2,0,-1],[0,0,1,1]]"
37620,42886800,"[[-3,17,-25,-3,11,2],[0,1,1]]"
37620,3685074816614400,"[[-27,27,74,-41,-67,3,9],[0,1,1]]"
37620,1969211855128320,"[[-12,-6,32,-11,-4,3,-3],[0,1,1]]"
37620,155849331702562106400,"[[13,-6,55,0,-61,3,9],[0,1,1]]"
37620,54700329309120,"[[-3,-9,-13,-20,20,-3],[0,1,1]]"
37624,4722723946916064,"[[-10,-77,-124,-72,-117,-36,-3],[1,1]]"
37624,1262451949568,"[[-3,11,4,-9,-6,2,1],[]]"
37624,4931452928,"[[0,1,2,-5,-5,0,-4],[]]"
37625,246868133544921875,"[[0,-43,20,55,-19,-19,5],[0,1,0,1]]"
37629,740651607,"[[0,3,6,-2,-2,1],[0,1,1,1]]"
37632,1140448644701356032,"[[40,64,24,-16,-6,-8],[]]"
37632,15119595390765053366477116145664,"[[140,504,84,364,-749,112,91],[]]"
37632,2130840649728,"[[-4,-24,12,44,-17,-20,9],[]]"
37632,1888223232,"[[0,4,2,7,-1,-1],[0,1,0,1]]"
37632,115605504,"[[8,-4,1,2],[0,0,0,1]]"
37632,4214784,"[[0,-1,-1,-2,-3,-3,-2],[]]"
37632,77070336,"[[1,2,1,2,3,0,2],[]]"
37632,18569723822211072,"[[-116,344,300,0,-21,2],[]]"
37632,6800435970048,"[[0,2,-3,-30,-17,28,20],[]]"
37632,5351889294065664,"[[-72,48,25,16,1],[0,0,0,1]]"
37632,94368007144341504,"[[0,-81,63,89,-39,-32],[]]"
37632,2822627525800944992256,"[[0,28,-161,0,105,-70,14],[]]"
37632,1633465003357028352,"[[0,-7,35,-28,-49,105,84],[]]"
37632,10362569097216,"[[0,8,19,33,36,25,11],[]]"
37632,321152287380018630230016,"[[238,-462,-525,728,644,-56,-84],[]]"
37632,313625280644549443584,"[[7,-42,21,-56,98,-28],[]]"
37632,580303869444096,"[[-4,0,12,12,29,18,3],[]]"
37632,21676032,"[[6,2,-2,3,0,-1],[0,1,0,1]]"
37632,8429568,"[[0,1,8,8,-33,12,4],[]]"
37632,4064256,"[[-4,1,17,-7,-18,6,5],[]]"
37632,10680718535156250000000000000,"[[-120,-85,-445,-190,-495,-135,-270],[]]"
37632,385875000000000,"[[2,-8,-26,-39,-17,-6],[1]]"
37632,37632,"[[-2,0,2,2,0,-2,-1],[0,0,1,1]]"
37632,14224896,"[[0,2,5,-3,-3,1],[0,0,0,1]]"
37632,75264,"[[0,2,1,-1,-3,-2,-1],[0,0,0,1]]"
37632,87832321451945481140287369641984,"[[-66,1452,-451,-3146,1265,484,-198],[]]"
37632,91430537753200734240768,"[[-70,136,-11,-162,93,32,-6],[]]"
37632,80390625000000000000000,"[[61,-88,-202,274,53,-38,-4],[1,1,1,1]]"
37632,3236954112,"[[-4,-4,3,6,1,-2],[]]"
37632,1580544,"[[-1,0,3,-1,-4,-1],[1,1,1,1]]"
37632,107515633139712,"[[10,38,19,-34,-29,-4],[]]"
37632,526848,"[[-4,-2,-8,-3,-5,-1,-1],[1,1,1,1]]"
37632,141675749376,"[[0,-1,3,6,-7,-11,-14],[]]"
37632,42886875708957754463030942208,"[[132,-374,-143,429,286,-165,-58],[0,0,0,1]]"
37632,1580544,"[[0,6,7,-7,-2,1],[0,0,0,1]]"
37632,25895632896,"[[-8,16,26,-42,-39,26,21],[]]"
37632,1078984704,"[[-2,-1,3,9,8,4],[]]"
37632,675562617187500000000000000,"[[-6290,2000,1246,-250,-68,0,1],[0,1,0,1]]"
37632,1254501122578197774336,"[[0,112,-140,-49,33,38,5],[0,0,1,1]]"
37632,1008379043626752,"[[0,-81,-196,-82,50,4,-2],[0,1]]"
37632,839965883904,"[[4,-19,-14,31,15,-14,-7],[1,1,1,1]]"
37632,19601580040284340224,"[[-14,-14,7,14,49,-42],[]]"
37632,97017332622163968,"[[0,-4,-18,-16,140,132,30],[]]"
37632,616562688,"[[8,-2,2,-2,-2],[1,1,1,1]]"
37632,269746176,"[[0,-4,-4,-5,0,0,1],[]]"
37632,14765229873793997428200308736,"[[-364,224,749,182,-21,63,-9],[0,0,0,1]]"
37632,118380036096,"[[-4,0,0,-4,-1,2,-2],[]]"
37632,2080899072,"[[-1,12,-34,0,15,4],[1,1,1,1]]"
37632,77070336,"[[-1,-2,-1,-2,-3,0,-2],[]]"
37632,17364375000000000000000000,"[[10,-100,-15,-150,-55,100,30],[]]"
37632,65856000000000000,"[[30,-4,-83,6,61,0,-6],[]]"
37632,202309632,"[[0,-2,-1,-2,3,2],[]]"
37632,8429568,"[[-12,28,-9,-12,2,2],[0,0,0,1]]"
37632,1618477056,"[[2,-8,-9,12,10,-4,-3],[]]"
37632,16859136,"[[-1,-1,-2,-3,-3,-2],[]]"
37632,646512837132288,"[[2,-4,36,-16,2,4],[]]"
37632,21676032,"[[-4,16,-18,0,5,1],[0,0,1]]"
37632,19730006016,"[[0,16,-52,51,-38,13,-4],[0,0,1,1]]"
37632,910393344000000000000,"[[0,-72,-200,7,249,16],[]]"
37632,26517128085504,"[[28,-12,-24,-11,3,11,4],[0,0,1,1]]"
37632,1348422598656,"[[8,-24,20,-8,1,-2],[]]"
37632,112896,"[[0,-1,-2,3,5,-3,-2],[]]"
37632,81916672868352,"[[76,-42,8,15,-4,1,1],[1,0,1]]"
37632,9507698596972068864,"[[20,-64,-26,32,24,0,-8],[]]"
