labels,data
74943.a.224829.1,"[[0, -1, -1, 0, -2, 1], [1, 1, 0, 1]]"
74944.a.74944.1,"[[-1, 0, 1, 1], [0, 0, 0, 1]]"
74944.b.299776.1,"[[1, -1, 3, -1, 2], [0, 1, 0, 1]]"
74945.a.74945.1,"[[1, -3, -1, 2], [1, 1, 0, 1]]"
74950.a.149900.1,"[[5, -3, -10, 1, 6, 2], [0, 0, 1]]"
74972.a.74972.1,"[[1, 1, 0, 1], [1, 0, 0, 1]]"
74981.a.74981.1,"[[0, -1, 2, 3, -4, 1], [0, 1]]"
74997.a.74997.1,"[[-1, 0, 2, -1, -3, 1, 1], [1, 1]]"
75008.a.150016.1,"[[0, 2, 4, -1, -4, 0, 1], [1, 1]]"
75010.a.75010.1,"[[-1, 1, 1, 0, -2, -1], [1, 0, 0, 1]]"
75015.a.375075.1,"[[2, -3, 2, 0, -2], [0, 0, 0, 1]]"
75050.a.150100.1,"[[0, -2, -5, -9, -5], [0, 1, 0, 1]]"
75057.a.75057.1,"[[2, -2, -1], [1, 0, 0, 1]]"
75064.a.150128.1,"[[0, 0, -1, 1, 1, -2, 1], [1, 1]]"
75072.a.450432.1,"[[-1, -8, -22, -23, -6], [0, 0, 0, 1]]"
75081.a.75081.1,"[[0, -1, 1, 0, -1, 3, 1], [1, 1, 0, 1]]"
75088.b.300352.1,"[[0, -1, 1, 3, -2, -2, 1], [1]]"
75092.a.600736.1,"[[-1, -1, 2, 1, -2, -1, 1], [0, 1, 1]]"
75094.a.300376.1,"[[1, 5, 6, 1, 2, -1, 1], [0, 1]]"
75111.a.225333.1,"[[5, 1, -2, -1, -1], [0, 0, 0, 1]]"
75126.a.150252.1,"[[0, 1, -1, -1, -1, 1], [1, 1]]"
75127.a.75127.1,"[[0, 0, 0, 1, 3, 1], [1, 1, 1]]"
75132.a.901584.1,"[[-1, 0, 1, 2, -1, -2, 1], [1]]"
75136.a.150272.1,"[[-3, -7, 0, 7, 0, -2, -1], [0, 1, 0, 1]]"
75136.b.150272.1,"[[0, 1, 0, -1, 3, -2, 1], [0, 1]]"
75141.a.676269.1,"[[0, 1, 3, 4, 4, 3], [1]]"
75160.a.150320.1,"[[88, -30, -46, 1, 6, 1], [0, 0, 1]]"
