labels,data
641161.a.641161.1,"[[41, -25, -5, 0, 0, 1], [0, 0, 0, 1]]"
641168.a.641168.1,"[[-13, -8, -1, -1, 0, 1], [0, 1, 0, 1]]"
641203.a.641203.1,"[[1, 1, 4, 3, 3, 1], [1, 1, 0, 1]]"
641247.a.641247.1,"[[42, -93, 58, 0, -9], [0, 1, 1, 1]]"
641267.a.641267.1,"[[0, 1, -2, -4, 1, 1], [0, 1, 1]]"
641301.a.641301.1,"[[-1, 3, -4, 1], [1, 0, 1, 1]]"
641321.a.641321.1,"[[-1, -1, 9, 24, 22, 11, 1], [1, 0, 0, 1]]"
641361.a.641361.1,"[[-1, -3, 1, 6, -1, -3, -1], [1, 1, 0, 1]]"
641367.a.641367.1,"[[2, 0, 7, -16, 7, -1], [1, 1, 1]]"
641377.a.641377.1,"[[-1, -1, -2, 0, -1], [1, 0, 1, 1]]"
641429.a.641429.1,"[[-2, 4, -3, 3, -3], [1, 1, 0, 1]]"
641443.a.641443.1,"[[-1, 1, 6, -7, -3, 1], [0, 0, 1]]"
641493.a.641493.1,"[[2, 3, 1, 1], [0, 1, 1, 1]]"
641539.a.641539.1,"[[2, -8, 0, 13, 7, 1], [1]]"
641547.a.641547.1,"[[-5, 17, -16, 2, 0, 1], [0, 0, 1]]"
641589.a.641589.1,"[[-13, 11, 6, -5, -1, 1], [0, 0, 0, 1]]"
641698.a.641698.1,"[[2, 0, -11, 3, 9, 1], [0, 1]]"
641785.a.641785.1,"[[-233, 34, 111, -21, -9, 1], [1, 0, 0, 1]]"
641803.a.641803.1,"[[0, 5, 31, 67, 16, 1], [1, 0, 1]]"
641821.a.641821.1,"[[-2, -9, -15, -9, 0, 1], [1, 0, 0, 1]]"
641837.a.641837.1,"[[-2, 3, -3, 3, -1, 1], [1, 1, 1]]"
641869.a.641869.1,"[[-1, -1, 2, 1, -2, 1], [0, 0, 1]]"
641910.a.641910.1,"[[2, -6, -3, 10, 0, -5, -1], [1, 1, 1]]"
641920.a.641920.1,"[[-2, -4, -4, -1], [0, 0, 1, 1]]"
641945.a.641945.1,"[[-1, -4, -7, -4, 0, 1], [0, 1]]"
641957.a.641957.1,"[[20, 22, -4, -8, 0, 1], [1, 0, 1]]"
641963.a.641963.1,"[[1, 1, -2, -3, 0, 1], [1]]"
641986.a.641986.1,"[[-1, -1, 2, -3, -1, 1], [0, 1, 0, 1]]"
642039.a.642039.1,"[[2, 5, -1, -8, -2, 1], [1, 1, 0, 1]]"
642039.b.642039.1,"[[2, 5, 8, 5, 3], [1, 0, 0, 1]]"
642041.a.642041.1,"[[0, 3, 2, -7, -2, 1], [1, 1, 0, 1]]"
642061.a.642061.1,"[[2, 7, 1, -11, 1, 2], [0, 0, 0, 1]]"
642065.a.642065.1,"[[-1, 0, -2, 1], [1, 1, 0, 1]]"
642077.a.642077.1,"[[-1, 4, 0, -5, 1, 1], [1]]"
642118.a.642118.1,"[[2, 2, -2, -3, 0, 1], [0, 1]]"
642123.a.642123.1,"[[0, 4, 17, 8, 1, 1], [1]]"
642131.a.642131.1,"[[0, -2, 0, 0, -1, -1], [1, 1, 0, 1]]"
642157.a.642157.1,"[[0, 0, 2, 0, -4, 1], [1, 1, 0, 1]]"
642213.a.642213.1,"[[0, 0, -3, -1, 5, -1, -1], [1, 1]]"
642277.a.642277.1,"[[4, 0, 3, 2, 0, 1], [1, 0, 1]]"
642289.a.642289.1,"[[-2, -1, 0, -1, -1], [1, 0, 1, 1]]"
642301.a.642301.1,"[[0, 0, -3, -4, 9, 1], [1, 1, 0, 1]]"
642346.a.642346.1,"[[4, 9, -1, -7, -1, 1], [1, 0, 0, 1]]"
642373.a.642373.1,"[[1, -2, 1, 1, -1], [0, 1, 1, 1]]"
642403.a.642403.1,"[[-1, -9, -26, -21, 9, 1], [0, 0, 1]]"
642437.a.642437.1,"[[-3, -1, 5, 0, -3], [1, 0, 0, 1]]"
642439.a.642439.1,"[[-4, -1, 6, 0, -3], [0, 1, 0, 1]]"
642475.a.642475.1,"[[0, -5, 34, -83, 30, -1, 1], [1]]"
642517.a.642517.1,"[[1, -1, -5, 1, 4], [1, 0, 1, 1]]"
642541.a.642541.1,"[[3, -7, 7, 0, -3], [1, 0, 0, 1]]"
642601.a.642601.1,"[[3, 1, -8, 0, 4, -2], [1, 1, 0, 1]]"
642734.a.642734.1,"[[0, 1, 0, 4, 4, 1], [1, 1]]"
642735.a.642735.1,"[[-1, 1, 1, -2, -1, 1], [1, 1, 1]]"
642755.a.642755.1,"[[7, -1, 6, 0, 2], [0, 0, 0, 1]]"
642896.a.642896.1,"[[0, 2, 3, -2, -4, 0, -1], [1]]"
642911.a.642911.1,"[[0, 0, 0, 4, 5, 1], [1, 1, 1]]"
642959.a.642959.1,"[[7, 1, 7, 0, 2], [1, 1, 0, 1]]"
642966.a.642966.1,"[[-2, -2, 2, 1, -1, 0, -1], [0, 1, 1, 1]]"
642977.a.642977.1,"[[-2, -1, 3, 0, -3, 0, 1], [0, 1, 1]]"
643039.a.643039.1,"[[1, 5, 3, -8, 3], [0, 0, 0, 1]]"
643083.a.643083.1,"[[-1, 1, 0, 1, -4, 1], [1, 1]]"
643109.a.643109.1,"[[-6, 5, -13, 6, -7, 1, -1], [1, 1]]"
643114.a.643114.1,"[[-1, 0, 4, -1, -5, 1], [1, 1]]"
643145.a.643145.1,"[[1, -3, 0, 3, -3, -1, 2], [1, 1, 1]]"
643147.a.643147.1,"[[1, 4, 3, 0, 1, 1], [1, 1]]"
643197.a.643197.1,"[[-1, -2, 0, 0, 1], [1, 1, 0, 1]]"
643213.a.643213.1,"[[0, 0, -1, -1, 4, 1], [1]]"
643216.a.643216.1,"[[-2, -7, -5, -2, 0, 1], [0, 1, 0, 1]]"
643220.a.643220.1,"[[0, -2, -3, 0, 3, 0, -1], [1, 1, 1]]"
643239.a.643239.1,"[[-1, 2, -4, 0, 3, 1], [1, 1, 1]]"
643253.a.643253.1,"[[0, 0, 1, 1, 3], [1, 1, 0, 1]]"
643264.a.643264.1,"[[0, 4, 13, 9, -9, 1], [1, 0, 1]]"
643275.a.643275.1,"[[0, 0, -4, 8, -6, 1], [1]]"
643317.a.643317.1,"[[0, 2, 1, 2, 0, 1], [1, 0, 1]]"
643392.a.643392.1,"[[2, 7, 4, -4, -1, 1], [0, 1, 0, 1]]"
643397.a.643397.1,"[[0, -1, -7, -13, -6, 1], [0, 1]]"
643419.a.643419.1,"[[0, 0, -2, 3, -4, 1], [1]]"
643472.a.643472.1,"[[-1, 1, -1, 0, 1, 1], [1, 0, 1]]"
643498.a.643498.1,"[[0, 0, -2, 0, 4, -1], [1, 1]]"
643499.a.643499.1,"[[0, -1, 1, 4, 2, 1], [0, 1]]"
643589.a.643589.1,"[[4, 5, -1, -2, 1, 1], [0, 0, 1]]"
643616.a.643616.1,"[[0, 0, 0, -2, -3, 4, -1], [1, 1]]"
643732.a.643732.1,"[[29, -68, 43, 0, -5], [1, 0, 0, 1]]"
643785.a.643785.1,"[[-1, 2, 4, -11, 1, 2], [1, 1, 0, 1]]"
643793.a.643793.1,"[[-3, 2, 2, -6, 2, 0, -1], [1, 0, 1, 1]]"
643801.a.643801.1,"[[-3, -4, -2], [0, 1, 1, 1]]"
643813.a.643813.1,"[[0, -1, -3, 1, 2, 1], [0, 1, 1]]"
643906.a.643906.1,"[[-1, 17, 0, -57, 58, -19, 2], [0, 1]]"
643937.a.643937.1,"[[-1, 4, 0, -9, -5], [0, 1, 1, 1]]"
643987.a.643987.1,"[[-145, 52, 28, -3, -5], [0, 1, 0, 1]]"
643999.a.643999.1,"[[87, 31, -47, -26, 0, 2], [1, 1, 0, 1]]"
644037.a.644037.1,"[[4, 9, 4, -2, -2], [0, 0, 0, 1]]"
644048.a.644048.1,"[[-3, 1, 0, -4, 0, 0, -1], [1]]"
644068.a.644068.1,"[[-1, -1, 3, 2, -5, 1], [1, 0, 0, 1]]"
