labels,data
118272.b.709632.1,"[[0, 6, 5, 6, 2, 1], []]"
118284.a.709704.1,"[[0, -3, 16, -14, 1], [1, 0, 1, 1]]"
118286.a.828002.1,"[[-1, 5, -6, 4, -1], [1, 0, 0, 1]]"
118303.a.118303.1,"[[-13, 56, -76, 23, 12, 1], [0, 1]]"
118307.a.828149.1,"[[18, 33, 20, 4], [1, 0, 1, 1]]"
118323.a.354969.1,"[[0, 4, -3, -6, -1, 1], [1, 1, 0, 1]]"
118325.a.118325.1,"[[0, -1, 4, 0, -3, 1], [0, 1]]"
118328.a.236656.1,"[[0, 0, -2, 4, -3, 2], [1, 1]]"
118336.a.473344.1,"[[0, 2, 2, 2], [0, 1, 0, 1]]"
118342.a.828394.1,"[[1, 0, 3, 0, 4, 0, 2], [1, 1, 1]]"
118359.a.355077.1,"[[0, 1, -1, -4, 5, 1], [1]]"
118397.a.118397.1,"[[-2, 1, 3, -1, -1], [0, 0, 0, 1]]"
118397.b.118397.1,"[[2, -1, -1, -3, 0, 1], [1, 0, 0, 1]]"
118400.a.947200.1,"[[2, 5, 6, 3], [0, 1, 0, 1]]"
118401.a.355203.1,"[[0, 0, -1, -4, -2, 1], [1, 1]]"
118401.b.355203.1,"[[2, -9, 13, -11, 6, 1], [1]]"
118407.a.355221.1,"[[-2, -1, 6, -1, -3, 1], [0, 0, 1]]"
118413.a.355239.1,"[[1, 20, 113, 222, 50, 3], [1, 1, 1]]"
118418.a.236836.1,"[[1, 13, 55, 72, -20, 1], [0, 1]]"
118418.b.236836.1,"[[4, -8, 17, -7, -2, 1], [0, 1]]"
118448.a.473792.1,"[[4, 10, 0, -6, -1, 1], [0, 0, 0, 1]]"
118453.a.118453.1,"[[0, 1, 2, 0, 0, 1], [1]]"
118460.a.947680.1,"[[12, 1, 11, 0, 3], [1, 0, 0, 1]]"
118483.a.118483.1,"[[5, -4, -2, 0, -1], [0, 1, 1, 1]]"
118488.a.473952.1,"[[0, 0, -4, 0, 8, -2], [1, 1]]"
118496.c.947968.1,"[[31, -40, 47, -28, 15, -4, 1], [0, 1]]"
118503.a.355509.1,"[[0, 2, 4, 0, -7, 3], [1, 0, 1]]"
118516.a.474064.1,"[[0, 0, -1, 0, 1, -4, 1], [1, 1]]"
118520.a.237040.1,"[[1, 2, 0, 1, 4, 2], [0, 1]]"
118549.a.118549.1,"[[-2, 7, -7, 1, 0, 1], [0, 0, 0, 1]]"
118555.a.118555.1,"[[0, -1, -2, 6, 9, 1], [1]]"
118581.a.355743.1,"[[0, -1, -2, 0, 4, 3], [1, 1, 1]]"
118592.a.237184.1,"[[5, 6, 3], [0, 0, 1, 1]]"
118606.a.118606.1,"[[-2, 0, 1, 1, 2, 1], [0, 1]]"
118616.a.237232.1,"[[0, 1, 1, 0, 2, 2], [1, 1]]"
118616.b.237232.1,"[[0, 1, 2, 3, 4, 2], [0, 1]]"
