labels,data
410366.a.820732.1,"[[-665, 508, -25, -40, -1, 2], [0, 1, 1]]"
410368.a.410368.1,"[[-6, -7, -13, -8, -7, -2, -1], []]"
410368.b.410368.1,"[[-2, -1, -5, -4, -5, -2, -1], []]"
410368.c.410368.1,"[[2, 1, 4, -1, 4, -1, 1], []]"
410368.d.410368.1,"[[-2, 1, -4, -1, -4, -1, -1], []]"
410368.e.820736.1,"[[0, 1, 0, -5, 2, 0, 1], [1, 1]]"
410378.a.820756.1,"[[0, 2, -5, 1, 2, 1], [0, 1]]"
410383.a.410383.1,"[[2, -1, -6, 0, 4, 0, -1], [1, 1, 1]]"
410421.a.410421.1,"[[-286, -1, 82, -8, -6, 1], [0, 1]]"
410477.a.410477.1,"[[13, 21, 8, -4, -3], [0, 0, 0, 1]]"
410488.a.820976.1,"[[1, 2, 1, -1, -1, 1], [0, 1, 0, 1]]"
410492.a.410492.1,"[[0, 3, 9, -20, 6, 1], [1, 1, 1]]"
410516.a.821032.1,"[[6, -34, 56, -30, 19, 2], [0, 1, 1]]"
410535.a.410535.1,"[[2, 4, -5, -9, 2, 2], [1, 0, 0, 1]]"
410575.a.410575.1,"[[0, 0, -4, 1, 3, -1], [1, 1, 1]]"
410605.a.410605.1,"[[0, 0, 0, 0, 2, 1, 1], [1, 1]]"
410609.a.410609.1,"[[0, 0, 0, -3, -2, 1], [1, 1, 1]]"
410677.a.410677.1,"[[0, 3, 14, 10, -35, 1], [1, 1, 1]]"
410705.a.410705.1,"[[1, 7, 13, 5, -1], [1, 1, 0, 1]]"
410731.a.410731.1,"[[0, 0, -3, -3, 3, 1], [1]]"
410738.a.821476.1,"[[5, 47, 115, 75, -19, 1], [0, 1, 1]]"
410744.a.821488.1,"[[-7, -4, 4, 5, 3, 1], [0, 0, 1]]"
410749.a.410749.1,"[[-3, 2, -4, 1, -1], [1, 1, 0, 1]]"
410752.a.410752.1,"[[6, -4, 4, -5], [0, 0, 1, 1]]"
410773.a.410773.1,"[[0, -4, 4, 4, -4, -1, 1], [1]]"
410777.a.410777.1,"[[-1, 1, 1, -2, -1, 0, -1], [1, 0, 1]]"
410806.a.821612.1,"[[0, -1, -1, 3, -3, 1], [1, 0, 0, 1]]"
410822.a.410822.1,"[[-1, 1, -1, 2, -2, 1], [0, 1]]"
410849.a.410849.1,"[[2, -6, 5, 0, -4, 2], [1, 1, 0, 1]]"
410859.a.410859.1,"[[0, -3, 7, 22, 9, 1], [1]]"
410864.a.410864.1,"[[3, -4, 2, -2, 1], [0, 0, 0, 1]]"
410875.a.410875.1,"[[3, -8, 15, -13, 15, -5, 4], [0, 1]]"
410876.a.410876.1,"[[-2, -2, 3, 2, 0, 0, -2], [0, 1, 1]]"
410880.a.410880.1,"[[1, 5, 2, -6, 0, 1], []]"
410880.b.410880.1,"[[3, 3, -8, -8, 0, 1], []]"
410880.c.410880.1,"[[-1, -4, 0, 12, 7, 1], []]"
410880.d.410880.1,"[[1, -7, 12, 0, -4, 1], []]"
410932.a.821864.1,"[[0, 0, 1, 9, 9, 3], [1, 1, 0, 1]]"
410994.a.410994.1,"[[8, 15, 3, 7, 7, -1, 2], [1, 1]]"
411029.a.411029.1,"[[2, 5, 6, 5, 2, 1], [0, 0, 1]]"
411031.a.411031.1,"[[-1, 2, -1, -2, -1, 1], [1, 1]]"
411056.a.411056.1,"[[3, 2, 3, 1, 1], [0, 0, 1, 1]]"
411062.a.822124.1,"[[1, 5, 6, 0, -1, 1], [1, 1]]"
411073.a.411073.1,"[[-5, -1, 0, -3, 0, 1], [1, 0, 0, 1]]"
411074.a.411074.1,"[[0, -1, -4, 0, 4, 2], [1, 0, 0, 1]]"
411077.a.411077.1,"[[-1, 4, 6, -20, -27, 1], [1, 0, 1]]"
411093.a.411093.1,"[[1, 3, 2, 0, 1, 1], [1]]"
411104.a.822208.1,"[[-1, -2, 3, 8, 0, -4, 1], [0, 1]]"
411110.a.822220.1,"[[1, -5, 6, 0, -3], [1, 0, 0, 1]]"
411118.a.411118.1,"[[0, 1, -2, 2], [1, 0, 0, 1]]"
411126.a.822252.1,"[[-3, 0, 4, 0, -3, 1], [1, 1]]"
411139.a.411139.1,"[[0, 0, 2, -1, 1, -1], [1, 1]]"
411139.b.411139.1,"[[-1, 2, -3, 0, -2, 1], [1, 1, 1]]"
411237.a.411237.1,"[[1, 8, 18, 7, -7, 1], [0, 1]]"
411256.a.822512.1,"[[-1, 1, 1, -4, 1, 1], [1, 0, 1]]"
411284.a.822568.1,"[[2, 3, 4, 1], [1, 1, 0, 1]]"
411296.a.822592.1,"[[0, 1, -7, 12, 0, -4, 1], [0, 1]]"
411301.a.411301.1,"[[-1, -2, -6, -6, -7, 1], [1]]"
411303.a.411303.1,"[[4, 11, 0, -11, 0, 3, -1], [1, 1, 0, 1]]"
411322.a.411322.1,"[[3, 5, -1, -5, -1, 1], [0, 1, 1]]"
411325.a.411325.1,"[[0, -1, 0, 7, 5, 1], [0, 1, 1]]"
411328.a.822656.1,"[[-1, -1, 1, 0, -2, 0, 1], [0, 1]]"
411328.b.822656.1,"[[0, 1, 0, -6, 11, -6, 1], [1, 1]]"
411334.a.411334.1,"[[15, 11, 15, 5, 3], [0, 1, 1, 1]]"
411338.a.822676.1,"[[1, -21, -78, -69, -3, 2], [1, 1, 1]]"
411344.a.411344.1,"[[-1, 0, -4, 4, 3, -2, -1], [0, 1]]"
411421.a.411421.1,"[[-3, 3, -4, 0, 0, -1], [1, 1, 0, 1]]"
411437.a.411437.1,"[[0, 1, 0, -2, 3, -1], [1, 1]]"
411470.a.411470.1,"[[19, 9, 16, 4, 3], [0, 1, 1, 1]]"
411472.a.822944.1,"[[-1, -3, -4, -1, 2, 2], [0, 1]]"
411491.a.411491.1,"[[4, 6, -3, -5, 0, 1], [1, 0, 0, 1]]"
411498.a.411498.1,"[[0, 0, -1, 0, 0, 1, 1], [1, 1]]"
411556.a.823112.1,"[[0, 2, 6, 1, 1], [1, 1, 0, 1]]"
411564.a.823128.1,"[[-2, -2, -2], [1, 0, 1, 1]]"
411585.a.411585.1,"[[1, 3, 5, 4, 4, 2, 1], [1, 0, 0, 1]]"
411600.a.411600.1,"[[-1, 3, -3, -3, 0, -2, -1], [1, 1]]"
411613.a.411613.1,"[[2, 1, 5, -3, -1], [0, 0, 0, 1]]"
411634.a.823268.1,"[[0, 0, 1, 3, 5, 2], [1, 1, 1]]"
411634.b.823268.1,"[[0, 0, -4, 3, 0, 1], [1, 1]]"
411638.a.823276.1,"[[5, 8, 0, -5, -1, 1], [1, 1]]"
411648.a.823296.1,"[[1, 1, -3, 6, -4, 2], []]"
411648.b.823296.1,"[[-1, 1, 3, 6, 4, 2], []]"
411652.a.823304.1,"[[0, 0, 1, 14, 28, 5], [1, 1, 0, 1]]"
411758.a.411758.1,"[[0, 2, 3, -5, -1, 2], [1, 0, 0, 1]]"
411797.a.411797.1,"[[0, -1, 0, 4, -2, 1], [1]]"
411839.a.411839.1,"[[0, 1, 0, -2, 1, 1], [1, 1, 1]]"
411848.a.823696.1,"[[0, 1, 3, 5, 3, 2], [0, 1]]"
411865.a.411865.1,"[[0, 0, 2, 3, 2], [1, 1, 0, 1]]"
411868.a.411868.1,"[[0, 4, -60, -6, 6, 1], [1, 1, 1]]"
411868.b.823736.1,"[[-4, 1, 6, -2, -3], [1, 0, 1, 1]]"
411880.a.823760.1,"[[-3, 26, 4, -10, -2, 1], [0, 0, 0, 1]]"
411885.a.411885.1,"[[-1, -2, -1, 0, -1, -1, -1], [1, 1, 0, 1]]"
411904.a.411904.1,"[[-1, -3, -5, -4, -1, 1], []]"
411904.b.411904.1,"[[137, 203, 81, -1, -2, 1], []]"
411904.c.411904.1,"[[-1, -1, 1, 3, 0, -1, -1], []]"
411904.d.411904.1,"[[1, 1, 3, 3, 2, 1], []]"
411904.e.411904.1,"[[1, -1, -4, 5, 9, 1], []]"
411904.f.411904.1,"[[-1, -1, 4, 5, -9, 1], []]"
411904.g.411904.1,"[[-1, -2, -1, 2, 2, 1], []]"
411904.h.411904.1,"[[1, 5, 7, 1, -2, 1], []]"
411904.i.411904.1,"[[-1, 6, -10, -1, 4, 1], []]"
411904.j.411904.1,"[[-1, 0, 3, 0, -2, 1], []]"
411904.k.411904.1,"[[-137, 203, -81, -1, 2, 1], []]"
411904.l.411904.1,"[[-1, 2, 0, -3, 0, 1], []]"
411904.m.411904.1,"[[-1, 5, -7, 1, 2, 1], []]"
411904.n.411904.1,"[[1, -1, -1, 3, 0, -1, 1], []]"
411904.o.411904.1,"[[-1, -2, -2, 1, 2, 1], []]"
411904.p.411904.1,"[[1, 9, 5, -4, -1, 1], []]"
411904.q.411904.1,"[[-1, -4, -5, -2, 0, 1], []]"
411904.r.411904.1,"[[-1, 1, 1, -1, 0, 1], []]"
411904.s.411904.1,"[[-1, 3, -2, 1, -3, 1], []]"
411904.t.411904.1,"[[1, -1, -1, 0, 2, 0, -1], []]"
411904.u.411904.1,"[[-1, 0, 1, -1, -1, 1], []]"
411904.v.411904.1,"[[-1, 3, -3, 3, -2, 1], []]"
411952.a.823904.1,"[[-1, 3, -5, 5, -4, 2], [0, 1]]"
412000.a.824000.1,"[[0, -1, -1, 4, 2, -4, 1], [0, 1]]"
412010.a.824020.1,"[[0, -3, 5, -2, -1, 1], [1, 1]]"
412013.a.412013.1,"[[-182, 167, 5, -27, 0, 1], [0, 0, 1]]"
412022.a.824044.1,"[[-1, 2, 0, -2, -1, 1], [1, 1]]"
412024.a.824048.1,"[[-37, -2, 24, 0, -5], [0, 1, 0, 1]]"
412064.a.824128.1,"[[0, 4, 14, 10, -9, 2], [1]]"
