labels,data
21887.a.21887.1,"[[1, -4, 4, 0, -2], [1, 0, 0, 1]]"
21888.a.700416.1,"[[0, 0, -2, 0, 2, 4], [1]]"
21890.a.43780.1,"[[0, 2, 2, -4, -1, 1], [0, 1, 1]]"
21894.a.394092.1,"[[2, 1, 0, 4, 4, 1], [1, 1]]"
21895.a.21895.1,"[[5, 31, 50, 13, 1, -7, 1], [1, 0, 0, 1]]"
21906.a.131436.1,"[[0, 0, 0, -2, 1, 3, 1], [1, 1]]"
21912.a.43824.1,"[[-1, 1, -2, 4, -2, -2], [1, 1]]"
21920.a.219200.1,"[[1, -2, 1, -1, 0, 1], [0, 1, 0, 1]]"
21936.a.350976.1,"[[0, 0, -3, -1, 5, 0, -3], [1, 1]]"
21936.b.350976.1,"[[-2, -1, -4, 0, 3, 1], []]"
21937.a.21937.1,"[[-1, 1, -1, -3, 0, 1], [0, 0, 0, 1]]"
21938.a.307132.1,"[[0, -7, 0, 17, 8, 1], [0, 1, 1]]"
21951.a.65853.1,"[[0, 0, -2, -3, 0, -1], [1, 1, 1]]"
21968.a.21968.1,"[[1, 2, 2, 3, 1, 1], [1, 0, 1]]"
21971.a.21971.1,"[[0, 0, -2, -1, 2, 1, -1], [1, 1]]"
21979.a.681349.1,"[[5, 0, -10, 0, 4, -1], [1, 1]]"
21979.b.681349.1,"[[-1, 5, -3, -23, 11, 31], [1, 0, 1]]"
21984.a.527616.1,"[[0, 3, -2, 4, -1, 1], []]"
21987.a.65961.1,"[[195, -195, 47, 13, -7], [1, 0, 0, 1]]"
21989.a.21989.1,"[[-16, 33, -17, -8, 8, 0, -1], [0, 0, 1]]"
21989.b.21989.1,"[[-1, 0, 7, 5, -19, -33, -16], [1, 1]]"
21992.a.43984.1,"[[0, -3, 5, 0, -4, -1], [1, 1, 1, 1]]"
21992.b.175936.1,"[[1, 1, -3, 0, 3, -2, 1], [0, 1]]"
21993.a.21993.1,"[[0, 2, 3, 4, 2, 1], [1, 1, 1]]"
22004.a.352064.1,"[[0, -2, -1, 0, -2, -1], [1, 1, 0, 1]]"
22007.a.22007.1,"[[1, 6, 11, 6, 0, 1], [1, 1, 0, 1]]"
22014.a.132084.1,"[[2, 2, 3, 0, 1], [1, 0, 0, 1]]"
22014.b.528336.1,"[[2, 4, 8, 8, 7, 3, 1], [1, 1, 1]]"
22020.a.22020.1,"[[-23, 24, -48, 27, -26, 7, -4], [1, 0, 0, 1]]"
22020.a.88080.1,"[[2, -1, -6, 0, 4, 0, -1], [1, 0, 0, 1]]"
22020.b.660600.1,"[[0, 1, 0, -5, 0, 2], [1, 1, 0, 1]]"
22021.a.22021.1,"[[3, 5, -3, -6, 0, 1], [1, 1, 1]]"
22022.a.616616.1,"[[234, 221, 36, -12, 0, 1], [0, 1, 1]]"
22032.a.22032.1,"[[-1, 0, 1, 2, 0, -2, -1], [1]]"
22032.b.22032.1,"[[-1, 0, 1, 3, 2, 1], [1, 0, 1]]"
22032.c.44064.1,"[[0, 2, 7, 2, -12, 0, 3], [1, 1]]"
22032.d.264384.1,"[[0, -2, -1, 2], [0, 1, 0, 1]]"
22032.d.594864.1,"[[2, 12, 16, 3, -2, 3], [1, 0, 1]]"
22034.a.88136.1,"[[1, -1, -3, 0, 3, 1], [0, 1, 1]]"
22035.a.198315.1,"[[2, -19, 42, 15, 0, 1], [0, 0, 1]]"
22038.a.22038.1,"[[0, -1, 3, 1, 1, 1], [1, 0, 0, 1]]"
22038.b.88152.1,"[[-4, 3, -7, 3, -4, 1, -1], [1, 0, 0, 1]]"
22040.a.440800.1,"[[7, 9, -4, -8, 0, 2], [0, 1]]"
22040.b.837520.1,"[[0, 1, 1, -3, 0, -2], [1, 1]]"
22040.c.837520.1,"[[-2, 1, 15, -26, 10, 2], [0, 1]]"
22048.a.573248.1,"[[-2, 2], [0, 0, 0, 1]]"
22054.a.176432.1,"[[-7, 11, 0, -5, -1, 1], [0, 1, 0, 1]]"
22054.b.176432.1,"[[14, 13, 0, -5, -2], [0, 0, 1, 1]]"
22073.a.22073.1,"[[-1, 3, -1, -3, 1, 0, 1], [0, 0, 1]]"
22077.a.66231.1,"[[-3, -12, -18, -9], [1, 0, 1, 1]]"
22095.a.66285.1,"[[0, 1, 0, 0, 2, -1, 1], [1]]"
22098.a.640842.1,"[[-5, 10, -17, 15, -12, 5, -2], [1, 0, 0, 1]]"
22100.a.442000.1,"[[-1, 2, 5, -8, -8, 2], [0, 1, 1]]"
22102.a.44204.1,"[[0, -2, -3, -1, -1], [0, 1, 0, 1]]"
22104.a.44208.1,"[[0, -1, 16, 24, 1, -6, 1], [0, 1]]"
