cond,disc,data
28224,7527006735469186646016,"[[-630,1092,147,-532,0,56,7],[]]"
28224,49563846752342114304,"[[27,-27,11,-45,-36,-12,-4],[0,1]]"
28224,488300779602597658733568,"[[-112,-84,315,-140,-163,63,35],[0,0,1]]"
28224,16003008,"[[-1,4,16,-68,16,-1],[0,0,1]]"
28224,1438916737499136,"[[-4,28,-39,-68,84,108,27],[]]"
28224,17183098999406592,"[[0,-16,-20,-3,-26,7],[0,0,1]]"
28224,1214314245432381800448,"[[28,12,9,-68,-66,-36,-14],[]]"
28224,107106866528256,"[[-6,-19,41,-16,3,-4],[1,1]]"
28224,56448,"[[-1,-4,-4,1,1,-1],[0,0,0,1]]"
28224,370355328,"[[47,-62,-1,11,4,1],[0,0,0,1]]"
28224,16003008,"[[0,9,-34,13,33,12,1],[0,1,0,1]]"
28224,1438916737499136,"[[0,8,18,-184,-103,-18,-1],[]]"
28224,17183098999406592,"[[5,-13,9,1,-22,12,8],[]]"
28224,1214314245432381800448,"[[8,-72,69,-104,72,-48,5],[]]"
28224,231211008,"[[0,-4,3,2,3],[1,1,1,1]]"
28224,99232998953939472384,"[[-84,-56,28,-28,-9,17,-2],[0,0,1,1]]"
28224,3675296257553313792,"[[70,-49,-7,-28,7,7],[]]"
28224,725730523693056,"[[9,-36,6,24,-54,24,-3],[]]"
28224,438939648,"[[2,-2,-5,-1,2,1,-1],[1,1,1,1]]"
28224,395136,"[[-1,4,-5,3,-2,-1],[0,0,1,1]]"
28224,1828422898924853919744,"[[17,58,-237,62,69,4,-1],[1,1,1,1]]"
28224,537925110912,"[[7,-40,-9,25,2,-3],[0,0,1,1]]"
28224,3572387962341821005824,"[[133,91,-16,49,10,-14,-2],[0,1,0,1]]"
28224,15054013470938373292032,"[[105,-63,54,350,87,-77,-9],[0,1,0,1]]"
28224,37038518393560000188383232,"[[952,1624,-203,-812,77,84,-9],[0,0,0,1]]"
28224,9952875753504768,"[[155,-122,-48,26,12,-2,-1],[1,1,1,1]]"
28224,1024192512,"[[-7,22,-7,-20,4,6,1],[1,1]]"
28224,2519897651712,"[[27,0,9,-9,2,-2],[0,0,1,1]]"
28224,10200653955072,"[[12,22,-1,-18,-11,-4],[]]"
28224,570737707208977416192,"[[0,-126,105,152,-6,-18,1],[]]"
28224,19032517152899371892736,"[[216,-216,90,36,-123,36,12],[]]"
28224,2057695466308888899354624,"[[0,-63,-58,434,-340,119,-9],[0,1,0,1]]"
28224,2661547114441973069512704,"[[378,-684,-636,160,106,-4],[]]"
28224,2580375195353088,"[[8,-24,33,-16,-3,-6,1],[0,0,0,1]]"
28224,37755832762368,"[[0,-9,6,-13,-8,4],[]]"
28224,487690911921733632,"[[-24,48,-72,12,39,-9,-7],[0,0,0,1]]"
28224,201334644384428238807056960389644288,"[[-504,-2352,672,0,1050,-84,126],[]]"
28224,1024192512,"[[-27,-54,-12,20,2,-3],[0,0,1,1]]"
28224,13332791808,"[[2,-3,-16,-4,10,3],[1,0,1]]"
28224,82301184,"[[1,4,10,10,7,3,1],[0,0,1]]"
28224,32514048,"[[-11,5,9,-1,-3],[0,1,0,1]]"
28224,2519897651712,"[[-7,13,-7,9,-3,0,-1],[1,1]]"
28224,967640698257408,"[[0,-3,-42,-369,66,-3],[]]"
28224,47561475600748118016,"[[6,-6,-24,-6,-24,-6,-30],[]]"
28224,604093324197888,"[[0,9,-3,7,-21,4,4],[]]"
28224,944961619392,"[[-10,13,-24,26,-21,13,-7],[1,1,1,1]]"
28224,331838373888,"[[-6,-10,11,12,-5,-2],[]]"
28224,3090485687255859375000000,"[[-34,-113,71,200,-5,50,-5],[1,1]]"
28226,58049284572684877824,"[[-4,-18,-86,42,11,18,-12],[1,0,1]]"
28226,28226,"[[0,-2,-2,1,2,-1],[1,1]]"
28230,1355040,"[[-288,168,55,-31,-6,1],[0,1,1,1]]"
28235,118426173440,"[[2,2,-4,-14,8,10,2],[]]"
28236,59465016,"[[0,-5,-5,-1,1],[1,0,1,1]]"
28240,240126301440,"[[5,-6,-23,3,15,-1],[0,0,0,1]]"
28240,1189439013281799654604800,"[[156,-720,900,-84,-225,126,51],[]]"
28240,2298813642684354853840185040,"[[-495,418,-267,-22,-94,44,-14],[0,1,0,1]]"
