cond,disc,data
8757,8757,"[[0,1,2,-1,-2,1],[1]]"
8757,57454677,"[[0,0,4,6,-1,1],[1]]"
8760,1401600,"[[-12,12,7,-7,-2,1],[0,0,0,1]]"
8760,25664062500000,"[[3,-17,21,12,-4,-6],[0,1]]"
8762,20890235900878906250,"[[1,25,80,-38,-85,-25,-4],[1,0,0,1]]"
8762,4699734863281250,"[[-5,-7,13,35,10,4,-1],[0,1,1]]"
8764,17528,"[[-2,3,1,-3,-1],[1,0,1,1]]"
8764,61348,"[[-17,10,13,-5,-4],[0,1,1,1]]"
8764,2743132,"[[0,-1,-2,5,-4,-1],[0,1,1,1]]"
8768,71827456,"[[2,-1,3,0,1,-1],[1,1,1,1]]"
8768,8768,"[[-1,-4,-7,-3,0,1],[1,0,1]]"
8768,18387828736,"[[-4,-4,12,-1,-8,0,1],[0,0,1,1]]"
8768,8986639978718989966018347008,"[[-112,-392,-658,-392,-231,-98,35],[]]"
8768,1100596522606848,"[[3,0,9,27,2,-14,-4],[0,0,1,1]]"
8768,8978432,"[[-10,-24,-37,-24,-9,4],[1,1]]"
8768,8768,"[[-1,2,1,2,1],[0,0,1,1]]"
8768,18387828736,"[[-10,-17,-14,0,5,-1],[1,0,1]]"
8768,72128693705562390528,"[[48,-72,18,72,-27,-18,3],[]]"
8768,2244608,"[[0,1,-7,2,8,5,1],[1,0,1]]"
8775,53558349609375,"[[31,67,-52,-33,11,5],[1,1,1]]"
8775,1026675,"[[2,1,13,-3,-11,-3],[1,0,1]]"
8775,2221171875,"[[-10,36,-35,-7,12,3],[1,1]]"
8775,160675048828125,"[[0,15,-49,40,-33,10,-4],[0,1,0,1]]"
8780,17560,"[[0,-1,-7,7,1,-2],[0,1,1]]"
8780,280960,"[[2,6,3,-6,-3,2],[0,1,1]]"
8784,5280571718161661952,"[[0,-18,84,-20,-152,-162,-44],[]]"
8784,635100428402970624,"[[-139,85,-93,-4,-3,-5,-1],[1,1,1,1]]"
8784,1195053502464,"[[-7,-14,15,22,-11,-8,-1],[1,1,1,1]]"
8784,548683776,"[[0,-2,-3,2,3,-2,-3],[]]"
8784,140544,"[[0,-1,1,4,-1,-6,-3],[]]"
8784,46059783586435985616,"[[15,-38,-54,49,-52,11,-4],[0,0,1,1]]"
8784,1960186507416576,"[[4,0,-14,-4,-13,8],[1,1]]"
8784,84885733638144,"[[-18,-47,-16,5,-56,-48],[]]"
8784,96799333699584,"[[3,-36,38,-19,14,-1],[1,0,1]]"
8784,11384064,"[[0,1,12,14,11,4,1],[0,1]]"
8784,3484776013185024,"[[-3,15,-31,-21,7,6,-1],[0,1,0,1]]"
