labels,data
396800.a.793600.1,"[[-1, -3, -2, 0, -2, 0, 2], [0, 1]]"
396800.b.793600.1,"[[0, -1, -3, 0, -1, 1], []]"
396800.c.793600.1,"[[0, -1, 3, 0, 1, 1], []]"
396800.d.793600.1,"[[4, -2, -5, 0, 2, 1], []]"
396800.e.793600.1,"[[-4, -2, 5, 0, -2, 1], []]"
396821.a.396821.1,"[[1, 1, -2, -4, 0, 1], [1, 0, 0, 1]]"
396821.b.396821.1,"[[5, 17, 8, -19, -14, 0, 1], [0, 0, 1]]"
396837.a.396837.1,"[[0, 1, 4, 8, 4, 1], [0, 1]]"
396837.a.396837.2,"[[0, -1, 0, 112, -88, 23, -2], [0, 1]]"
396875.a.396875.1,"[[-2, 10, -15, 0, 5, 1], [1]]"
396885.a.396885.1,"[[0, 1, 0, -4, 1, 1], [0, 1]]"
396915.a.396915.1,"[[0, 1, 0, -1, 2, 1, -1], [1, 1]]"
396923.a.396923.1,"[[0, 1, 0, -4, -3], [0, 1, 0, 1]]"
396953.a.396953.1,"[[0, -2, -1, 1, 1], [1, 0, 1, 1]]"
396953.b.396953.1,"[[6, 4, -3, -2], [1, 0, 1, 1]]"
396992.a.793984.1,"[[0, 3, 8, -13, 1], [1, 1, 1, 1]]"
397009.a.397009.1,"[[-8, 0, 8, 0, -4, -1], [1, 1, 1, 1]]"
397022.a.794044.1,"[[0, 4, 19, 1, -5], [1, 0, 0, 1]]"
397027.a.397027.1,"[[75, -103, -16, 53, 0, -7, -1], [1]]"
397027.b.397027.1,"[[5, 51, 164, 132, -107, 13], [0, 0, 0, 1]]"
397045.a.397045.1,"[[0, -1, 0, 4, 3], [1, 1, 1, 1]]"
397047.a.397047.1,"[[-1, -2, 1, 1, -2, 2, 1], [1, 1, 0, 1]]"
397056.a.794112.1,"[[-4, -22, -39, -23, -2, 1], [0, 0, 0, 1]]"
397056.b.794112.1,"[[4, 6, -5, -9, -1, 0, -1], [0, 0, 0, 1]]"
397091.a.397091.1,"[[-2, 1, 1, -1, 4, -1, -4], [1, 1]]"
397168.a.397168.1,"[[0, -1, -3, -1, -2], [0, 1, 0, 1]]"
397183.a.397183.1,"[[-21, 3, 8, -5, -3], [1, 0, 1, 1]]"
397204.a.397204.1,"[[2, -1, -3, 0, 1, 1, -1], [1, 0, 0, 1]]"
397209.a.397209.1,"[[-1, 2, 0, 0, -3, 1], [0, 1]]"
397234.a.397234.1,"[[-1, -13, -61, -122, -89, 1], [0, 1]]"
397279.a.397279.1,"[[-30, -24, 21, 9, -7], [1, 1, 0, 1]]"
397303.a.397303.1,"[[0, -1, -1, 1, 2], [1, 0, 0, 1]]"
397307.a.397307.1,"[[0, 1, -6, 6, -3, 1], [0, 1]]"
397312.a.397312.1,"[[0, 1, 6, 9, 0, 1], []]"
397312.b.397312.1,"[[0, 1, -6, 9, 0, 1], []]"
397336.a.794672.1,"[[0, -1, 0, 4, -1, -4, 1], [1]]"
397357.a.397357.1,"[[1, -2, 5, -5, 5, -2, 1], [1, 0, 1]]"
397365.a.397365.1,"[[-1, 0, 5, -4, -3, 1], [1, 0, 0, 1]]"
397382.a.397382.1,"[[0, 0, 1, 0, 2, -3, 1], [1, 1]]"
397429.a.397429.1,"[[0, 1, 0, 4, -4, 1], [1]]"
397440.a.397440.1,"[[6, 6, 0, -1, 1, 1], [0, 0, 0, 1]]"
397461.a.397461.1,"[[6, 15, 1, -11, 2], [0, 0, 0, 1]]"
397512.a.795024.1,"[[-2, 5, -1, -7, 0, 2], [1, 1]]"
397523.a.397523.1,"[[0, -1, -1, 0, 0, -2], [1, 1, 0, 1]]"
397536.a.795072.1,"[[-1, -3, 1, 7, 1, -4, 1], [1]]"
397541.a.397541.1,"[[16, 25, 9, -4, -3], [0, 0, 0, 1]]"
397557.a.397557.1,"[[0, -1, 4, 0, 2], [0, 1, 0, 1]]"
397568.a.795136.1,"[[0, 1, 1, -1, 1, 2], [1]]"
397576.a.795152.1,"[[-16, 22, -1, -7, 0, 1], [0, 0, 1]]"
397649.a.397649.1,"[[-1, 1, 1, 1, 1, 1], [0, 0, 0, 1]]"
397657.a.397657.1,"[[0, 1, 6, -5, -1], [1, 1, 0, 1]]"
397662.a.397662.1,"[[0, 1, 0, -1, 2, -1], [1, 1]]"
397680.a.397680.1,"[[1, 6, 6, -9, -3, 1], [0, 1, 0, 1]]"
397684.a.795368.1,"[[20, 11, 14, 4, 3], [1, 0, 1, 1]]"
397716.a.397716.1,"[[0, 0, 0, -4, 2, -1], [1, 1, 1]]"
397717.a.397717.1,"[[0, 2, 4, -1, -4, -1, 1], [1]]"
397718.a.795436.1,"[[-2, 4, 0, -3, 0, 1], [1, 0, 0, 1]]"
397739.a.397739.1,"[[2, -2, -1, 1], [1, 0, 0, 1]]"
397746.a.795492.1,"[[-1, 2, -1, 1, -2], [1, 0, 0, 1]]"
397791.a.397791.1,"[[3, 3, 3, 1, 1, 1], [0, 0, 0, 1]]"
397802.a.397802.1,"[[-1, 1, -1, -2, 2, 0, -2], [1, 0, 1]]"
397804.a.397804.1,"[[0, 1, 0, -3, -2, -1], [1, 1, 1]]"
397808.a.397808.1,"[[0, 1, -1, -2, 1, 0, -1], [1, 1]]"
397824.a.397824.1,"[[0, -1, -2, 0, 1, 0, -1], [0, 1]]"
397825.a.397825.1,"[[1, 4, 5, -1, -3], [0, 1, 0, 1]]"
397831.a.397831.1,"[[-1, 2, 1, -5, -2], [1, 0, 1, 1]]"
397840.a.397840.1,"[[-1, 0, -3, 0, -1], [1, 1, 1, 1]]"
397846.a.795692.1,"[[0, 2, 0, -4, 1, 1], [0, 1]]"
397888.a.397888.1,"[[-1, -3, -1, -1], [1, 1, 1, 1]]"
397930.a.795860.1,"[[0, 2, -4, 0, 3, 1], [0, 1]]"
397952.a.397952.1,"[[7, -11, -26, 53, -13, -10, -1], [0, 1]]"
397998.a.397998.1,"[[-1, 1, 1, -1, -1, 1], [0, 1, 0, 1]]"
398024.a.796048.1,"[[0, 1, -3, 5, -3, 2], [0, 1]]"
398027.a.398027.1,"[[-2, 4, -8, 7, -6, 2, -1], [1, 1, 0, 1]]"
398050.a.398050.1,"[[-2, 4, -1, -2, 0, 1], [0, 1, 0, 1]]"
398053.a.398053.1,"[[-2, 1, 1, 0, 0, -1], [0, 1, 1]]"
398088.a.796176.1,"[[-4, 21, -33, 7, 12, 2], [0, 1]]"
398101.a.398101.1,"[[0, 1, 4, 4, 2, 1], [1]]"
398101.b.398101.1,"[[0, 2, 5, 8, 6, 4], [1, 1, 0, 1]]"
398203.a.398203.1,"[[0, -1, -2, 14, -17, 1], [1]]"
398209.a.398209.1,"[[7, 0, -27, 30, -11, 1], [0, 1]]"
