labels,data
16887.a.658593.1,"[[-1, 5, 10, 0, -9, -5, -1], [1, 0, 0, 1]]"
16891.a.16891.1,"[[3, 2, -3, 0, 1, -1], [1, 0, 0, 1]]"
16896.a.33792.1,"[[1, 0, -1, 3, -2, 1], []]"
16896.a.540672.1,"[[-36, 112, -45, -66, -12, 1], [0, 0, 0, 1]]"
16896.b.540672.1,"[[-1, -3, -2, 10, 7, -8, -4], [1]]"
16902.a.135216.1,"[[1, 3, 4, 5, 3, 1], [0, 1]]"
16916.a.33832.1,"[[-1, 3, -2, 3, -1, 1], [0, 1, 1]]"
16916.b.67664.1,"[[0, -2, 3, 1, 1, 1], [1, 0, 0, 1]]"
16928.b.135424.1,"[[1, 3, 4, 1, -3, -4, -1], [0, 1]]"
16929.a.16929.1,"[[-1, 1, -3, 0, 0, -1], [1, 1, 1]]"
16929.b.50787.1,"[[3, 4, 4, 2, 1], [0, 1, 1, 1]]"
16929.c.50787.1,"[[0, 1, 1, -4, 0, 1], [1, 1]]"
16936.a.541952.1,"[[116, 0, -48, -5, 5, 1], [0, 0, 1]]"
16936.b.541952.1,"[[0, -1, -1, 10, -12, 4], [0, 1]]"
16939.a.16939.1,"[[-117, -166, -72, -8], [0, 1, 1, 1]]"
16947.a.16947.1,"[[3, 0, 1, 1], [0, 1, 0, 1]]"
16947.b.118629.1,"[[0, -1, 1, 1, -1, 1], [1, 0, 1]]"
16949.a.16949.1,"[[0, 0, 0, 4, -4, 1], [1]]"
16949.b.288133.1,"[[4, 31, 56, -17, -4, 1], [0, 0, 1]]"
16949.c.288133.1,"[[0, 1, -9, -53, -76, 1], [1, 0, 1]]"
16953.a.50859.1,"[[-16, -6, -20, -5, -8, -1, -1], [1]]"
16956.a.915624.1,"[[0, -1, 3, -3, 1], [1, 0, 1, 1]]"
16957.a.525667.1,"[[0, -1, -2, 1, 0, 0, -1], [1, 1, 1]]"
16962.a.135696.1,"[[1, 3, 2, 0, 1, 1], [0, 1]]"
16964.a.33928.1,"[[0, 0, -3, 4, -4, 1], [1, 1, 0, 1]]"
16967.a.322373.1,"[[0, 0, -3, -3, 8, -1], [1, 1, 0, 1]]"
16972.a.67888.1,"[[0, 2, 1, 2, 1, 1], [1, 0, 0, 1]]"
16972.b.67888.1,"[[76, 54, 2, 1, 4, 1], [0, 1, 1]]"
16972.c.135776.1,"[[0, -1, 3, 1, -1], [1, 0, 0, 1]]"
16976.a.67904.1,"[[0, 0, 0, 2, -2, 2], [1]]"
16978.a.33956.1,"[[0, -1, 2, 0, -2], [1, 0, 0, 1]]"
16983.a.16983.1,"[[3, 0, -7, 0, 4, 0, -1], [0, 1, 1]]"
16984.a.543488.1,"[[0, -1, 0, -1, -3], [0, 1, 0, 1]]"
16989.a.16989.1,"[[0, -1, 3, 0, -2], [0, 1, 0, 1]]"
17003.a.119021.1,"[[3, -4, -12, 0, 4, -1], [0, 1, 1]]"
17007.a.51021.1,"[[-1, 4, -2, -7, 4, 3], [0, 1]]"
17015.a.697615.1,"[[1, -5, 4, 0, 0, -1], [1, 0, 0, 1]]"
17022.a.408528.1,"[[0, 4, -6, 9, -5, 3], [0, 1]]"
17024.a.953344.1,"[[0, 0, -2, -2, 0, 2, 1], [1, 1]]"
17025.a.17025.1,"[[0, 1, -4, 4, -3, 1], [1, 1, 1]]"
17031.a.51093.1,"[[0, 1, 0, -2, 0, 1], [1, 1, 1]]"
17033.a.17033.1,"[[0, 0, -3, -1, 1], [1, 1, 1, 1]]"
17034.a.17034.1,"[[-1, 2, -3, 1, 0, -1], [1, 0, 0, 1]]"
17034.a.459918.1,"[[-49, -2, 39, 0, -11, 0, 1], [0, 1, 1]]"
17037.a.17037.1,"[[-1, 0, 1, 0, -2, 1], [1, 0, 1]]"
17037.b.17037.1,"[[-1, 2, -4, 2, -1], [1, 1, 0, 1]]"
17037.c.153333.1,"[[9, -5, -18, 0, 10, 4], [1, 1, 0, 1]]"
17045.a.17045.1,"[[0, 0, -2, -3, 5, 1], [1, 1]]"
17055.a.153495.1,"[[0, -1, -1, 0, -3, 1], [1, 1, 1]]"
17061.a.17061.1,"[[-1, -6, -17, -20, -8, 1], [1]]"
17061.b.187671.1,"[[-1, -1, 1, 0, -1, 0, -1], [1, 1, 1]]"
17066.a.17066.1,"[[-1, 3, -1, -3, 1, 1], [0, 1]]"
17072.a.17072.1,"[[-6, -30, -53, -31, 0, 1], [1, 0, 1]]"
17072.b.17072.1,"[[0, -1, 0, 0, 1, 1], [1, 0, 1]]"
17081.a.324539.1,"[[-1, 0, -4, 0, -4, 1], [0, 1, 1]]"
17088.a.17088.1,"[[-2, 2, 4, -2, -3], [0, 0, 0, 1]]"
17088.b.102528.1,"[[3, 4, 5, 3, 2], [0, 0, 1, 1]]"
17088.c.102528.1,"[[0, -1, 1, -1, 0, 0, -1], [1]]"
