cond,disc,data
34848,3754897286823936,"[[0,-12,-51,-18,21,6],[]]"
34848,203233536,"[[-2,5,-4,8,-2,3],[1,0,1]]"
34848,836352,"[[-1,-2,-2,-1,2,1],[1,1,1,1]]"
34848,5645376,"[[1,0,-5,-1,4,-2],[0,0,0,1]]"
34848,13381632,"[[4,-4,4,-2,1],[0,0,0,1]]"
34848,10667321837568,"[[0,24,27,-15,-13,4,-1],[0,0,1,1]]"
34850,43562500,"[[0,-1,-20,22,10,1],[0,1,1]]"
34850,43562500,"[[12,-8,-19,9,7,-2,-1],[0,1,1]]"
34852,139408,"[[0,-2,2,2,-2,-1],[0,1,1]]"
34853,34853,"[[-2,2,-4,3,-2,1],[1]]"
34855,871375,"[[-1,1,5,-5,-1,1],[0,0,0,1]]"
34856,17846272,"[[2,-4,-6,8,4,-4],[1,1]]"
34856,299410760138752,"[[-12,-8,44,23,-40,-16],[]]"
34856,17846272,"[[1,-1,0,1,0,-2,1],[1,1]]"
34857,228696777,"[[-2,2,1,3,-2,-1,-2],[1,0,0,1]]"
34857,228696777,"[[5,-9,14,-11,7,-1],[1,1,1]]"
34858,557728,"[[-1,-1,4,0,-1,-1],[0,0,1,1]]"
34860,4997529600,"[[-1,-2,5,1,-2,-1,1],[1,1,1]]"
34864,278912,"[[1,3,0,-3],[0,1,0,1]]"
34864,285605888,"[[-8,8,5,-6,-2,1],[0,0,0,1]]"
34865,34865,"[[1,1,1,-1,-1],[0,0,0,1]]"
34866,29154202820875911168,"[[-56,60,-58,-19,58,17,-2],[]]"
34866,748143196105957031250,"[[-9,155,-85,-8,130,20,-14],[1,0,0,1]]"
34866,278928,"[[1,1,1,0,-3,1],[0,1,1]]"
34866,627588,"[[0,-3,0,4,4,3,1],[0,1,1]]"
34866,1142489088,"[[0,-4,-5,3,8,-3],[0,1,0,1]]"
34866,341530618171392,"[[21,-171,242,-56,-34,-3],[0,1,1]]"
34866,1094132024327394,"[[42,-135,83,142,-16,-18,3],[0,1,1]]"
34869,4499251677,"[[71,36,-46,-13,7,1],[0,1]]"
34870,239731250,"[[-1,5,-10,7,4,1],[0,1]]"
34870,2789600,"[[-1,-1,2,0,1,-1],[0,0,1,1]]"
34870,6974000,"[[0,4,5,-2,-3],[0,1,1,1]]"
34872,1714028544,"[[-2,-6,1,10,5,-4,-4],[]]"
34872,36565942272,"[[-3,-15,-17,10,9,-5],[0,1,0,1]]"
34874,6713663488,"[[-43,32,47,-25,-20,5,3],[1,0,1]]"
34875,15889921875,"[[-4,7,-1,-5,0,2,1],[1,1,1]]"
34875,143009296875,"[[-300,554,-249,-40,24,5],[1,0,0,1]]"
34875,8776581120000,"[[-23,21,1,11,-9,-1],[]]"
34875,3648796875,"[[28,-3,22,3,4],[0,1,1,1]]"
34880,139520,"[[0,2,6,2,-4],[0,1,0,1]]"
34880,38350965576826880,"[[10,20,4,32,26,-4],[]]"
34880,19635694375335362560,"[[160,400,26,-312,52,40,-6],[]]"
34880,69760,"[[3,13,12,-9,-8,6,-1],[0,1]]"
34880,8937443044528922502700728320,"[[595,-140,861,-224,-91,28,7],[]]"
34880,3954967327300648960000,"[[357,205,89,-54,-30,8],[0,1]]"
34884,69768,"[[3,-9,-22,-1,10,0,-1],[0,1,1]]"
34884,391696528896,"[[2,-5,-10,10,17,-4],[1,1,0,1]]"
34884,361395130230936,"[[47,-14,11,-5,-5,0,-1],[1,1,0,1]]"
34884,9719664001155072,"[[18,19,42,46,1,-4,4],[1,0,1,1]]"
34884,540438251495361328125000,"[[21,185,602,-373,26,-23,11],[1,0,1,1]]"
34884,725866272,"[[84,-30,23,-4,-3,1],[1,0,0,1]]"
34884,10046592,"[[1,3,1,-3],[0,1,1,1]]"
34884,23129288334779904,"[[-7,-14,29,31,-53,-12,-1],[1,1,0,1]]"
34884,209304,"[[8,10,-3,-3,1,-1],[1,1,0,1]]"
34884,512560406310912,"[[-7,0,-18,4,-18,9,-4],[1,0,0,1]]"
34884,17991321417792,"[[-4,5,-24,19,-6,3],[1,1,1]]"
34884,96258173765625000000,"[[-17,71,-28,20,61,19],[1,1,1]]"
34884,39797435400192,"[[0,17,26,-21,10,1],[]]"
34884,7132361988672,"[[0,-4,26,-15,-17,9,-1],[0,1,1]]"
34884,155458732032,"[[0,-32,21,-14,10,-2,1],[0,0,1,1]]"
34884,11930328,"[[-1,7,-11,-8,6,5,1],[0,1,1]]"
34887,104661,"[[0,1,-3,3,-2,1],[1,0,1]]"
34888,3295189029486592,"[[0,-2,75,98,105,138,62],[]]"
34888,3295189029486592,"[[0,14,-51,-82,5,20,-4],[]]"
34888,2680514816,"[[0,-4,33,-69,4,-1],[0,0,1]]"
34888,69776,"[[1,-2,2,-2,-2],[1,1,1,1]]"
34888,1170647023616,"[[12,-20,-20,29,12,-4,-3],[0,0,1]]"
34888,125038592,"[[-8,4,-3,-1,1,-1],[0,0,1,1]]"
34890,556259294700,"[[68,107,18,-12,8,-1],[1,1]]"
34893,13518263122677,"[[-7,-5,-6,-2,-7,-6,-3],[1,1,1]]"
34896,10649414062500000000000,"[[-49,22,-62,139,-87,-3,1],[1,1,1,1]]"
34896,1186890568704,"[[-4,10,-14,9,12,2],[1,1]]"
34896,2398034860179456,"[[0,-16,-8,55,-50,-1],[]]"
34896,46368533583945216,"[[27,-105,67,89,7,-4],[0,1]]"
34896,285868032,"[[-2,-1,1,6,3,1],[1,1,1,1]]"
34900,178688000,"[[0,2,0,-6,8,-4],[1,0,0,1]]"
34902,4006444416912,"[[-34,-41,-57,-5,26,3,-3],[1,1,1]]"
34904,5325927734375000000000,"[[-685,295,-134,70,7,5,1],[0,1,0,1]]"
34905,1636171875,"[[10,-8,-16,7,5,-2],[1,1,1,1]]"
34905,104715,"[[-6,9,-1,-7,0,1],[1,1,1,1]]"
34906,35174131695616,"[[1,-2,-59,-134,22,-1],[1,1]]"
34911,687153213,"[[2,0,-8,1,5,-2,-1],[1,0,1,1]]"
34911,76350357,"[[2,-3,9,8,-6],[1,0,0,1]]"
34911,2827791,"[[1,0,2,0,0,1],[0,1,1,1]]"
34911,687153213,"[[2,3,-11,-9,14,3],[1,0,1]]"
34911,104733,"[[0,-1,2,-1],[1,0,1,1]]"
34911,687153213,"[[0,9,-16,3,3,1],[0,1]]"
34911,942597,"[[1,-1,1,1,-1,1],[1,1]]"
34911,18553136751,"[[39,59,32,-1,6,-1],[0,0,1,1]]"
34911,166978230759,"[[-4,-6,-2,1,-1,1,2],[1,0,1,1]]"
34911,2827791,"[[1,2,0,-1,0,-1,-1],[1,0,1,1]]"
34911,5271384489984,"[[0,3,-3,-9,-5,1,7],[]]"
34911,76350357,"[[0,-3,17,-17,-8],[0,1,1,1]]"
34911,18553136751,"[[-7,9,-23,24,-22,16,-5],[1,0,1]]"
34911,687153213,"[[0,9,-9,3,5,1],[0,0,1]]"
34911,34911,"[[-1,-8,36,-30,-12,-1],[1,1]]"
34912,4468736,"[[4,-4,-2,1,1,-1],[0,0,1,1]]"
34912,571998208,"[[0,-1,-3,5,15,-16,-4],[]]"
34912,17874944,"[[0,-2,-1,0,1,2,1],[]]"
34912,38386149948915712,"[[-5,-9,-5,-7,14,-4,-8],[]]"
34912,558592,"[[-2,2,-1],[0,1,0,1]]"
34920,2965918187520,"[[0,-16,24,-1,-6,-2],[0,0,0,1]]"
34920,3374555804467200,"[[0,-15,-13,43,49,8],[]]"
34920,20365344000,"[[0,4,-20,29,10,1],[0,0,1]]"
34920,60127659892800000,"[[23,39,37,21,-1,-6,-6],[1,0,1]]"
34920,349200000000,"[[3,30,92,93,-20,1],[1,0,1]]"
34920,146465095680,"[[4,-2,-2,2,-4,-2,-1],[0,1,0,1]]"
34920,724101120,"[[0,-4,8,6,0,-2],[0,0,1,1]]"
34920,55496540160,"[[8,16,5,-6,-11,0,3],[]]"
