cond,disc,data
22581,14300969510482477056,"[[6,-6,-28,-30,-68,-78,-18],[]]"
22581,1699671870000000000000000000000,"[[-185,-560,-185,-140,-55,210,130],[]]"
22587,22587,"[[-1,1,-2,0,0,-1],[1,0,0,1]]"
22587,10231568400384,"[[0,-9,2,13,-22,-1],[]]"
22588,90352,"[[1,0,-2,2,-3,1,-1],[0,0,0,1]]"
22588,185040896,"[[4,-6,12,-4,-9,-2],[0,1,1]]"
22588,180704,"[[0,-2,3,-3,1,-1],[1,0,0,1]]"
22590,66824566535021962199040,"[[0,-144,264,87,135,24,12],[]]"
22590,288126052560,"[[-7,0,9,0,-3,0,1],[1,0,0,1]]"
22590,2033100,"[[1,1,-3,-2],[0,1,0,1]]"
22590,164681100,"[[0,6,-6,-7,14,12,2],[0,1,0,1]]"
22592,22592,"[[1,-1,-1,-1],[1,1,1,1]]"
22592,22592,"[[0,-2,3,-3,1,-1],[1,1,1,1]]"
22592,7974976,"[[0,-1,1,-6,0,-1],[1,0,1]]"
22592,1445888,"[[-20,8,12,-4,-3],[0,0,1,1]]"
22592,361472,"[[24,-8,15,-4,3,-1],[0,0,1,1]]"
22592,22592,"[[2,2,3,1,-1],[0,0,0,1]]"
22592,47577560531271986184192,"[[75,216,108,60,-27,-72,24],[]]"
22592,203490645563108491264,"[[0,4,-56,33,59,31,65],[]]"
22592,6064493821952,"[[0,-1,6,23,-8,-16],[]]"
22592,185073664,"[[-5,-3,-4,4,7,1,-1],[0,1,0,1]]"
22592,23231230728160149504,"[[60,144,36,72,-7,9,-3],[0,0,1]]"
22592,12718165347694280704,"[[0,16,-84,-85,-22,15,4],[0,0,1,1]]"
22592,2561657736765374464,"[[-12,-62,-67,-30,51,-4],[0,1]]"
22592,708960898686528,"[[-6,18,-27,-3,-27,-9,-1],[0,0,0,1]]"
22592,88330677129586866003008,"[[-72,77,-147,119,-49,14,-14],[1]]"
22592,22592,"[[49,-18,27,-7,4,-1],[1,1,1,1]]"
22592,22592,"[[0,-2,1,1,-1,-1],[1,1,1,1]]"
22592,397442667115446272,"[[6,-8,-36,-72,-42,-16],[]]"
22594,26467876864,"[[40,28,-37,-20,8,2,-1],[0,0,1,1]]"
22596,17770217472,"[[20,60,4,-59,-8,16],[1]]"
22599,148272039,"[[-1,1,2,-2,1,0,-1],[1,1,0,1]]"
22599,12010035159,"[[-7,-9,4,4,-1,1,-1],[1,0,1,1]]"
22600,1130000,"[[0,-2,-6,-2,-2,-3,-1],[0,0,1,1]]"
22602,135612,"[[1,3,2,-2,-1,-1],[0,1,1,1]]"
22603,709306090342227,"[[5,-32,65,-38,-5,0,-1],[1,1,0,1]]"
22606,723392,"[[3,1,6,2,4,1,1],[0,0,1]]"
22606,1553472491094016,"[[16,-16,-36,31,29,-19,-13],[]]"
22608,16037846219443359375000000000000,"[[4826,-855,-1208,-255,-349,-30,30],[1,0,1]]"
22608,1766250000000000000000000,"[[170,-820,1005,230,-555,-220,-20],[]]"
22608,740818944,"[[-6,-12,-7,14,13,-4,-4],[]]"
22608,203472,"[[-1,-2,-2,-1,-1,1],[1,0,1]]"
22608,2306845080576,"[[-27,81,-70,0,13,3],[0,1,0,1]]"
22608,18206366367744,"[[-4,8,-33,0,-14,-8,-1],[]]"
22608,21359676672,"[[-10,7,10,-6,-1,-1],[0,1,0,1]]"
22608,288355635072,"[[1,3,14,10,1,-3],[0,1,0,1]]"
22608,277807104,"[[1,0,1,-1,0,2],[0,0,1,1]]"
22608,2306845080576,"[[-59,54,24,-23,-7,3,1],[0,0,1]]"
22608,72088908768,"[[2,6,3,1,-1,3,-1],[0,0,1]]"
22608,72088908768,"[[-2,-6,3,-13,5,-2],[0,0,1,1]]"
22608,288355635072,"[[-4,6,-7,-5,6,0,-1],[0,1]]"
22609,22609,"[[0,-3,6,-6,3,-1],[1,1,0,1]]"
22612,361792,"[[1,-3,1,3,-2,-1],[0,1,1]]"
22616,95228919808,"[[-4,4,1,8,-12,2,1],[]]"
22617,16965938997,"[[-3,-3,-3,-4,-4,-1,-2],[1,1,1]]"
22620,306998640,"[[-7,-6,5,-4,2,-1],[0,1,1,1]]"
22620,109933200,"[[0,-2,-3,17,-2,-1],[1,1,1]]"
22620,5994212386406400,"[[9,33,7,-13,-15,-9,10],[]]"
22620,12862184400,"[[0,-2,12,-8,-4,-2],[0,1,1,1]]"
22620,196794000,"[[0,1,-14,27,21,4],[0,1,1,1]]"
22620,745442100,"[[-1,2,6,-1,-6,-1],[1,0,0,1]]"
22620,3675750000,"[[-7,6,-7,-1,-1,-1],[0,1,1,1]]"
22624,94891933696,"[[-16,7,16,-4,-6,1,1],[1,0,1]]"
22624,10178059567427813376,"[[-510,-54,-72,48,-9,0,-3],[]]"
22624,81084416,"[[0,-2,4,4,-7,-2],[]]"
22624,81084416,"[[2,2,10,4,13,2,5],[]]"
22624,43091583123456,"[[0,-14,-32,0,17,2],[]]"
