labels,data
60325.a.60325.1,"[[1, -4, -1, 4, 1], [1, 1, 0, 1]]"
60336.a.724032.1,"[[0, -1, 0, 1, 1, 2], [1, 0, 1]]"
60336.b.965376.1,"[[-3, -6, -11, -10, -8, -3, -1], []]"
60345.a.181035.1,"[[4, 14, 9, -9, -6, 3], [1]]"
60356.a.965696.1,"[[5, -9, 3, -2, 1], [0, 1, 1, 1]]"
60363.a.543267.1,"[[1, 0, -4, 1, 3, -1, -1], [1, 1]]"
60366.a.241464.1,"[[-1, 1, 6, -9, -18, 13, 19], [1, 1]]"
60372.a.724464.1,"[[-1, 1, 0, -8, 1, 8, -4], [1, 1, 1]]"
60374.a.482992.1,"[[1, 1, -1, 11, -7, 1], [0, 1, 1]]"
60376.a.966016.1,"[[0, 1, 2, 0, 2, 2], [1, 1]]"
60383.a.60383.1,"[[-2, 1, 3, 0, -2], [1, 0, 0, 1]]"
60384.a.120768.1,"[[0, 1, 1, -1, -3, 0, 1], [1]]"
60389.a.60389.1,"[[0, 1, 6, 10, 1, 1], [0, 1]]"
60398.a.120796.1,"[[1, 0, 0, 6, -5, 1], [1, 1]]"
60402.a.241608.1,"[[3, -1, -5, 8, -7, 3, -1], [1, 0, 0, 1]]"
60405.a.543645.1,"[[2, 3, 1, 0, -2], [1, 0, 0, 1]]"
60407.a.60407.1,"[[0, 0, -2, 0, 1, 1], [1, 1]]"
60408.a.724896.1,"[[-1, 3, 1, -8, 0, 6], [0, 1]]"
60410.a.483280.1,"[[0, 1, 0, 1, 2], [1, 0, 0, 1]]"
60416.a.241664.1,"[[1, 0, 3, 1, 2, 1], []]"
60416.b.241664.1,"[[-1, 1, 2, -3, -1, 2], []]"
60416.c.241664.1,"[[1, 1, -2, -3, 1, 2], []]"
60416.d.483328.1,"[[1, 0, 4, 1, 4, 2], []]"
60416.e.483328.1,"[[1, 2, 1, 3, -4, 1], []]"
60416.f.483328.1,"[[-4, 2, 6, -1, -4, 0, 1], []]"
60418.a.60418.1,"[[0, 0, -2, -1, 2, -1], [1, 1]]"
60436.a.966976.1,"[[4, -1, 4, 0, 1], [1, 0, 1, 1]]"
60443.a.60443.1,"[[343, -9, -161, -46, 1, 1], [1]]"
60443.b.60443.1,"[[0, 0, -2, 3, 4, 1], [1]]"
60456.a.120912.1,"[[5, -12, -1, 12, 0, -4, -1], [1, 0, 1]]"
60456.b.483648.1,"[[-4, -4, 11, 0, -6, 2], [0, 1]]"
60475.a.60475.1,"[[-35, -68, -38, -1, 3], [1, 0, 1, 1]]"
60478.a.60478.1,"[[0, -1, 0, 0, -2, 1], [0, 1, 1]]"
60480.b.967680.1,"[[0, -2, -1, 11, 14, 4], [1]]"
60480.c.967680.1,"[[0, 0, -8, -5, 6, 4], [1]]"
60496.a.241984.1,"[[-8, 2, 3, -2, 0, 1], [0, 0, 0, 1]]"
60497.a.60497.1,"[[2, -1, -1, -1], [0, 1, 1, 1]]"
60502.a.121004.1,"[[0, 0, -2, 1, 7, 5, 1], [1, 1]]"
60503.a.60503.1,"[[-1, 1, 1, 2, 1], [0, 0, 1, 1]]"
60507.a.181521.1,"[[0, 1, -1, -3, -2], [1, 1, 0, 1]]"
60507.b.181521.1,"[[-8, 25, -7, -22, 1, 6, 1], [1, 1, 0, 1]]"
60507.c.181521.1,"[[1, 1, 2, 1, 1], [1, 1, 0, 1]]"
60535.a.60535.1,"[[-1, -1, 3, 0, -4, 0, 1], [1, 1, 0, 1]]"
60542.a.484336.1,"[[1, -4, 7, -7, 2, 1], [0, 1, 1]]"
60545.a.60545.1,"[[-1, -1, 3, 2, -5, -1, 3], [1]]"
60550.a.847700.1,"[[1, -3, 1, 2, -2, 1], [1, 1]]"
60560.a.302800.1,"[[1, -2, 1, -4, 3, 2], [0, 1, 0, 1]]"
60564.a.726768.1,"[[1, -2, -1], [0, 0, 0, 1]]"
60581.a.60581.1,"[[1, 0, 0, -6, 0, 1], [1, 1, 1, 1]]"
60592.a.242368.1,"[[0, 0, 0, -2, 0, 2], [1]]"
60596.a.969536.1,"[[0, 0, -2, -2, 0, 2], [1, 1, 0, 1]]"
60597.a.60597.1,"[[0, 1, 1, -2, 1, 1], [1, 1, 1]]"
60597.b.545373.1,"[[-1, 1, -6, 7, -13, 9, -7], [1, 1, 0, 1]]"
60602.a.484816.1,"[[3, -1, -1, -3, 0, 1], [1, 0, 0, 1]]"
60608.a.242432.1,"[[0, 2, 0, -2, -2], [0, 1, 0, 1]]"
