labels,torsion_primes
1636.a.6544.1,{3}
1637.a.1637.1,{}
1643.a.1643.1,{}
1647.a.1647.1,{}
1649.a.159953.1,"{2, 3}"
1655.a.1655.1,{2}
1655.a.206875.1,{2}
1656.a.804816.1,{2}
1660.a.6640.1,"{2, 5}"
1664.a.3328.1,{2}
1665.a.1665.1,{5}
1680.b.215040.1,{2}
1684.a.215552.1,"{2, 7}"
1689.a.1689.1,{2}
1689.a.45603.1,{2}
1695.a.1695.1,"{2, 3}"
1696.a.27136.1,{2}
1696.a.217088.1,{2}
1701.a.1701.1,{}
1702.a.39146.1,{2}
1706.a.3412.1,{}
1708.a.47824.1,"{2, 5}"
1712.a.109568.1,"{2, 3}"
1717.a.1717.1,{2}
1717.a.1717.2,{2}
1717.b.1717.1,{}
1718.a.3436.1,"{2, 5}"
1721.a.1721.1,{}
1728.a.27648.1,"{2, 3}"
1738.a.137302.1,{2}
1740.a.104400.1,"{2, 3}"
1743.a.597849.1,"{2, 3}"
1744.a.1744.1,"{2, 3}"
1746.a.10476.1,"{2, 3}"
1753.a.1753.1,{}
1757.a.1757.1,{}
1770.a.26550.1,"{2, 3}"
1776.a.7104.1,"{2, 5}"
1776.b.191808.1,"{2, 5}"
1777.a.1777.1,{}
1788.a.14304.1,"{2, 3}"
1791.a.5373.1,{5}
1795.a.224375.1,"{2, 3}"
1797.a.5391.1,{}
1798.a.3596.1,"{2, 3}"
1811.a.1811.1,{}
1811.b.1811.1,{7}
1813.a.1813.1,{}
1832.a.3664.1,{2}
1832.b.3664.1,{2}
1832.b.14656.1,{2}
1835.a.1835.1,{}
1835.b.1835.1,{5}
1844.a.3688.1,{}
1844.b.29504.1,{5}
1844.c.118016.1,{7}
1848.a.99792.1,{2}
1854.a.11124.1,{3}
1861.a.1861.1,{}
1863.a.1863.1,{}
1863.b.1863.1,{}
1870.a.226270.1,{3}
1872.b.29952.1,"{2, 5}"
1872.b.479232.1,"{2, 5}"
1876.a.7504.1,{}
1888.a.241664.1,{2}
1888.a.483328.1,{2}
1888.a.483328.2,{2}
1896.a.728064.1,"{2, 5}"
1899.a.5697.1,{2}
1900.a.3800.1,{3}
1904.a.487424.1,"{2, 5}"
1908.a.183168.1,"{2, 3}"
1911.a.5733.1,{2}
1915.a.1915.1,{}
1919.a.1919.1,{}
1922.a.3844.1,{2}
1923.a.1923.1,{5}
1923.b.17307.1,{}
1929.a.1929.1,{2}
1929.a.52083.1,{2}
1935.a.52245.2,{2}
1935.a.52245.1,{2}
1944.a.34992.1,"{2, 3}"
1947.a.578259.1,{2}
1952.a.15616.1,{}
1952.b.999424.1,{2}
1961.a.1961.1,{}
1973.a.1973.1,{}
1981.a.1981.1,{7}
1982.a.63424.1,{}
1985.a.1985.1,{2}
1987.a.1987.1,{}
1989.a.1989.1,{5}
1991.a.1991.1,{}
1995.a.341145.1,{2}
1996.a.31936.1,{5}
1996.b.510976.1,{17}
2001.a.2001.1,{}
2001.b.2001.1,{5}
2007.a.6021.1,{2}
2012.a.16096.1,{2}
2016.c.774144.1,{2}
2020.a.646400.1,{2}
2027.a.2027.1,{}
2031.a.6093.1,{3}
2036.a.8144.1,{}
2043.a.2043.1,{2}
2054.a.4108.1,{2}
2056.a.4112.1,{2}
2056.b.4112.1,"{2, 3}"
2056.c.8224.1,"{2, 5}"
2056.c.263168.1,"{2, 5}"
2059.a.2059.1,{3}
2060.a.4120.1,{}
2061.a.6183.1,{2}
2063.a.2063.1,{}
2069.a.2069.1,{}
2075.a.10375.1,{2}
2085.a.6255.1,{2}
2094.a.12564.1,{2}
2094.b.50256.1,"{2, 3}"
2101.a.2101.1,{}
2102.a.33632.1,{}
2102.b.67264.1,"{2, 5}"
2106.a.711828.1,"{2, 3}"
2112.a.33792.1,"{2, 3}"
2117.a.2117.1,{2}
2121.a.400869.1,{2}
2123.a.409739.1,{2}
2127.a.6381.1,{2}
2139.a.6417.1,{}
2145.a.70785.1,"{2, 3}"
2148.a.77328.1,{3}
2154.a.17232.1,{2}
2154.a.465264.1,{2}
2165.a.2165.1,{2}
2165.a.270625.1,{2}
2172.a.4344.1,{3}
2173.a.89093.1,{2}
2176.b.557056.1,"{2, 3}"
2188.a.140032.1,"{3, 5}"
2190.a.219000.1,{2}
2192.a.4384.1,"{2, 3}"
2207.a.2207.1,{}
2208.b.847872.1,"{2, 3}"
2214.a.816966.1,"{2, 3}"
2218.a.70976.1,{}
2223.a.6669.1,{2}
2225.a.11125.1,{2}
2230.a.8920.1,{3}
2234.a.2234.1,{}
2238.a.13428.1,{2}
2243.a.2243.1,{}
2251.a.2251.2,{2}
2251.a.2251.1,{2}
2261.a.2261.1,{5}
2272.a.36352.2,{2}
2272.a.36352.1,{2}
2288.a.805376.1,{2}
2290.a.4580.1,{2}
2295.a.11475.1,{2}
2298.a.20682.1,"{2, 3}"
2298.a.165456.1,"{2, 3}"
2299.a.2299.1,{}
2300.a.4600.1,"{2, 3}"
2301.a.6903.1,{2}
2304.a.13824.2,{2}
2304.a.13824.1,{2}
2305.a.2305.1,{}
2305.b.57625.1,{}
2309.a.2309.1,{}
2312.a.4624.1,{3}
2312.a.18496.1,{3}
2315.a.2315.1,{2}
2320.a.11600.1,"{2, 3}"
2320.b.185600.1,"{2, 3}"
2326.a.4652.1,{2}
2335.a.2335.1,{}
2336.a.37376.1,{}
2341.a.2341.1,{3}
2345.a.2345.1,{2}
2345.a.293125.1,{2}
2348.a.2348.1,{5}
2348.b.37568.1,{}
2348.c.601088.1,{11}
2349.a.2349.1,{}
2357.a.2357.1,{}
2363.a.2363.1,{2}
2371.a.2371.1,{2}
2386.a.2386.1,{}
2390.a.4780.1,{2}
2404.a.4808.1,{3}
2405.a.2405.1,{2}
2421.a.7263.1,{}
2430.a.77760.1,"{2, 3}"
2432.a.19456.1,{2}
2442.a.80586.1,{2}
2445.a.22005.1,{5}
2457.a.95823.1,{2}
2457.a.154791.1,{2}
2470.a.321100.1,{2}
2480.a.39680.1,"{2, 5}"
2488.a.9952.1,"{2, 5}"
2493.a.7479.1,{2}
2496.a.29952.1,"{2, 5}"
2505.a.2505.1,{}
2507.a.2507.1,{}
2511.a.2511.1,{}
2512.a.160768.1,{13}
2513.a.17591.1,{2}
2520.b.635040.1,"{2, 5}"
2528.a.20224.1,{2}
2528.a.161792.1,{2}
2528.a.161792.2,{2}
2528.b.40448.1,{2}
2534.a.17738.1,{2}
2540.a.2540.1,{5}
2542.a.5084.1,{}
2547.a.7641.1,{2}
2556.a.30672.1,{3}
2563.a.2563.1,{}
2564.a.5128.1,{}
2575.a.2575.1,"{2, 3}"
2575.b.2575.1,{}
2576.a.288512.1,{2}
2578.a.5156.1,{}
2588.a.82816.1,{}
2591.a.2591.1,{}
2592.a.5184.1,{2}
2600.a.338000.1,{2}
2602.a.41632.1,{}
2611.a.18277.1,{2}
2613.a.2613.1,{5}
2618.a.89012.1,{2}
2618.b.921536.1,"{2, 3}"
2634.a.2634.1,{3}
2646.a.18522.1,{2}
2650.a.5300.1,{2}
2652.a.827424.1,{2}
2663.a.2663.1,{}
2672.a.342016.1,{}
2673.a.8019.1,{3}
2675.a.13375.1,{2}
2675.b.13375.1,"{2, 3}"
2676.a.72252.1,"{2, 5}"
2677.a.2677.1,{5}
2690.a.26900.1,{2}
2693.a.2693.1,{}
2696.a.10784.1,{2}
2697.a.2697.1,{3}
2697.b.24273.1,{}
2714.a.5428.1,{}
2720.a.348160.1,{2}
2722.a.2722.1,{5}
2725.a.2725.1,{}
2735.a.13675.1,{}
2736.a.10944.1,"{2, 5}"
2739.a.2739.1,{2}
2739.a.73953.1,"{2, 3}"
2743.a.2743.1,{}
2745.a.502335.1,{2}
2758.a.5516.1,{2}
2768.a.354304.1,{3}
2780.a.5560.1,{}
2784.a.5568.1,{2}
2784.b.22272.1,"{2, 3}"
2788.a.11152.1,"{2, 3}"
2797.a.2797.1,{}
2799.a.680157.1,{2}
2802.a.2802.1,{}
2810.a.89920.1,{3}
2813.a.2813.1,{}
2815.a.2815.1,{2}
2816.a.180224.2,{2}
2816.a.180224.1,{2}
2816.a.720896.1,{2}
2824.a.11296.1,"{2, 3}"
2836.a.5672.1,{}
2837.a.2837.1,{2}
2837.a.2837.2,{2}
2837.b.2837.1,{2}
2837.b.2837.2,{2}
2848.a.45568.1,{}
2848.b.364544.1,"{2, 7}"
2859.a.77193.1,{3}
2862.a.8586.1,"{2, 3}"
2872.a.367616.1,{2}
2873.a.48841.1,{}
2875.a.2875.1,{2}
2875.a.2875.2,{2}
2886.a.225108.1,"{2, 3}"
2891.a.2891.1,{3}
2902.a.11608.1,{}
2907.a.8721.1,{}
2910.a.564540.1,{2}
2912.a.5824.1,{2}
2912.b.326144.1,{2}
2915.a.2915.1,{}
2917.a.2917.1,{}
2924.a.11696.1,{2}
2928.a.8784.1,{2}
2944.a.23552.1,"{2, 3}"
2949.a.2949.1,{}
2949.b.2949.1,{}
2950.a.472000.1,{2}
2952.a.283392.1,{2}
2955.a.2955.1,{2}
2955.a.369375.1,{2}
2964.a.5928.1,"{2, 3}"
2966.a.5932.1,{2}
2976.a.23808.1,{2}
2976.a.761856.1,{2}
2976.b.23808.1,{2}
2976.b.380928.1,{2}
2977.a.2977.1,{}
2977.b.2977.1,"{2, 3}"
2980.a.381440.1,{2}
2981.a.2981.1,{}
2985.a.134325.1,{3}
3003.a.99099.2,{2}
3003.a.99099.1,{2}
3003.b.819819.1,{2}
3008.a.24064.1,{}
3012.a.6024.1,{3}
3016.a.6032.1,{}
3021.a.172197.1,{2}
3026.a.3026.1,{3}
3026.b.24208.1,{2}
3030.a.90900.1,{2}
3031.a.3031.1,{}
3037.a.3037.1,{}
3040.a.778240.1,{2}
3044.a.97408.1,"{2, 3}"
3061.a.3061.1,{5}
3065.a.15325.1,{}
3071.a.3071.1,{2}
3075.a.9225.1,{}
3077.a.3077.1,{}
3080.a.67760.1,{2}
3088.a.12352.1,{5}
3092.a.98944.1,{}
3098.a.3098.1,{5}
3103.a.3103.1,{}
3103.b.3103.1,{}
3105.a.3105.1,{}
3105.b.27945.1,{2}
3109.a.3109.1,{5}
3112.a.99584.1,{2}
3114.a.3114.1,{2}
3114.a.84078.1,{2}
3116.a.12464.1,{}
3120.a.202800.1,{2}
3124.a.49984.1,{}
3135.a.59565.1,{2}
3136.a.12544.1,{2}
3136.a.200704.3,{2}
3136.a.200704.1,{2}
3136.a.200704.2,{2}
3138.a.301248.1,{2}
3142.a.3142.1,{}
3142.b.201088.1,{}
3145.a.53465.1,{2}
3145.a.581825.1,{2}
3145.b.267325.1,{2}
3152.a.50432.1,{2}
3153.a.9459.1,{}
3159.a.767637.1,{2}
3160.a.505600.1,"{2, 3}"
3161.a.3161.1,{}
3161.b.3161.1,{}
3161.c.3161.1,{}
3165.a.9495.1,{2}
3172.a.12688.1,{3}
3176.a.6352.1,{2}
3176.a.406528.1,{2}
3177.a.28593.1,{}
3179.a.54043.1,{2}
3183.a.85941.1,{}
3189.a.3189.1,{5}
3196.a.6392.1,{}
3200.a.3200.1,{2}
3200.a.6400.1,{2}
3200.b.6400.1,{2}
3200.c.409600.1,{2}
3209.a.3209.1,{3}
3211.a.3211.1,{2}
3211.b.3211.1,{5}
3211.c.3211.1,{}
3215.a.3215.1,"{2, 3}"
3219.a.280053.1,{2}
3222.a.6444.1,"{2, 5}"
3226.a.12904.1,{}
3227.a.22589.1,{}
3237.a.9711.1,"{2, 3}"
3239.a.132799.1,{2}
3239.b.132799.1,{2}
3245.a.16225.1,"{2, 3}"
3248.a.3248.1,{2}
3251.a.3251.1,{}
3274.a.13096.1,{3}
3275.a.3275.1,{2}
3280.a.3280.1,{2}
3285.a.3285.1,{2}
3285.b.49275.1,{2}
3298.a.3298.1,{}
3298.b.844288.1,{}
3304.a.6608.1,{2}
3312.c.211968.1,{2}
3313.a.3313.1,{5}
3317.a.3317.1,{}
3319.a.3319.1,{}
3320.a.33200.1,{2}
3320.a.132800.1,{2}
3320.b.33200.1,{2}
3321.a.29889.1,"{2, 3}"
3321.b.807003.1,{2}
3327.a.9981.1,{}
3328.a.6656.1,{2}
3328.b.13312.1,{2}
3330.a.49950.1,{2}
3333.a.109989.1,{2}
3336.a.20016.1,"{2, 3}"
3336.b.20016.1,{2}
3336.c.80064.1,{2}
3344.a.3344.1,{}
3344.b.13376.1,{}
3349.a.56933.1,{2}
3349.b.56933.1,{2}
3370.a.13480.1,{2}
3372.a.20232.1,{}
3381.a.165669.1,{3}
3391.a.3391.1,{}
3391.b.3391.1,{}
3392.a.3392.1,{2}
3392.a.868352.1,{2}
3392.b.27136.1,{3}
3392.c.868352.1,{2}
3397.a.268363.1,{2}
3400.a.6800.1,{}
3400.b.34000.1,"{2, 3}"
3402.a.95256.1,"{2, 3}"
3411.a.10233.1,{}
3412.a.13648.1,{}
3416.a.109312.1,"{2, 3}"
3417.a.686817.1,{2}
3423.a.3423.1,{2}
3424.a.6848.1,{2}
3426.a.3426.1,{2}
3426.b.20556.1,{2}
3428.a.6856.1,{3}
3429.a.3429.1,{2}
3429.a.30861.1,{2}
3431.a.3431.1,{2}
3434.a.6868.1,"{2, 5}"
3434.b.439552.1,{2}
3436.a.3436.1,{5}
3447.a.93069.1,{2}
3447.a.837621.1,{2}
3449.a.3449.1,{}
3454.a.55264.1,{}
3454.b.110528.1,"{2, 3}"
3456.a.110592.1,{2}
3456.a.248832.1,"{2, 3}"
3456.b.221184.1,{2}
3462.a.560844.1,{2}
3465.a.800415.1,{2}
3469.a.3469.1,{}
3483.a.282123.1,{5}
3489.a.10467.1,{2}
3490.a.34900.1,{2}
3492.a.670464.1,{}
3499.a.3499.1,{}
3504.a.14016.1,{2}
3513.a.3513.1,{2}
3513.a.94851.1,{2}
3515.a.333925.1,{2}
3515.b.333925.1,{2}
3520.a.56320.1,{2}
3520.b.56320.1,{2}
3521.a.24647.1,"{2, 3}"
3527.a.3527.1,{}
3528.a.148176.1,{2}
3528.b.338688.1,{}
3530.a.56480.1,{2}
3549.a.173901.1,{}
3550.a.284000.1,{}
3552.a.454656.1,{2}
3557.a.3557.1,{}
3561.a.10683.1,{2}
3561.b.10683.1,{2}
3564.b.705672.1,{3}
3565.a.17825.1,{}
3565.b.17825.1,{}
3566.a.3566.1,{}
3566.b.3566.1,{5}
3568.a.3568.1,{2}
3568.a.228352.1,{2}
3568.b.57088.1,{2}
3568.c.57088.1,{}
3568.d.913408.1,{3}
3571.a.3571.1,{}
3572.a.57152.1,{}
3572.b.114304.1,{2}
3578.a.57248.1,{}
3589.a.348133.1,{2}
3589.b.348133.1,{2}
3591.a.226233.1,{2}
3601.a.3601.1,{5}
3601.b.608569.1,{3}
3616.a.115712.1,{2}
3616.b.462848.1,"{2, 3}"
3618.a.195372.1,{2}
3622.a.463616.1,{}
3628.a.7256.1,{}
3629.a.3629.1,{}
3634.a.167164.1,{2}
3637.a.3637.1,{5}
3640.a.582400.1,{2}
3644.a.7288.1,{}
3644.b.58304.1,{}
3646.a.29168.1,{}
3648.a.98496.1,{2}
3648.b.233472.1,"{2, 3}"
3650.a.3650.1,{2}
3650.a.456250.1,{2}
3655.a.3655.1,{2}
3661.a.3661.1,{2}
3664.a.58624.1,{2}
3664.a.937984.1,{2}
3664.b.234496.1,{2}
3675.a.385875.1,{2}
3680.a.29440.1,{2}
3680.b.29440.1,{2}
3680.b.942080.1,{2}
3701.a.3701.1,{}
3701.b.3701.1,{5}
3701.c.3701.1,{}
3705.a.211185.1,{2}
3705.a.240825.1,{2}
3705.b.722475.1,{2}
3709.a.3709.1,{3}
3712.a.7424.1,{2}
3712.b.118784.1,{2}
3712.c.475136.1,{2}
3712.d.950272.1,{}
3716.a.7432.1,{3}
3718.a.48334.1,{}
3726.a.3726.1,{}
3732.a.67176.1,{3}
3732.b.477696.1,{}
3735.a.56025.1,{2}
3744.a.29952.1,{2}
3746.a.3746.1,{}
3746.b.29968.1,{2}
3746.c.239744.1,{}
3753.a.33777.1,{2}
3759.a.3759.1,{}
3764.a.3764.1,{5}
3766.a.120512.1,{2}
3775.a.3775.1,{}
3776.a.15104.1,"{2, 5}"
3776.b.60416.1,{2}
3776.c.241664.1,{7}
3779.a.3779.1,{}
3779.b.3779.1,{}
3787.a.3787.1,{}
3787.b.3787.1,{}
3788.a.3788.1,{5}
3788.b.242432.1,{}
3792.a.3792.1,"{2, 3}"
3792.a.60672.1,{2}
3792.b.15168.1,"{2, 5}"
3792.b.485376.1,"{2, 5}"
3797.a.3797.1,{2}
3798.a.729216.1,{}
3807.a.925101.1,{}
3812.a.243968.1,{}
3824.a.489472.1,{}
3827.a.3827.1,{}
3830.a.122560.1,{}
3836.a.26852.1,{2}
3836.a.525532.1,{2}
3840.a.7680.1,{2}
3840.a.115200.1,{2}
3846.a.123072.1,{2}
3852.a.3852.1,{5}
3854.a.3854.1,{}
3860.a.77200.1,{3}
3864.a.494592.1,{2}
3866.a.7732.1,{2}
3871.a.27097.1,{}
3872.a.30976.1,{2}
3872.a.495616.1,{2}
3879.a.11637.1,{}
3883.a.469843.1,{2}
3887.a.3887.1,{5}
3888.a.7776.1,"{2, 3}"
3888.a.248832.1,"{2, 3}"
3897.a.105219.1,{2}
3904.a.3904.1,{}
3904.b.3904.1,{2}
3904.c.3904.1,{}
3904.d.999424.1,{7}
3908.a.15632.1,{3}
3914.a.31312.1,{}
3920.a.62720.1,"{2, 5}"
3920.b.62720.1,{2}
3940.a.15760.1,{3}
3940.b.394000.1,{}
3942.a.31536.1,{}
3942.b.319302.1,{2}
3944.a.126208.1,"{2, 3}"
3950.a.7900.1,{}
3950.b.39500.1,"{2, 3}"
3956.a.506368.1,"{2, 5}"
3967.a.3967.1,{}
3969.a.3969.1,{}
3970.a.992500.1,{2}
3973.a.3973.1,{3}
3978.a.930852.1,{2}
3979.a.3979.1,{}
3984.a.47808.1,{2}
3989.a.3989.1,{5}
3997.a.3997.1,{2}
4006.a.64096.1,{2}
4016.a.64256.1,{}
4021.a.4021.1,{}
4025.a.4025.1,{}
4036.a.16144.1,{3}
4043.a.4043.1,{2}
4044.a.8088.1,"{2, 3}"
4048.a.712448.1,{2}
4051.a.4051.1,{}
4059.a.133947.1,{2}
4069.a.4069.1,{2}
4069.a.4069.2,{2}
4075.a.4075.1,{2}
4086.a.32688.1,"{2, 5}"
4086.b.294192.1,{2}
4100.a.65600.1,{3}
4109.a.4109.1,{}
4110.a.131520.1,"{2, 3}"
4112.a.4112.1,{2}
4112.a.16448.1,{2}
4118.a.131776.1,{2}
4123.a.4123.1,{2}
4123.a.4123.3,{2}
4123.a.4123.2,{2}
4125.a.4125.1,{2}
4125.a.680625.1,{2}
4128.a.74304.1,{2}
4128.b.594432.1,{}
4132.a.66112.1,{3}
4136.a.8272.1,{2}
4136.b.8272.1,{2}
4136.c.132352.1,"{2, 7}"
4137.a.86877.1,{2}
4138.a.132416.1,"{2, 5}"
4146.a.24876.1,{2}
4150.a.41500.1,{2}
4152.a.49824.1,"{2, 5}"
4156.a.8312.1,{}
4157.a.4157.1,{}
4160.a.16640.1,{2}
4167.a.12501.1,{2}
4168.a.266752.1,{7}
4171.a.4171.1,{}
4173.a.12519.1,{2}
4178.a.4178.1,{3}
4181.a.472453.1,{2}
4185.a.4185.1,{2}
4185.b.4185.1,{}
4185.c.37665.1,{}
4190.a.8380.1,{2}
4196.a.16784.1,{}
4196.b.33568.1,{}
4197.a.4197.1,{}
4234.a.33872.1,{2}
4234.b.618164.1,{2}
4236.a.203328.1,{}
4236.b.542208.1,"{2, 3}"
4240.a.84800.1,"{2, 5}"
4252.a.68032.1,{3}
4254.a.25524.1,"{2, 5}"
4254.b.25524.1,"{2, 3}"
4255.a.97865.1,{2}
4256.a.544768.1,{2}
4263.a.4263.1,{}
4264.a.699296.1,"{2, 5}"
4273.a.4273.1,{}
4276.a.273664.1,{}
4282.a.8564.1,{}
4288.a.34304.1,{}
4288.b.548864.1,{11}
4291.a.30037.1,{}
4293.a.4293.1,{3}
4293.b.38637.1,{2}
4293.c.38637.1,"{3, 5}"
4296.a.34368.1,{}
4298.a.137536.1,{}
4304.a.68864.1,{}
4304.b.275456.1,{2}
4310.a.86200.1,{}
4312.a.189728.1,"{2, 5}"
4312.a.551936.1,"{2, 5}"
4324.a.99452.1,"{2, 3}"
4324.b.812912.1,{2}
4329.a.480519.1,{2}
4330.a.108250.1,"{2, 3}"
4331.a.307501.1,{2}
4332.c.25992.1,{}
4336.a.138752.1,{}
4337.a.4337.1,{}
4338.a.702756.1,{2}
4338.b.702756.1,{2}
4344.a.834048.1,"{2, 7}"
4346.a.178186.1,{2}
4352.a.8704.1,{2}
4356.b.470448.1,{}
4357.a.4357.1,{2}
4364.a.8728.1,{3}
4367.a.4367.1,{}
4367.b.4367.1,{}
4384.a.70144.1,{}
4384.b.140288.1,"{2, 3}"
4388.a.140416.1,{}
4392.a.26352.1,{2}
4403.a.4403.1,{}
4404.a.26424.1,{3}
4406.a.8812.1,{}
4407.a.13221.1,{}
4418.a.4418.1,{3}
4421.a.4421.1,{}
4421.b.4421.1,{}
4421.c.4421.1,{}
4428.a.239112.1,{}
4430.a.4430.1,"{2, 3}"
4431.a.837459.1,{2}
4432.a.17728.1,{}
4460.a.17840.1,{2}
4464.a.214272.1,{2}
4477.a.4477.1,{}
4482.a.4482.1,{5}
4482.b.71712.1,{}
4486.a.8972.1,{2}
4489.b.4489.1,{}
