labels,polynomials,possibly_nonmaximal_primes,probably_nonmaximal_primes,verbose_output,torsion_primes
970.a.1940.1,"[[0, 0, 1, 1, 1, 1], [1, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.irred:wit=[-1]', '5.1p3:wit=[0, 13, 3]']","{2, 5}"
971.a.971.1,"[[0, 1, 0, -2, 0, 1], [1]]","{2, 3, 5, 7, 13}",[2],['2.?:wit=[-1]'],{}
975.a.63375.1,"[[-1, 1, 2, 1, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.2p2.cusp.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 11, 0]']","{2, 3}"
976.a.999424.1,"[[0, 0, -1, 2, 0, -2, 1], [1, 1]]","{2, 3, 5, 7, 29}","[2, 29]","['2.nss:wit=[-1]', '29.1p3:wit=[0, 3]']",{29}
997.a.997.1,"[[0, -1, 0, 16, -8, 1], [0, 1]]","{2, 3, 5, 7, 17}",[2],['2.1p3.irred:wit=[-1]'],{2}
997.a.997.2,"[[0, 0, 0, 0, 1, 1], [1, 1]]","{2, 3, 5, 7, 17}",[2],['2.1p3.irred:wit=[-1]'],{2}
997.b.997.1,"[[0, 0, -1, 2, -2, 1], [1]]","{2, 3, 5, 7, 29}","[2, 3]","['2.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]']",{3}
1012.a.4048.1,"[[0, 1, 1, 1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 3, 5]","['2.nss:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]', '5.1p3.cusp.cusp:wit=[0, 3, 3]']","{3, 5}"
1038.a.1038.2,"[[1, 1, 2, 0, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 17, 0]']","{2, 3}"
1038.a.1038.1,"[[3, 21, 46, 26, -12, 1], [0, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 17, 0]']","{2, 3}"
1042.a.1042.1,"[[2, 2, -1, -1, -1], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.?:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]']",{3}
1047.a.3141.1,"[[0, 1], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.2p2.irred.irred.irred:wit=[-1]', '5.1p3:wit=[0, 7, 7]']","{2, 5}"
1051.a.1051.1,"[[0, -1, 1, 0, -1, 1], [1]]","{2, 3, 5, 7, 73}",[2],['2.?:wit=[-1]'],{}
1051.b.1051.1,"[[0, 0, 0, 0, -1, -1], [1, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
1051.b.1051.2,"[[0, 1, 0, 16, 8, 1], [0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
1055.a.1055.1,"[[-1, -1, 1, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 17, 0]']","{2, 3}"
1062.a.6372.1,"[[0, -1, 1, 0, -1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred.irred:wit=[-1]'],{2}
1069.a.1069.1,"[[0, 0, 0, 1, 0, 1], [1, 1, 1]]","{2, 3, 5, 7}","[2, 7]","['2.irred:wit=[-1]', '7.1p3.2p2:wit=[0, 5, 3]']",{7}
1070.a.2140.1,"[[0, -1, 0, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
1077.a.1077.2,"[[0, 1, 2, 1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3:wit=[-1]'],{2}
1077.a.1077.1,"[[32, -90, -1, 80, 34, 5], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3:wit=[-1]'],{2}
1077.b.1077.1,"[[-2, -1, 0, 0, 1, 1], [0, 0, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3:wit=[-1]', '5.1p3:wit=[0, 7, 7]']",{5}
1077.b.1077.2,"[[-1, 15, -79, 38, 14, 1], [1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3:wit=[-1]', '5.1p3:wit=[0, 7, 7]']",{}
1091.a.1091.1,"[[0, 0, -1, -2, 0, 1], [1, 1, 1]]","{2, 3, 5, 7}","[2, 7]","['2.irred:wit=[-1]', '7.1p3:wit=[0, 3, 5]']",{7}
1094.a.2188.1,"[[0, 0, -1, 0, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.?:wit=[-1]'],{}
1104.a.17664.1,"[[-1, 3, -4, 4, -2, 1], []]","{2, 3, 5, 7}","[2, 5]","['2.nss.1p3.cusp.cusp.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '5.1p3:wit=[0, 11, 7]']","{2, 5}"
1109.a.1109.1,"[[-36, 63, -6, -36, -6, 1], [1]]","{2, 3, 5, 7}","[2, 5]","['2.?:wit=[-1]', '5.1p3.2p2:wit=[0, 13, 3]']",{}
1109.b.1109.1,"[[0, 1, 1, -1, -1, 1], [1]]","{2, 3, 5, 7}","[2, 7]","['2.?:wit=[-1]', '7.1p3:wit=[0, 11, 3]']",{7}
1109.c.1109.1,"[[-1, 0, -2, -2, 0, 1], [0, 1, 0, 1]]","{2, 3, 5, 7, 11}","[2, 5]","['2.1p3:wit=[-1]', '5.1p3:wit=[0, 3, 3]']",{5}
1116.a.214272.1,"[[0, -1, 1, 2, 1], [1, 0, 0, 1]]","{2, 3, 5, 7, 13}","[2, 3, 13]","['2.nss.cusp.irred:wit=[-1]', '3.nss.1p3.2p2.irred:wit=[0, 5, 0]', '13.1p3:wit=[0, 5]']","{3, 13}"
1122.b.2244.1,"[[0, -1, -1, 5, 7, 1], [0, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.2p2.cusp.cusp.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2.irred.irred:wit=[0, 41, 0]']","{2, 3}"
1123.a.1123.1,"[[0, -1, -1, 0, -1], [0, 1, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.2p2.irred:wit=[-1]'],{2}
1127.a.1127.1,"[[0, -1, -1, 1, -1], [1, 1, 0, 1]]","{2, 3, 5, 7, 11}",[2],['2.1p3.2p2.cusp:wit=[-1]'],{}
1136.a.9088.1,"[[1, -1, 2, -1, 1], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 7]","['2.nss.1p3.irred:wit=[-1]', '7.1p3:wit=[0, 3, 5]']","{2, 7}"
1136.a.290816.1,"[[-24, 40, 25, -9, -5], [0, 0, 1, 1]]","{2, 3, 5, 7}","[2, 7]","['2.nss.1p3.irred:wit=[-1]', '7.1p3:wit=[0, 3, 5]']","{2, 7}"
1137.a.1137.1,"[[0, 0, 0, 1, 1, 1], [1, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]']","{2, 3}"
1142.a.2284.1,"[[-2, -1, 1, -1, -1], [0, 0, 1, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.irred.irred.irred:wit=[-1]', '5.1p3.2p2.irred.irred:wit=[0, 19, 3]']","{2, 5}"
1142.b.9136.1,"[[3, 1, -6, 0, 3, -1], [1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.irred.irred:wit=[-1]', '3.1p3.2p2.irred.irred.irred:wit=[0, 29, 0]']","{2, 3}"
1145.a.1145.1,"[[0, -1, 0, 3, -3], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
1145.a.143125.1,"[[9, 10, 9, 4, 2], [0, 1, 1, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred:wit=[-1]'],{2}
1146.a.2292.1,"[[0, 2, 4, 5, 3, 1], [0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2.irred:wit=[0, 5, 0]']","{2, 3}"
1147.a.35557.1,"[[0, 1, 8, 18, 8, 1], [0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.cusp.irred:wit=[-1]'],{2}
1147.a.35557.2,"[[0, 1, -32, 0, 6, 1], [0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.cusp.irred:wit=[-1]'],{2}
1148.a.8036.1,"[[-1, 5, 1, -6, -1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.nss.1p3.2p2.cusp.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '5.1p3:wit=[0, 11, 3]']","{2, 5}"
1148.a.47068.1,"[[0, 1, 0, -5, 2, 1], [1, 1, 1]]","{2, 3, 5, 7}","[2, 5]","['2.nss.1p3.2p2.cusp.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '5.1p3:wit=[0, 11, 3]']","{2, 5}"
1164.a.1164.1,"[[-1, 0, 1, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.nss:wit=[-1]', '5.1p3.irred.irred.irred.irred:wit=[0, 7, 7]']",{5}
1164.b.670464.1,"[[0, 0, -1, 1, -2, 2], [1, 1, 1]]","{2, 3, 5, 7}","[2, 3, 7]","['2.nss:wit=[-1]', '3.1p3.2p2:wit=[0, 5, 0]', '7.1p3:wit=[0, 5, 5]']","{3, 7}"
1180.a.18880.1,"[[0, 2, 4, 0, -2], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.nss.1p3.cusp.irred.irred:wit=[-1]', '3.1p3.2p2.cusp.irred:wit=[0, 11, 0]']","{2, 3}"
1184.a.2368.1,"[[0, 1, 1, 0, 1, 2], [1]]","{2, 3, 5, 7}",[2],['2.nss.1p3.cusp.irred:wit=[-1]'],{2}
1184.a.606208.2,"[[2, -2, 6, -4, 5, -2, 1], []]","{2, 3, 5, 7}",[2],['2.nss.1p3.cusp.irred:wit=[-1]'],{2}
1184.a.606208.1,"[[0, -2, -8, -8, 1, 2], []]","{2, 3, 5, 7}",[2],['2.nss.1p3.cusp.irred:wit=[-1]'],{2}
1192.a.19072.1,"[[1, -1, -2, 1], [0, 1, 0, 1]]","{2, 3, 5, 7, 11}","[2, 11]","['2.nss.1p3.irred.irred.irred.irred:wit=[-1]', '11.1p3:wit=[0, 3]']","{2, 11}"
1197.a.10773.1,"[[2, -1, -1, -1], [0, 0, 1, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.cusp.cusp.irred:wit=[-1]', '5.1p3.irred:wit=[0, 17, 13]']","{2, 5}"
1197.a.410571.1,"[[0, 1, -3, -7, 12, 1], [1, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.cusp.cusp.irred:wit=[-1]', '5.1p3.irred:wit=[0, 17, 13]']","{2, 5}"
1198.a.2396.1,"[[0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.?:wit=[-1]'],{}
1205.a.1205.1,"[[0, 0, -1, 0, 2, 1], [1]]","{2, 3, 5, 7}",[2],['2.irred.irred:wit=[-1]'],{}
1207.a.1207.1,"[[0, 0, 0, 0, -1, -1], [1, 1, 1]]","{2, 3, 5, 7}",[2],['2.irred:wit=[-1]'],{}
1216.a.1216.1,"[[0, 0, -1, -1, 1, 0, -1], [1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.nss.1p3.cusp.irred:wit=[-1]', '3.1p3.2p2.cusp:wit=[0, 5, 0]']","{2, 3}"
1216.a.19456.1,"[[-1, 6, -6, -11, 3, 4], [0, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.nss.1p3.cusp.irred:wit=[-1]', '3.1p3.2p2.cusp:wit=[0, 5, 0]']",{2}
1231.a.1231.1,"[[-2, -1, 2, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 7]","['2.?:wit=[-1]', '7.1p3:wit=[0, 5, 3]']",{7}
1239.a.8673.1,"[[0, -1, -1, 0, 0, 0, -1], [1, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.cusp.irred.irred:wit=[-1]', '3.1p3.2p2.irred:wit=[0, 5, 0]']","{2, 3}"
1253.a.1253.1,"[[-330, 15, 43, -33, 0, 2, -1], [1, 0, 1, 1]]","{2, 3, 5, 7, 13}",[3],"['3.1p3.2p2:wit=[0, 11, 0]']",{}
1253.b.1253.1,"[[0, 0, 1, 0, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}",[],[],{}
1258.a.21386.1,"[[-1, 5, -4, -5, 4, 1], [0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.cusp.irred.irred.irred:wit=[-1]', '5.1p3.irred:wit=[0, 3, 3]']","{2, 5}"
1269.a.1269.1,"[[0, 1, 1], [1, 1, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.irred:wit=[-1]', '3.nss.1p3.2p2.cusp:wit=[0, 11, 0]']",{}
1269.b.102789.1,"[[-103, -16, -80, -8, -21, -1, -2], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.cusp.irred:wit=[-1]', '5.1p3:wit=[0, 7, 7]']","{2, 5}"
1269.b.102789.2,"[[0, 1, 1, 0, -1, 1], [0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.cusp.irred:wit=[-1]', '5.1p3:wit=[0, 7, 7]']","{2, 5}"
1270.a.1270.1,"[[-3, -2, 5, 0, -2], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.irred:wit=[-1]', '3.1p3.2p2.irred.irred.irred.irred:wit=[0, 17, 0]']","{2, 3}"
1270.a.325120.1,"[[3, -32, 14, 76, 17, 1], [0, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.irred:wit=[-1]', '3.1p3.2p2.irred.irred.irred.irred:wit=[0, 17, 0]']",{2}
1272.a.122112.1,"[[0, -1, -1, 2, 4, 3], [1, 0, 1]]","{2, 3, 5, 7}","[2, 3]","['2.nss.1p3.cusp.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 11, 0]']","{2, 3}"
1280.a.12800.1,"[[0, 0, -1, -1, 1, 2], [1]]","{2, 3, 5, 7}","[2, 3]","['2.nss.1p3.2p2.cusp.cusp.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2.cusp:wit=[0, 11, 0]']","{2, 3}"
1284.a.5136.1,"[[1, -2, 1, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.nss.1p3.irred.irred.irred.irred:wit=[-1]', '5.1p3.irred.irred.irred.irred:wit=[0, 7, 7]']","{2, 5}"
