labels,polynomials,possibly_nonmaximal_primes,probably_nonmaximal_primes,verbose_output,torsion_primes
1445.a.122825.1,"[[29, 10, 18, 4, 3], [0, 1, 1, 1]]","{2, 3, 5, 7, 17}",[2],['2.1p3.2p2.cusp.irred.irred.irred:wit=[-1]'],{2}
1462.a.11696.1,"[[148, 94, -38, -27, 0, 2], [0, 1, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.1p3.cusp.irred.irred.irred.irred.irred:wit=[-1]', '5.1p3.irred.irred.irred.irred:wit=[0, 19, 3]']","{2, 5}"
1468.a.2936.1,"[[0, 0, -1, 0, 0, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}",[2],['2.nss.irred.irred.irred.irred.irred.irred:wit=[-1]'],{}
1468.b.5872.1,"[[0, 0, 0, 0, -2, -2], [1, 1, 1]]","{2, 3, 5, 7}","[2, 3, 5]","['2.nss:wit=[-1]', '3.1p3.2p2.irred.irred:wit=[0, 17, 0]', '5.1p3.2p2:wit=[0, 3, 3]']","{3, 5}"
1472.a.5888.1,"[[0, -1, -2, -1, 1, 1], []]","{2, 3, 5, 7}",[2],['2.nss.1p3.cusp.cusp.irred:wit=[-1]'],{2}
1472.a.94208.1,"[[-3, 7, -1, -4, -3, 4], []]","{2, 3, 5, 7}",[2],['2.nss.1p3.cusp.cusp.irred:wit=[-1]'],{2}
1472.a.94208.2,"[[0, 2, 4, 0, 1, 4], [1]]","{2, 3, 5, 7}",[2],['2.nss.1p3.cusp.cusp.irred:wit=[-1]'],{2}
1473.a.1473.1,"[[0, -1, 0, 0, -1, 1], [1, 1, 1]]","{2, 3, 5, 7}","[2, 3]","['2.1p3.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 11, 0]']","{2, 3}"
1488.a.71424.1,"[[0, -1, -1, -1, 0, 1], []]","{2, 3, 5, 7}","[2, 3]","['2.nss.1p3.cusp.cusp.irred:wit=[-1]', '3.1p3.2p2.irred:wit=[0, 5, 0]']","{2, 3}"
1490.a.1490.1,"[[0, 2, -2, -4, 0, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.irred.irred.irred.irred.irred.irred.irred.irred:wit=[-1]'],{2}
1497.a.1497.1,"[[-1, 1, -2, 1, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}",[],[],{}
1497.b.13473.1,"[[0, 0, -1, 0, 3, -2], [1, 1, 0, 1]]","{2, 3, 5, 7}",[],[],{}
1499.a.1499.1,"[[0, -1, 1, 0, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.?:wit=[-1]'],{}
1503.a.4509.1,"[[0, 1, 0, -3, -1, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}",[2],['2.irred:wit=[-1]'],{}
1519.a.1519.1,"[[-1, -1, 2, 0, -2], [1, 1, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.2p2.cusp:wit=[-1]'],{}
1524.a.780288.1,"[[4, 6, 8, 4, 2], [0, 1, 1, 1]]","{2, 3, 5, 7}",[2],['2.nss.1p3.irred:wit=[-1]'],{2}
1532.a.1532.1,"[[-1, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","[2, 5]","['2.nss.irred:wit=[-1]', '5.1p3:wit=[0, 11, 3]']",{5}
1532.a.392192.1,"[[-1, 12, -53, 0, 7, 1], [1, 1, 1]]","{2, 3, 5, 7}","[2, 5]","['2.nss.irred:wit=[-1]', '5.1p3:wit=[0, 11, 3]']",{}
1534.a.3068.1,"[[-1, 4, -1, -4, 0, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",[2],['2.1p3.cusp.irred:wit=[-1]'],{2}
1536.a.12288.1,"[[0, 2, -4, 5, -3, 1], []]","{2, 3, 5, 7}","[2, 3]","['2.nss.1p3.2p2.cusp.cusp.irred.irred.irred.irred.irred.irred.irred:wit=[-1]', '3.1p3.2p2:wit=[0, 11, 0]']","{2, 3}"
1544.a.3088.1,"[[0, 0, 1], [1, 1, 1, 1]]","{2, 3, 5, 7}",[2],['2.nss.irred:wit=[-1]'],{}
