labels,data
249.a.249.1,"[[0, 1, 1], [1, 0, 0, 1]]"
249.a.6723.1,"[[2, 3, 1, 1, 0, -1], [1, 0, 0, 1]]"
277.a.277.1,"[[0, -1, -1], [1, 1, 1, 1]]"
